Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 125","Hamilton",0,6,0,64,50,0,42,3,1,166,427
35036,"Hamilton Centre/Hamilton-Centre"," 126","Hamilton",1,4,1,84,52,0,57,2,3,204,566
35036,"Hamilton Centre/Hamilton-Centre"," 127","Hamilton",0,3,0,72,50,0,79,1,0,205,450
35036,"Hamilton Centre/Hamilton-Centre"," 128","Hamilton",1,4,1,58,51,1,60,2,2,180,410
35036,"Hamilton Centre/Hamilton-Centre"," 129","Hamilton",1,7,0,68,36,0,74,0,2,188,426
35036,"Hamilton Centre/Hamilton-Centre"," 130","Hamilton",0,5,0,89,68,0,77,7,3,249,544
35036,"Hamilton Centre/Hamilton-Centre"," 131","Hamilton",1,3,0,50,58,1,89,5,2,209,487
35036,"Hamilton Centre/Hamilton-Centre"," 132","Hamilton",1,1,0,58,68,0,66,0,0,194,417
35036,"Hamilton Centre/Hamilton-Centre"," 133","Hamilton",0,6,0,30,43,0,52,1,1,133,362
35036,"Hamilton Centre/Hamilton-Centre"," 134","Hamilton",2,3,1,48,40,0,73,0,0,167,412
35036,"Hamilton Centre/Hamilton-Centre"," 135","Hamilton",0,5,1,69,50,0,107,0,0,232,541
35036,"Hamilton Centre/Hamilton-Centre"," 136","Hamilton",0,5,1,85,54,0,111,4,3,263,506
35036,"Hamilton Centre/Hamilton-Centre"," 137","Hamilton",0,3,0,44,52,0,67,1,0,167,347
35036,"Hamilton Centre/Hamilton-Centre"," 138","Hamilton",1,2,1,68,89,0,64,5,0,230,482
35036,"Hamilton Centre/Hamilton-Centre"," 139","Hamilton",0,3,0,54,80,0,111,2,1,251,456
35036,"Hamilton Centre/Hamilton-Centre"," 140","Hamilton",0,3,0,49,122,1,69,3,0,247,475
35036,"Hamilton Centre/Hamilton-Centre"," 141","Hamilton",0,1,0,30,89,0,55,1,1,177,399
35036,"Hamilton Centre/Hamilton-Centre"," 142","Hamilton",2,4,0,44,82,0,66,2,0,200,487
35036,"Hamilton Centre/Hamilton-Centre"," 143","Hamilton",1,1,0,57,103,0,77,4,0,243,524
35036,"Hamilton Centre/Hamilton-Centre"," 144","Hamilton",1,0,2,81,89,0,126,2,4,305,678
35036,"Hamilton Centre/Hamilton-Centre"," 145","Hamilton",0,1,0,60,35,0,78,1,2,177,424
35036,"Hamilton Centre/Hamilton-Centre"," 146","Hamilton",2,0,0,28,41,0,40,1,1,113,336
35036,"Hamilton Centre/Hamilton-Centre"," 147","Hamilton",0,3,0,45,42,0,71,1,0,162,361
35036,"Hamilton Centre/Hamilton-Centre"," 148","Hamilton",2,4,1,48,69,0,78,1,2,205,445
35036,"Hamilton Centre/Hamilton-Centre"," 149","Hamilton",1,6,0,85,49,0,74,6,3,224,514
35036,"Hamilton Centre/Hamilton-Centre"," 150","Hamilton",1,2,1,63,42,0,58,2,0,169,409
35036,"Hamilton Centre/Hamilton-Centre"," 151","Hamilton",1,4,1,66,54,0,51,4,1,182,381
35036,"Hamilton Centre/Hamilton-Centre"," 152","Hamilton",0,6,0,81,48,0,113,1,1,250,367
35036,"Hamilton Centre/Hamilton-Centre"," 153","Hamilton",2,2,0,47,51,0,81,1,1,185,344
35036,"Hamilton Centre/Hamilton-Centre"," 154","Hamilton",0,5,0,40,30,0,108,0,0,183,349
35036,"Hamilton Centre/Hamilton-Centre"," 155","Hamilton",0,6,0,48,41,0,148,0,0,243,423
35036,"Hamilton Centre/Hamilton-Centre"," 156","Hamilton",0,2,0,75,57,1,102,3,1,241,399
35036,"Hamilton Centre/Hamilton-Centre"," 157","Hamilton",0,4,0,84,56,0,111,0,2,257,435
35036,"Hamilton Centre/Hamilton-Centre"," 158","Hamilton",2,3,0,90,70,0,161,1,4,331,557
35036,"Hamilton Centre/Hamilton-Centre"," 159","Hamilton",1,3,0,88,78,0,158,0,0,328,570
35036,"Hamilton Centre/Hamilton-Centre"," 160","Hamilton",0,5,1,97,67,0,174,1,0,345,547
35036,"Hamilton Centre/Hamilton-Centre"," 161","Hamilton",0,2,1,68,66,1,69,4,1,212,459
35036,"Hamilton Centre/Hamilton-Centre"," 162","Hamilton",0,0,0,56,55,0,56,2,1,170,481
35036,"Hamilton Centre/Hamilton-Centre"," 163","Hamilton",1,1,0,40,47,0,41,6,1,137,437
35036,"Hamilton Centre/Hamilton-Centre"," 164","Hamilton",0,1,0,85,68,1,70,3,1,229,568
35036,"Hamilton Centre/Hamilton-Centre"," 165","Hamilton",0,3,0,39,49,0,68,2,0,161,388
35036,"Hamilton Centre/Hamilton-Centre"," 166","Hamilton",1,2,1,77,43,0,117,3,4,248,396
35036,"Hamilton Centre/Hamilton-Centre"," 167","Hamilton",0,4,1,59,54,0,92,0,1,211,366
35036,"Hamilton Centre/Hamilton-Centre"," 168","Hamilton",0,1,0,37,56,0,99,0,1,194,355
35036,"Hamilton Centre/Hamilton-Centre"," 169","Hamilton",0,2,0,48,95,0,68,2,0,215,478
35036,"Hamilton Centre/Hamilton-Centre"," 170","Hamilton",0,3,0,85,91,0,96,1,0,276,462
35036,"Hamilton Centre/Hamilton-Centre"," 171","Hamilton",0,5,0,74,57,0,83,2,1,222,498
35036,"Hamilton Centre/Hamilton-Centre"," 172","Hamilton",0,2,2,53,68,0,92,2,0,219,448
35036,"Hamilton Centre/Hamilton-Centre"," 173","Hamilton",0,5,0,88,67,2,86,5,2,255,474
35036,"Hamilton Centre/Hamilton-Centre"," 174","Hamilton",0,0,1,45,60,0,81,3,1,191,398
