Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Frank Caputo,Iain Currie,Chris Enns,Miguel Godau,Jenna Lindley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 112","Kamloops",89,47,1,11,6,0,154,483
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 113","Kamloops",93,53,0,11,2,0,159,459
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 114","Kamloops",86,37,0,10,3,1,137,443
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 115","Kamloops",61,50,0,15,2,0,128,453
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 116","Kamloops",72,48,0,6,6,0,132,463
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 117","Kamloops",74,58,0,14,3,4,153,495
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 118","Kamloops",72,51,1,11,0,5,140,419
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 119","Kamloops",62,65,0,15,2,3,147,482
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 120","Kamloops",87,70,0,5,3,2,167,431
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 121","Kamloops",62,54,1,17,4,3,141,447
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 122","Kamloops",71,58,1,9,1,6,146,416
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 123","Kamloops",59,77,4,10,1,1,152,445
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 124","Kamloops",50,72,1,21,5,0,149,436
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 125","Kamloops",48,35,2,7,3,0,95,396
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 126","Kamloops",57,58,0,14,1,0,130,419
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 127","Kamloops",82,48,2,10,2,0,144,473
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 128","Kamloops",102,106,2,8,1,0,219,464
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 129","Kamloops",45,52,1,7,4,0,109,385
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 130","Kamloops",41,69,1,10,1,0,122,399
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 131","Kamloops",40,57,1,9,1,0,108,404
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 132","Kamloops",53,60,2,8,2,0,125,416
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 133","Kamloops",63,74,1,11,2,0,151,458
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 134","Kamloops",52,43,3,6,3,0,107,411
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 135","Kamloops",43,72,1,5,0,0,121,429
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 136","Lytton 9B",7,38,1,25,5,1,77,351
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 137","Lytton",Combined with No./Résultats combinés à ceux du n°145,,,,,,,99
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 138","Kumcheen 1",Combined with No./Résultats combinés à ceux du n°139,,,,,,,38
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 139","Spences Bridge",44,49,1,11,1,0,106,171
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 140","Nicomen 1",Combined with No./Résultats combinés à ceux du n°145,,,,,,,9
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 141","Inklyuhkinatko 2",Combined with No./Résultats combinés à ceux du n°144,,,,,,,41
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 142","Shackan 11",14,4,1,2,0,1,22,55
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 143","Spences Bridge",Combined with No./Résultats combinés à ceux du n°142,,,,,,,10
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 144","Lytton",13,20,0,17,6,0,56,70
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 145","Lytton",27,61,1,25,8,1,123,310
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 145-1","Boothroyd 8A",Combined with No./Résultats combinés à ceux du n°144,,,,,,,0
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 145-2","Hamilton Creek 2",Combined with No./Résultats combinés à ceux du n°145,,,,,,,0
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 146","Kanaka Bar",Combined with No./Résultats combinés à ceux du n°144,,,,,,,27
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 147","Kamloops",82,44,4,11,1,1,143,441
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 148","Kamloops",78,45,1,4,8,0,136,451
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 149","Kamloops",81,64,2,12,3,0,162,431
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 150","Kamloops",58,55,2,14,2,0,131,466
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 151","Kamloops",72,76,1,25,4,0,178,467
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 152","Kamloops",63,42,0,16,3,0,124,488
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 153","Kamloops",43,45,1,7,3,0,99,422
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 154","Kamloops",75,53,1,13,1,3,146,504
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 155","Kamloops",60,50,0,20,4,0,134,439
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 156","Kamloops 1",19,43,1,14,2,0,79,355
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 157","Kamloops 1",57,55,0,21,3,1,137,492
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 158","Kamloops 1",55,47,0,5,2,0,109,433
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 159","Kamloops 1",80,74,1,11,2,0,168,500
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 160","Kamloops 1",95,50,0,0,0,0,145,483
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 161","Kamloops 1",65,49,1,6,2,0,123,184
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 162","Kamloops 1",57,76,1,2,0,0,136,487
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 163A","Kamloops 1",49,47,0,9,1,0,106,382
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 163B","Kamloops 1",45,47,3,5,1,0,101,407
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 163C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,51
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 164","Kamloops",64,46,1,3,1,0,115,410
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 165","Kamloops",47,35,2,12,2,2,100,461
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 166","Kamloops",80,55,5,21,3,2,166,491
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 167","Kamloops",60,56,2,10,3,0,131,444
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 168","Kamloops",57,72,2,13,3,0,147,448
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 169","Kamloops",61,70,0,2,2,0,135,477
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 170","Kamloops",49,44,1,3,3,0,100,344
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 171","Kamloops",54,74,0,8,1,0,137,416
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 172","Kamloops",35,66,0,6,1,1,109,455
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 173","Kamloops",41,45,2,10,2,0,100,384
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 174","Kamloops",95,85,1,6,2,0,189,510
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 175","Kamloops",95,70,0,14,2,1,182,523
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 176","Kamloops",113,110,2,12,1,1,239,533
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 177","Kamloops",96,55,0,6,5,0,162,526
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 178","Kamloops",44,89,1,6,2,0,142,439
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 179","Kamloops",39,63,1,7,2,0,112,411
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 180","Kamloops",45,67,0,14,3,0,129,364
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 181","Kamloops",34,55,0,11,6,1,107,353
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 182","Pinantan Lake",Combined with No./Résultats combinés à ceux du n°161,,,,,,,166
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 183","Pritchard",159,29,6,15,4,0,213,406
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 184A","Pinantan Lake",122,67,1,5,2,1,198,298
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 184B","Pinantan Lake",123,58,2,7,3,1,194,311
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 185","Kamloops",91,61,1,8,1,0,162,561
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 186","Kamloops",59,85,5,10,1,0,160,487
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 187","Kamloops",49,76,0,6,3,0,134,473
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 188","Kamloops",64,41,1,4,1,0,111,415
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 189","Kamloops",69,93,0,1,2,0,165,454
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 190","Kamloops",81,89,0,6,0,0,176,507
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 191","Kamloops",92,77,1,9,1,0,180,525
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 192","Logan Lake",80,21,2,4,3,0,110,404
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 193","Logan Lake",85,33,0,3,4,0,125,454
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 194","Logan Lake",79,30,2,5,0,0,116,393
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 195","Logan Lake",101,39,2,10,1,1,154,435
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 196","Logan Lake",97,30,0,7,5,0,139,402
59015,"Kamloops--Thompson--Nicola/Kamloops--Thompson--Nicola"," 197","Kamloops",113,31,0,7,0,0,151,461
