Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 105","Lac-Tremblant-Nord",0,39,4,4,32,98,1,178,499
24036,"Laurentides--Labelle/Laurentides--Labelle"," 106","Mont-Tremblant",1,32,3,4,33,85,1,159,492
24036,"Laurentides--Labelle/Laurentides--Labelle"," 107","Lac-Supérieur",4,94,5,4,22,95,2,226,472
24036,"Laurentides--Labelle/Laurentides--Labelle"," 108","Lac-Supérieur",6,105,8,5,39,62,7,232,464
24036,"Laurentides--Labelle/Laurentides--Labelle"," 109","Lac-Supérieur",2,95,6,7,52,43,4,209,457
24036,"Laurentides--Labelle/Laurentides--Labelle"," 110","Lac-Supérieur",1,70,3,5,36,51,1,167,428
24036,"Laurentides--Labelle/Laurentides--Labelle"," 111","Lac-Nantel",4,66,3,8,31,59,10,181,484
24036,"Laurentides--Labelle/Laurentides--Labelle"," 112","Lac-Carré",4,67,2,2,31,30,3,139,461
24036,"Laurentides--Labelle/Laurentides--Labelle"," 113","Saint-Faustin",0,79,7,10,30,44,1,171,483
24036,"Laurentides--Labelle/Laurentides--Labelle"," 114","Sainte-Agathe-des-Monts",6,65,3,7,41,43,5,170,489
24036,"Laurentides--Labelle/Laurentides--Labelle"," 115","Sainte-Agathe-des-Monts",3,61,3,3,33,40,2,145,311
24036,"Laurentides--Labelle/Laurentides--Labelle"," 116","Sainte-Agathe-des-Monts",2,77,4,4,29,34,3,153,527
24036,"Laurentides--Labelle/Laurentides--Labelle"," 117A","Sainte-Agathe-des-Monts",4,69,4,4,30,47,1,159,472
24036,"Laurentides--Labelle/Laurentides--Labelle"," 117B","Sainte-Agathe-des-Monts",Combined with No./Résultats combinés à ceux du n°115,,,,,,,,132
24036,"Laurentides--Labelle/Laurentides--Labelle"," 118","Sainte-Agathe-des-Monts",0,111,3,6,35,57,2,214,529
24036,"Laurentides--Labelle/Laurentides--Labelle"," 119A","Sainte-Agathe-des-Monts",3,54,2,6,21,45,4,135,517
24036,"Laurentides--Labelle/Laurentides--Labelle"," 119B","Sainte-Agathe-des-Monts",Combined with No./Résultats combinés à ceux du n°120,,,,,,,,50
24036,"Laurentides--Labelle/Laurentides--Labelle"," 119C","Mobile poll/Bureau itinérant",0,6,1,1,6,3,0,17,12
24036,"Laurentides--Labelle/Laurentides--Labelle"," 120","Ivry-sur-le-Lac",3,55,4,6,28,58,2,156,443
24036,"Laurentides--Labelle/Laurentides--Labelle"," 121A","Sainte-Agathe-des-Monts",3,58,3,7,14,32,1,118,536
24036,"Laurentides--Labelle/Laurentides--Labelle"," 121B","Sainte-Agathe-des-Monts",Combined with No./Résultats combinés à ceux du n°120,,,,,,,,49
24036,"Laurentides--Labelle/Laurentides--Labelle"," 122","La Minerve",2,114,2,5,33,58,2,216,423
24036,"Laurentides--Labelle/Laurentides--Labelle"," 123","La Minerve",4,94,2,2,26,76,4,208,388
24036,"Laurentides--Labelle/Laurentides--Labelle"," 124","La Minerve",5,118,9,5,26,79,4,246,434
24036,"Laurentides--Labelle/Laurentides--Labelle"," 125","Mont-Tremblant",1,54,3,7,40,65,0,170,510
24036,"Laurentides--Labelle/Laurentides--Labelle"," 126","Mont-Tremblant",8,75,4,4,40,52,2,185,400
24036,"Laurentides--Labelle/Laurentides--Labelle"," 127A","Mont-Tremblant",0,84,2,5,23,56,4,174,507
24036,"Laurentides--Labelle/Laurentides--Labelle"," 127B","Mont-Tremblant",Combined with No./Résultats combinés à ceux du n°126,,,,,,,,108
24036,"Laurentides--Labelle/Laurentides--Labelle"," 128","La Conception",6,104,2,5,41,48,2,208,436
24036,"Laurentides--Labelle/Laurentides--Labelle"," 129","La Conception",0,61,1,6,25,53,3,149,478
24036,"Laurentides--Labelle/Laurentides--Labelle"," 130","La Conception",1,81,1,8,36,45,2,174,482
24036,"Laurentides--Labelle/Laurentides--Labelle"," 131","Lac-du-Cerf",2,74,4,2,12,24,3,121,421
24036,"Laurentides--Labelle/Laurentides--Labelle"," 132","Mont-Tremblant",9,87,4,8,81,69,4,262,569
24036,"Laurentides--Labelle/Laurentides--Labelle"," 133A","Mont-Tremblant",4,85,6,1,28,68,2,194,530
24036,"Laurentides--Labelle/Laurentides--Labelle"," 133B","Mont-Tremblant",Combined with No./Résultats combinés à ceux du n°134,,,,,,,,122
24036,"Laurentides--Labelle/Laurentides--Labelle"," 134","Mont-Tremblant",2,80,7,5,39,55,4,192,403
24036,"Laurentides--Labelle/Laurentides--Labelle"," 135","Mont-Tremblant",4,93,4,6,33,38,4,182,480
24036,"Laurentides--Labelle/Laurentides--Labelle"," 136","Mont-Tremblant",2,72,0,8,33,38,3,156,421
24036,"Laurentides--Labelle/Laurentides--Labelle"," 137","Mont-Tremblant",3,61,2,2,26,71,3,168,511
24036,"Laurentides--Labelle/Laurentides--Labelle"," 138","Mont-Tremblant",2,65,9,5,37,51,0,169,463
24036,"Laurentides--Labelle/Laurentides--Labelle"," 139","Val-David",11,61,8,11,24,32,3,150,456
24036,"Laurentides--Labelle/Laurentides--Labelle"," 140A","Val-David",0,99,4,10,22,48,2,185,466
24036,"Laurentides--Labelle/Laurentides--Labelle"," 140B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°119C,,,,,,,,11
24036,"Laurentides--Labelle/Laurentides--Labelle"," 141","Val-David",4,59,7,13,7,49,0,139,469
24036,"Laurentides--Labelle/Laurentides--Labelle"," 142","Val-David",4,61,3,6,28,55,1,158,449
24036,"Laurentides--Labelle/Laurentides--Labelle"," 143","Val-David",4,93,11,13,21,50,3,195,453
24036,"Laurentides--Labelle/Laurentides--Labelle"," 144","Val-David",0,84,10,6,15,41,3,159,439
24036,"Laurentides--Labelle/Laurentides--Labelle"," 145","Val-David",2,69,5,15,16,40,0,147,424
24036,"Laurentides--Labelle/Laurentides--Labelle"," 146","Val-David",7,56,3,11,23,43,2,145,375
24036,"Laurentides--Labelle/Laurentides--Labelle"," 147","Val-David",5,58,9,9,27,39,2,149,354
