Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bisma Ansari,Normand Chouinard,Frédéric Dénommé,Zsolt Fischer,Claude Guay,Fang Hu,Manuel Johnson,Craig Sauvé,Louis-Philippe Sauvé,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 601","Montréal",21,1,1,67,485,0,5,105,216,5,6,912,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 602","Montréal",30,0,2,120,581,0,3,149,234,4,8,1131,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 603","Montréal",19,1,1,62,412,1,1,67,193,1,5,763,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 604","Montréal",21,1,5,116,637,1,3,141,291,4,11,1231,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 605","Montréal",33,1,1,77,523,1,7,189,227,9,4,1072,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 606","Montréal",15,1,3,63,482,2,1,108,263,3,12,953,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 607","Montréal",14,3,2,110,538,3,0,104,223,4,11,1012,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 608","Montréal",24,2,4,146,664,2,1,131,322,3,13,1312,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 609","Montréal",20,2,1,91,534,0,4,106,242,5,5,1010,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 610","Montréal",35,1,4,93,655,0,2,154,320,2,4,1270,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 611","Montréal",24,2,2,96,607,2,2,107,339,4,16,1201,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 612","Montréal",25,2,1,85,586,1,1,110,290,5,4,1110,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 613","Montréal",12,1,1,79,642,0,0,35,218,1,4,993,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 614","Montréal",17,1,3,143,742,0,2,72,256,2,5,1243,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 615","Montréal",11,2,2,184,660,3,0,54,178,9,10,1113,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 616","Montréal",8,1,2,243,919,1,0,71,197,10,15,1467,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 617","Montréal",6,0,1,88,408,0,1,36,131,0,2,673,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 618","Montréal",10,0,2,169,587,0,2,34,150,3,2,959,
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun",,Group 1/Groupe 1, 29,0,3,78,403,1,4,135,88,4,38,783,412
24035,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun",,Group 2/Groupe 2, 22,0,3,151,745,1,4,144,259,6,60,1395,
