Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Beauregard,Meryem Benslimane,Micheline Boucher Granger,Pierre Branchaud,Josée Larose,Monique Pauzé,Samuel Saint-Laurent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 80","Repentigny",13,12,3,22,44,125,1,1,221,469
24060,"Repentigny/Repentigny"," 81","Repentigny",7,9,0,9,37,114,2,1,179,442
24060,"Repentigny/Repentigny"," 82","Repentigny",6,15,3,12,50,80,1,8,175,316
24060,"Repentigny/Repentigny"," 83","Repentigny",7,13,1,4,73,124,1,4,227,425
24060,"Repentigny/Repentigny"," 84","Repentigny",6,24,0,8,80,117,1,5,241,452
24060,"Repentigny/Repentigny"," 85","Repentigny",12,31,0,22,84,129,2,3,283,461
24060,"Repentigny/Repentigny"," 86","Repentigny",8,24,1,17,60,131,2,7,250,443
24060,"Repentigny/Repentigny"," 87","Repentigny",11,19,2,6,80,107,1,3,229,414
24060,"Repentigny/Repentigny"," 88","Repentigny",9,22,1,14,84,99,2,4,235,482
24060,"Repentigny/Repentigny"," 89","Repentigny",10,27,1,4,112,151,6,3,314,547
24060,"Repentigny/Repentigny"," 90","Repentigny",5,17,2,17,64,107,0,5,217,386
24060,"Repentigny/Repentigny"," 91","Repentigny",12,24,0,23,88,133,6,6,292,517
24060,"Repentigny/Repentigny"," 92","Repentigny",11,18,0,10,67,108,2,5,221,382
24060,"Repentigny/Repentigny"," 93","Repentigny",6,9,2,5,49,108,0,3,182,334
24060,"Repentigny/Repentigny"," 94","Repentigny",3,6,0,12,51,127,5,4,208,454
24060,"Repentigny/Repentigny"," 95","Repentigny",11,17,3,11,49,63,3,7,164,382
24060,"Repentigny/Repentigny"," 96","Repentigny",7,11,0,12,64,122,1,5,222,367
24060,"Repentigny/Repentigny"," 97","Repentigny",6,13,1,18,64,85,2,2,191,348
24060,"Repentigny/Repentigny"," 98","Repentigny",7,25,3,17,64,92,4,0,212,336
24060,"Repentigny/Repentigny"," 99","Repentigny",2,18,0,10,85,88,0,6,209,402
24060,"Repentigny/Repentigny"," 100","Repentigny",6,34,0,13,73,97,5,5,233,366
24060,"Repentigny/Repentigny"," 101","Repentigny",8,23,0,30,95,114,0,4,274,398
24060,"Repentigny/Repentigny"," 102","Repentigny",7,25,1,20,64,142,0,4,263,433
24060,"Repentigny/Repentigny"," 103","Repentigny",6,17,4,11,49,161,1,3,252,497
24060,"Repentigny/Repentigny"," 104","Repentigny",4,17,0,33,120,75,3,4,256,433
