Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Wayne James,Ian Kathwaroon,Detlev Regelsky,Robert A. Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 507","Mobile poll/Bureau itinérant",18,2,0,4,0,1,25,49
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 508","Mobile poll/Bureau itinérant",42,1,1,4,7,3,58,82
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 509","Mobile poll/Bureau itinérant",25,1,0,7,6,0,39,106
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 510","Mobile poll/Bureau itinérant",31,3,1,6,7,2,50,115
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 511","Mobile poll/Bureau itinérant",39,3,0,15,22,2,81,131
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 512","Mobile poll/Bureau itinérant",48,10,0,18,12,5,93,155
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 513","Mobile poll/Bureau itinérant",34,7,0,10,17,0,68,197
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 514","Mobile poll/Bureau itinérant",23,13,2,7,6,0,51,116
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 515","Mobile poll/Bureau itinérant",36,6,1,3,9,0,55,84
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 600","Grahamdale",Results combined with No./Résultats combinés au n°601,,,,,,,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 601","Ashern—Grahamdale",116,3,1,11,13,2,146,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 602","Fisher",50,2,0,2,13,0,67,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 603","Riverton",91,6,0,10,24,1,132,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 604","Arborg",277,8,2,13,43,1,344,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 605","Eriksdale",131,6,0,7,10,4,158,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 606","Lake Manitoba",4,0,0,1,14,0,19,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 607","St. Laurent",108,4,0,24,21,0,157,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 608","Rockwood—Teulon",230,16,3,26,28,0,303,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 609","Gimli",312,28,1,70,83,8,502,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 610","Gimli",215,28,4,64,99,0,410,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 611","Beaches",233,42,2,82,85,2,446,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 612","Petersfield",98,2,4,9,23,0,136,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 613","Clandeboye",107,10,4,19,23,2,165,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 614","Rockwood—Stonewall",245,17,6,42,46,2,358,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 615","Woodlands",108,9,2,6,19,1,145,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 616","Warren",141,7,3,17,19,0,187,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 617","Meadows—Rosser",61,4,1,5,5,11,87,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 618","Stonewall—Rockwood",90,3,1,7,20,0,121,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 619","Stonewall—Rockwood",406,22,4,66,73,0,571,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 620","Saint Andrews",105,9,1,17,21,0,153,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 621","Selkirk North",317,29,9,54,129,3,541,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 622","Selkirk South",302,26,7,69,91,5,500,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 623","East Selkirk—St. Clements",370,20,7,50,74,0,521,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 624","St. Andrews South",234,22,3,44,64,3,370,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 625","St. Andrews South",269,23,9,62,66,1,430,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 626","St. Clements—Narol",282,22,7,67,70,4,452,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 627","St. Clements East",114,9,4,14,41,0,182,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 628","Garson—Tyndall",164,22,4,31,40,0,261,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 629","Brokenhead—Beausejour",302,48,3,50,61,2,466,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 630","Brokenhead—Beausejour",195,29,0,20,42,1,287,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 631","Brokenhead",55,8,8,33,55,3,162,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 632","Victoria Beach",151,39,1,66,36,1,294,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 633","Powerview—Pine Falls",181,12,1,17,34,0,245,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 634","Lac du Bonnet",172,15,5,37,34,1,264,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 635","Lac du Bonnet",246,20,1,28,39,4,338,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 636","Pinawa",96,31,2,30,22,2,183,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman",,Group 1/Groupe 1, 35,5,2,35,19,7,103,107
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman",,Group 2/Groupe 2, 1081,109,32,206,268,34,1730,
