Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Connie Denesiuk,Carolina Hopkins,Tara Howse,Helena Konanz,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 76","Penticton",44,24,0,14,23,3,2,110,395
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 77","Penticton",90,45,0,12,58,1,0,206,361
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 78","Penticton",98,48,2,17,54,2,0,221,522
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 79","Penticton",70,41,0,15,30,5,0,161,423
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 80","Penticton",73,31,2,9,60,4,1,180,366
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 81","Penticton",94,31,0,10,54,3,0,192,414
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 82","Penticton",21,18,1,14,36,6,0,96,250
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 83","Burton",68,43,4,39,86,8,3,251,482
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 84","Kaleden",115,39,0,24,86,2,1,267,437
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 85","Kaleden",49,18,0,15,66,6,1,155,314
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 86","Kaleden",72,40,1,18,67,5,0,203,355
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 87","Kaleden",98,38,0,24,134,5,0,299,529
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 88","Beaverdell",39,22,3,43,103,5,1,216,352
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 89","Okanagan Falls",72,43,2,10,60,3,1,191,405
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 90","Okanagan Falls",31,31,4,15,92,3,0,176,393
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 91","Okanagan Falls",42,23,1,8,38,2,2,116,310
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 92","Okanagan Falls",43,13,1,8,43,1,0,109,319
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 93","Okanagan Falls",44,23,0,11,73,4,0,155,336
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 94","Okanagan Falls",62,30,1,11,81,7,0,192,471
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 95","Okanagan Falls",52,34,0,8,62,3,0,159,353
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 96","Okanagan Falls",82,33,0,21,86,5,0,227,478
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 97","Okanagan Falls",53,12,0,7,59,2,1,134,299
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 98","Silverton",85,17,0,22,38,8,2,172,324
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 99","Oliver",49,34,0,19,100,4,1,207,558
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 100","Oliver",59,33,3,16,78,5,0,194,474
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 101","Oliver",20,20,0,4,39,1,3,87,267
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 102","Oliver",41,30,1,10,51,4,0,137,301
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 103","Oliver",35,21,2,5,36,2,0,101,293
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 104","Oliver",26,18,0,2,33,0,0,79,215
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 105","Oliver",27,34,0,8,75,2,3,149,389
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 106","Oliver",56,25,2,16,61,0,1,161,448
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 107","Oliver",52,43,0,17,66,11,0,189,500
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 108","Oliver",40,28,1,8,44,4,0,125,364
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 109","Oliver",72,39,1,22,72,3,0,209,492
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 110","Oliver",37,19,1,5,38,5,0,105,262
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 111","Oliver",47,26,2,18,48,2,0,143,344
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 112","Oliver",45,39,2,13,61,2,0,162,413
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 113","Oliver",30,39,0,3,39,0,1,112,287
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 114","Oliver",43,36,4,16,47,8,1,155,382
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 115","Oliver",37,60,1,5,72,5,3,183,443
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 116","Oliver",29,17,0,11,55,1,2,115,289
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 117","Oliver",30,38,1,11,40,2,3,125,277
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 118","Oliver",56,41,1,17,50,2,6,173,426
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 119","Slocan",62,14,4,27,25,10,3,145,210
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 120","Slocan",135,25,0,42,28,5,1,236,376
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 121","Oliver",16,1,0,2,5,1,0,25,63
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 122","Oliver",102,58,4,18,94,4,0,280,719
