Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodore Antony,Hal Berman,Helena Jaczek,Jeremy Lin,Roy Long,Jane Philpott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Markham--Stouffville/Markham--Stouffville"," 140","Markham",Merged with No./Fusionné avec le n°141,,,,,,,,19
35054,"Markham--Stouffville/Markham--Stouffville"," 141","Markham",25,11,48,1,2,8,0,95,223
35054,"Markham--Stouffville/Markham--Stouffville"," 142","Markham",75,12,99,2,7,67,4,266,483
35054,"Markham--Stouffville/Markham--Stouffville"," 143","Markham",49,6,55,2,7,44,2,165,327
35054,"Markham--Stouffville/Markham--Stouffville"," 144","Markham",64,7,91,1,1,68,4,236,448
35054,"Markham--Stouffville/Markham--Stouffville"," 145","Markham",32,10,59,2,7,36,0,146,307
35054,"Markham--Stouffville/Markham--Stouffville"," 146","Markham",38,4,77,0,6,33,1,159,309
35054,"Markham--Stouffville/Markham--Stouffville"," 147","Markham",46,10,67,2,2,58,0,185,348
35054,"Markham--Stouffville/Markham--Stouffville"," 148","Markham",44,12,63,1,7,38,0,165,361
35054,"Markham--Stouffville/Markham--Stouffville"," 149","Markham",54,8,69,0,4,56,1,192,433
35054,"Markham--Stouffville/Markham--Stouffville"," 150","Markham",66,14,71,2,9,51,2,215,417
35054,"Markham--Stouffville/Markham--Stouffville"," 151","Markham",51,21,85,0,6,38,0,201,487
35054,"Markham--Stouffville/Markham--Stouffville"," 152","Markham",60,21,82,1,3,63,2,232,466
35054,"Markham--Stouffville/Markham--Stouffville"," 153","Markham",71,12,79,4,11,55,0,232,484
35054,"Markham--Stouffville/Markham--Stouffville"," 154","Markham",58,16,70,1,11,54,1,211,393
35054,"Markham--Stouffville/Markham--Stouffville"," 155","Markham",27,11,72,1,2,17,0,130,350
35054,"Markham--Stouffville/Markham--Stouffville"," 156","Markham",77,14,126,3,7,28,3,258,544
35054,"Markham--Stouffville/Markham--Stouffville"," 157","Markham",88,15,92,1,0,27,6,229,469
35054,"Markham--Stouffville/Markham--Stouffville"," 158","Markham",102,13,116,5,7,24,3,270,478
35054,"Markham--Stouffville/Markham--Stouffville"," 159","Markham",70,7,101,1,8,32,5,224,406
35054,"Markham--Stouffville/Markham--Stouffville"," 160","Markham",89,13,78,0,7,21,5,213,422
35054,"Markham--Stouffville/Markham--Stouffville"," 161","Markham",89,23,91,1,1,19,3,227,452
35054,"Markham--Stouffville/Markham--Stouffville"," 162","Markham",75,29,113,0,5,32,3,257,542
35054,"Markham--Stouffville/Markham--Stouffville"," 163","Markham",41,10,100,1,2,27,0,181,397
35054,"Markham--Stouffville/Markham--Stouffville"," 164","Markham",53,6,64,2,2,22,2,151,360
35054,"Markham--Stouffville/Markham--Stouffville"," 165","Markham",36,8,40,1,2,23,2,112,257
35054,"Markham--Stouffville/Markham--Stouffville"," 166","Markham",66,22,92,1,6,47,4,238,594
35054,"Markham--Stouffville/Markham--Stouffville"," 167","Markham",93,16,105,3,4,32,4,257,548
35054,"Markham--Stouffville/Markham--Stouffville"," 168","Markham",79,26,120,2,9,36,9,281,609
35054,"Markham--Stouffville/Markham--Stouffville"," 169","Markham",77,16,54,1,5,19,1,173,354
35054,"Markham--Stouffville/Markham--Stouffville"," 170","Markham",98,21,64,3,12,21,2,221,518
35054,"Markham--Stouffville/Markham--Stouffville"," 171","Markham",63,13,101,2,4,48,4,235,485
35054,"Markham--Stouffville/Markham--Stouffville"," 172","Markham",50,16,86,5,6,47,1,211,501
35054,"Markham--Stouffville/Markham--Stouffville"," 173","Markham",54,19,81,2,1,20,5,182,505
35054,"Markham--Stouffville/Markham--Stouffville"," 174","Markham",78,4,89,1,10,55,1,238,473
35054,"Markham--Stouffville/Markham--Stouffville"," 175","Markham",70,19,84,0,3,24,2,202,468
35054,"Markham--Stouffville/Markham--Stouffville"," 176","Markham",47,11,105,2,3,41,2,211,365
35054,"Markham--Stouffville/Markham--Stouffville"," 177","Markham",71,18,89,1,5,71,2,257,505
35054,"Markham--Stouffville/Markham--Stouffville"," 178","Markham",58,6,86,5,9,60,0,224,430
35054,"Markham--Stouffville/Markham--Stouffville"," 179","Markham",57,18,87,1,5,61,0,229,431
35054,"Markham--Stouffville/Markham--Stouffville"," 180A","Markham",40,8,34,1,3,39,3,128,335
35054,"Markham--Stouffville/Markham--Stouffville"," 180B","Markham",Merged with No./Fusionné avec le n°194,,,,,,,,164
35054,"Markham--Stouffville/Markham--Stouffville"," 181","Markham",64,17,125,4,7,11,5,233,561
35054,"Markham--Stouffville/Markham--Stouffville"," 182","Markham",38,4,48,6,1,14,1,112,321
35054,"Markham--Stouffville/Markham--Stouffville"," 183","Markham",57,10,68,1,18,56,4,214,408
35054,"Markham--Stouffville/Markham--Stouffville"," 184","Markham",66,16,76,5,6,40,3,212,443
35054,"Markham--Stouffville/Markham--Stouffville"," 185","Markham",45,14,71,2,10,35,2,179,411
35054,"Markham--Stouffville/Markham--Stouffville"," 186","Markham",22,13,42,4,0,6,0,87,198
35054,"Markham--Stouffville/Markham--Stouffville"," 187","Markham",53,11,130,2,3,17,4,220,518
35054,"Markham--Stouffville/Markham--Stouffville"," 188","Markham",64,21,128,3,0,23,2,241,516
35054,"Markham--Stouffville/Markham--Stouffville"," 189","Markham",81,18,120,3,6,31,4,263,501
35054,"Markham--Stouffville/Markham--Stouffville"," 190","Markham",60,23,87,1,7,25,1,204,376
35054,"Markham--Stouffville/Markham--Stouffville"," 191","Markham",65,15,122,0,6,25,5,238,465
35054,"Markham--Stouffville/Markham--Stouffville"," 192","Markham",84,23,169,1,5,33,3,318,613
35054,"Markham--Stouffville/Markham--Stouffville"," 193","Markham",76,15,92,0,7,44,3,237,478
35054,"Markham--Stouffville/Markham--Stouffville"," 194","Markham",58,16,96,1,9,79,1,260,390
35054,"Markham--Stouffville/Markham--Stouffville"," 195","Markham",73,8,64,2,4,30,1,182,484
35054,"Markham--Stouffville/Markham--Stouffville"," 196","Markham",56,22,107,0,5,16,3,209,401
35054,"Markham--Stouffville/Markham--Stouffville"," 197","Markham",42,17,136,0,0,15,6,216,424
35054,"Markham--Stouffville/Markham--Stouffville"," 198","Markham",62,17,115,2,0,23,0,219,487
35054,"Markham--Stouffville/Markham--Stouffville"," 199","Markham",61,18,123,1,3,25,2,233,499
35054,"Markham--Stouffville/Markham--Stouffville"," 200","Markham",86,21,121,3,2,19,3,255,548
35054,"Markham--Stouffville/Markham--Stouffville"," 201","Markham",53,20,124,3,6,17,0,223,524
35054,"Markham--Stouffville/Markham--Stouffville"," 202","Markham",54,14,91,1,1,9,1,171,434
35054,"Markham--Stouffville/Markham--Stouffville"," 203","Markham",71,23,145,1,3,8,3,254,572
35054,"Markham--Stouffville/Markham--Stouffville"," 204","Markham",55,20,139,1,2,25,0,242,540
35054,"Markham--Stouffville/Markham--Stouffville"," 205","Markham",45,28,104,1,1,17,6,202,491
35054,"Markham--Stouffville/Markham--Stouffville"," 206","Markham",63,16,75,6,13,47,0,220,511
