Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 450","Toronto",4,192,1,16,78,6,0,56,0,0,353,221
35110,"University--Rosedale/University--Rosedale"," 451","Toronto",Merged with No./Fusionné avec le n°450,,,,,,,,,,,193
35110,"University--Rosedale/University--Rosedale"," 452","Toronto",Merged with No./Fusionné avec le n°450,,,,,,,,,,,200
35110,"University--Rosedale/University--Rosedale"," 453","Toronto",Merged with No./Fusionné avec le n°454,,,,,,,,,,,193
35110,"University--Rosedale/University--Rosedale"," 454","Toronto",0,120,1,17,62,3,0,52,0,1,256,189
35110,"University--Rosedale/University--Rosedale"," 455","Toronto",0,108,1,13,29,1,0,46,1,1,200,341
35110,"University--Rosedale/University--Rosedale"," 456","Toronto",2,156,1,14,63,3,0,69,1,0,309,489
35110,"University--Rosedale/University--Rosedale"," 457","Toronto",0,47,0,2,16,0,0,12,0,0,77,289
35110,"University--Rosedale/University--Rosedale"," 458","Toronto",Void/Supprimé,,,,,,,,,,,
35110,"University--Rosedale/University--Rosedale"," 459","Toronto",1,189,1,19,39,3,0,62,0,2,316,226
35110,"University--Rosedale/University--Rosedale"," 460","Toronto",Merged with No./Fusionné avec le n°459,,,,,,,,,,,196
35110,"University--Rosedale/University--Rosedale"," 461","Toronto",Merged with No./Fusionné avec le n°459,,,,,,,,,,,139
35110,"University--Rosedale/University--Rosedale"," 500","Mobile poll/Bureau itinérant",1,77,1,5,8,0,0,15,2,2,111,281
35110,"University--Rosedale/University--Rosedale"," 501","Mobile poll/Bureau itinérant",2,61,1,9,19,0,1,6,4,3,106,228
35110,"University--Rosedale/University--Rosedale"," 502","Mobile poll/Bureau itinérant",0,27,0,6,6,2,0,15,2,0,58,140
35110,"University--Rosedale/University--Rosedale"," 503","Mobile poll/Bureau itinérant",0,24,1,1,7,1,0,12,0,1,47,70
35110,"University--Rosedale/University--Rosedale"," 504","Mobile poll/Bureau itinérant",0,41,0,3,13,1,0,17,2,1,78,181
35110,"University--Rosedale/University--Rosedale"," 600","Toronto",0,687,0,96,64,13,0,297,1,2,1160,
35110,"University--Rosedale/University--Rosedale"," 601","Toronto",2,917,1,105,128,10,0,499,2,3,1667,
35110,"University--Rosedale/University--Rosedale"," 602","Toronto",1,491,0,45,100,14,0,191,1,0,843,
35110,"University--Rosedale/University--Rosedale"," 603","Toronto",2,832,2,76,71,14,0,389,1,13,1400,
35110,"University--Rosedale/University--Rosedale"," 604","Toronto",1,367,1,31,69,7,1,177,3,0,657,
35110,"University--Rosedale/University--Rosedale"," 605","Toronto",0,171,0,10,53,3,0,57,1,3,298,
35110,"University--Rosedale/University--Rosedale"," 606","Toronto",0,266,1,20,79,5,0,93,0,4,468,
35110,"University--Rosedale/University--Rosedale"," 607","Toronto",3,215,1,44,119,8,0,46,3,1,440,
35110,"University--Rosedale/University--Rosedale"," 608","Toronto",0,490,2,120,361,6,1,84,5,1,1070,
35110,"University--Rosedale/University--Rosedale"," 609","Toronto",0,294,1,119,183,4,0,64,2,0,667,
35110,"University--Rosedale/University--Rosedale"," 610","Toronto",4,544,3,93,215,7,1,104,2,0,973,
35110,"University--Rosedale/University--Rosedale"," 611","Toronto",2,707,3,159,352,14,1,85,4,1,1328,
35110,"University--Rosedale/University--Rosedale"," 612","Toronto",2,629,5,161,347,2,0,67,1,1,1215,
35110,"University--Rosedale/University--Rosedale"," 613","Toronto",0,569,5,133,400,7,1,77,4,1,1197,
35110,"University--Rosedale/University--Rosedale"," 614","Toronto",4,462,2,94,305,8,0,100,0,2,977,
35110,"University--Rosedale/University--Rosedale",,Group 1/Groupe 1, 0,448,0,59,146,4,0,63,0,15,735,1136
35110,"University--Rosedale/University--Rosedale",,Group 2/Groupe 2, 1,1405,8,290,555,18,0,289,12,61,2639,
