Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ryan Dyck,Leah Gazan,Stephanie Hein,Yogi Henderson,Robert-Falcon Ouellette,Andrea Shalay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 96","Winnipeg",34,61,1,3,46,6,2,153,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 97","Winnipeg",21,90,1,0,74,8,1,195,541
46011,"Winnipeg Centre/Winnipeg-Centre"," 98","Winnipeg",16,42,3,1,60,8,1,131,303
46011,"Winnipeg Centre/Winnipeg-Centre"," 99","Winnipeg",18,88,1,2,61,6,4,180,457
46011,"Winnipeg Centre/Winnipeg-Centre"," 100","Winnipeg",30,83,0,4,68,17,1,203,424
46011,"Winnipeg Centre/Winnipeg-Centre"," 101","Winnipeg",31,102,0,6,73,6,1,219,493
46011,"Winnipeg Centre/Winnipeg-Centre"," 102","Winnipeg",8,51,1,1,31,7,2,101,414
46011,"Winnipeg Centre/Winnipeg-Centre"," 103","Winnipeg",12,81,1,8,44,7,2,155,498
46011,"Winnipeg Centre/Winnipeg-Centre"," 104","Winnipeg",15,120,1,5,50,9,0,200,447
46011,"Winnipeg Centre/Winnipeg-Centre"," 105","Winnipeg",16,33,1,3,34,6,0,93,199
46011,"Winnipeg Centre/Winnipeg-Centre"," 106","Winnipeg",12,93,1,4,55,11,0,176,406
46011,"Winnipeg Centre/Winnipeg-Centre"," 107","Winnipeg",11,120,0,0,47,19,0,197,400
46011,"Winnipeg Centre/Winnipeg-Centre"," 108","Winnipeg",27,71,3,3,64,9,1,178,395
46011,"Winnipeg Centre/Winnipeg-Centre"," 109","Winnipeg",12,59,1,2,37,11,0,122,352
46011,"Winnipeg Centre/Winnipeg-Centre"," 110","Winnipeg",67,50,1,6,42,11,2,179,411
46011,"Winnipeg Centre/Winnipeg-Centre"," 111","Winnipeg",51,64,3,4,51,9,1,183,408
46011,"Winnipeg Centre/Winnipeg-Centre"," 112","Winnipeg",44,59,0,1,49,9,0,162,408
46011,"Winnipeg Centre/Winnipeg-Centre"," 113","Winnipeg",15,128,0,2,63,15,1,224,446
46011,"Winnipeg Centre/Winnipeg-Centre"," 114","Winnipeg",18,108,3,3,69,14,0,215,364
46011,"Winnipeg Centre/Winnipeg-Centre"," 115","Winnipeg",13,126,0,1,56,14,0,210,410
46011,"Winnipeg Centre/Winnipeg-Centre"," 116","Winnipeg",17,97,0,3,35,11,0,163,373
46011,"Winnipeg Centre/Winnipeg-Centre"," 117","Winnipeg",5,129,0,3,53,12,1,203,392
46011,"Winnipeg Centre/Winnipeg-Centre"," 118","Winnipeg",10,104,0,2,77,9,0,202,350
46011,"Winnipeg Centre/Winnipeg-Centre"," 119","Winnipeg",20,151,0,6,79,14,2,272,414
46011,"Winnipeg Centre/Winnipeg-Centre"," 120","Winnipeg",20,125,0,1,74,18,1,239,405
46011,"Winnipeg Centre/Winnipeg-Centre"," 121","Winnipeg",29,28,0,4,46,5,1,113,223
46011,"Winnipeg Centre/Winnipeg-Centre"," 122","Winnipeg",46,66,1,2,58,6,0,179,440
46011,"Winnipeg Centre/Winnipeg-Centre"," 123","Winnipeg",42,62,0,3,73,16,0,196,342
46011,"Winnipeg Centre/Winnipeg-Centre"," 124","Winnipeg",47,75,1,4,78,13,0,218,383
46011,"Winnipeg Centre/Winnipeg-Centre"," 125","Winnipeg",29,53,0,0,89,15,1,187,315
46011,"Winnipeg Centre/Winnipeg-Centre"," 126","Winnipeg",28,69,1,1,54,14,0,167,383
46011,"Winnipeg Centre/Winnipeg-Centre"," 127","Winnipeg",11,152,1,2,77,18,2,263,455
