Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryton Cherrier,Marc Dalton,Ariane Jaschke,John Mogk,Steve Ranta,Dan Ruimy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 41","Maple Ridge",2,58,22,73,2,42,0,199,417
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 42","Maple Ridge",2,57,20,57,5,45,2,188,420
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 43","Pitt Meadows",1,72,24,55,1,78,0,231,430
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 44","Pitt Meadows",1,61,26,58,0,69,0,215,474
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 45","Pitt Meadows",2,79,17,59,2,42,1,202,487
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 46","Pitt Meadows",3,81,17,71,1,63,0,236,444
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 47","Pitt Meadows",3,82,21,53,3,75,0,237,456
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 48","Pitt Meadows",5,75,21,69,1,67,0,238,473
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 49","Pitt Meadows",2,72,23,69,1,58,1,226,458
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 50","Maple Ridge",2,137,22,59,3,77,3,303,621
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 51","Maple Ridge",2,83,17,67,0,79,2,250,460
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 52","Maple Ridge",4,88,17,75,9,68,0,261,506
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 53","Maple Ridge",7,78,25,90,9,79,1,289,560
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 54","Maple Ridge",2,52,14,78,4,50,0,200,506
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 55","Maple Ridge",3,72,15,60,0,61,2,213,486
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 56","Maple Ridge",1,101,8,93,3,63,0,269,480
