Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ceylan Borgers,Luc Desilets,Joseph Hakizimana,Linda Lapointe,Maikel Mikhael,Hans Roker Jr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°157B,,,,,,,,13
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","Saint-Eustache",7,66,12,39,11,2,4,141,367
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153A","Saint-Eustache",2,33,6,14,1,1,1,58,141
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153B","Saint-Eustache",3,52,6,88,14,1,19,183,280
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154","Saint-Eustache",6,93,13,40,20,0,7,179,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155","Saint-Eustache",1,108,15,55,16,2,5,202,507
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156","Saint-Eustache",12,95,13,65,12,1,2,200,391
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157A","Saint-Eustache",4,41,10,21,9,0,4,89,206
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157B","Mobile poll/Bureau itinérant",3,48,5,67,13,0,6,142,88
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°157B,,,,,,,,57
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158","Deux-Montagnes",12,99,22,67,14,0,10,224,453
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159","Deux-Montagnes",6,81,17,70,14,3,4,195,416
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160","Deux-Montagnes",12,80,34,75,19,8,6,234,446
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161","Deux-Montagnes",7,76,19,81,12,3,5,203,394
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162A","Deux-Montagnes",12,77,27,59,11,3,3,192,389
