Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Yan Chen,Jude Guerrier,David Kong,Janet Robinson,Avery Velez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 43","Scarborough",78,31,2,43,0,3,1,158,388
35096,"Scarborough North/Scarborough-Nord"," 44","Scarborough",91,23,1,38,1,3,1,158,331
35096,"Scarborough North/Scarborough-Nord"," 45","Scarborough",146,39,2,65,0,3,1,256,546
35096,"Scarborough North/Scarborough-Nord"," 46","Scarborough",112,28,2,64,0,8,5,219,467
35096,"Scarborough North/Scarborough-Nord"," 47","Scarborough",123,36,3,65,0,10,1,238,489
35096,"Scarborough North/Scarborough-Nord"," 48","Scarborough",100,18,1,48,0,3,0,170,387
35096,"Scarborough North/Scarborough-Nord"," 49","Scarborough",80,31,4,56,0,4,1,176,417
35096,"Scarborough North/Scarborough-Nord"," 50","Scarborough",65,25,0,66,0,7,1,164,372
35096,"Scarborough North/Scarborough-Nord"," 51","Scarborough",61,15,1,69,0,3,2,151,399
35096,"Scarborough North/Scarborough-Nord"," 52","Scarborough",53,20,0,51,2,3,1,130,402
35096,"Scarborough North/Scarborough-Nord"," 53","Scarborough",52,22,1,65,0,0,2,142,360
35096,"Scarborough North/Scarborough-Nord"," 54","Scarborough",79,32,0,89,1,4,1,206,467
35096,"Scarborough North/Scarborough-Nord"," 55","Scarborough",49,13,1,50,0,3,1,117,339
35096,"Scarborough North/Scarborough-Nord"," 56","Scarborough",44,35,1,52,0,5,2,139,426
35096,"Scarborough North/Scarborough-Nord"," 57","Scarborough",119,35,4,29,2,1,2,192,371
35096,"Scarborough North/Scarborough-Nord"," 58","Scarborough",173,47,0,42,1,6,3,272,620
35096,"Scarborough North/Scarborough-Nord"," 59","Scarborough",176,21,2,41,0,3,5,248,449
