Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Chénier,Marc Gagnon,Meryam Haddad,Marika Lalime,Hugues Laplante,Brenda Shanahan,Claudia Valdivia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 607","Mercier",9,1,3,40,71,111,374,485,13,1107,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 608","Châteauguay",12,0,2,19,38,49,219,209,7,555,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 609","Mercier",7,1,5,44,53,104,310,545,20,1089,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 610","Sainte-Martine",16,0,2,30,25,153,274,381,16,897,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 611","Sainte-Clotilde-de-Châteauguay",7,1,1,9,18,59,93,110,3,301,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 612","St. Isidore",1,0,0,9,17,28,64,100,4,223,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 613","Saint-Rémi",7,3,13,36,69,156,426,562,26,1298,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 614","Saint-Michel",5,0,2,19,16,56,144,219,5,466,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 615","Saint-Michel",3,0,4,12,25,57,129,171,3,404,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 616","Napierville",14,0,2,23,35,80,166,202,7,529,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 617","Napierville",8,0,5,30,32,101,162,227,17,582,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 618","Saint-Bernard-de-Lacolle",5,0,0,20,18,63,122,131,3,362,
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle",,Group 1/Groupe 1, 1,1,0,5,9,7,40,3,4,70,75
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle",,Group 2/Groupe 2, 11,0,4,55,69,93,454,215,33,934,
