Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paulina Ayala,Garnet Colly,Tina Di Serio,Hassan Guillet,Patricia Lattanzio,Ilario Maiolo,Dominique Mougin,Alessandra Szilagyi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 604","Saint-Léonard",30,1,13,117,465,100,116,19,12,873,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 605","Saint-Léonard",40,0,11,40,509,90,101,15,11,817,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 606","Saint-Léonard",58,0,10,48,454,130,139,24,17,880,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 607","Saint-Léonard",36,1,12,21,397,127,135,19,19,767,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 608","Saint-Léonard",27,3,9,40,487,90,94,23,16,789,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 609","Saint-Léonard",20,1,2,25,199,49,46,7,6,355,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 610","Saint-Léonard",42,1,11,20,327,65,51,22,11,550,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 611","Montréal",19,1,5,18,354,37,66,17,17,534,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 612","Montréal",43,1,7,27,370,56,103,23,18,648,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 613","Montréal",41,5,9,26,362,43,64,12,22,584,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 614","Montréal",31,0,5,7,294,41,45,10,11,444,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 1/Groupe 1, 9,0,0,0,56,2,2,2,7,78,98
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 2/Groupe 2, 74,0,6,44,448,85,64,33,29,783,
