Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 503C","Medicine Hat",Merged with No./Fusionné avec le n°61,,,,,,,,28
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 504","Mobile poll/Bureau itinérant",2,6,34,2,1,3,1,49,60
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 505","Mobile poll/Bureau itinérant",1,11,61,1,1,6,0,81,165
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 506","Mobile poll/Bureau itinérant",0,4,34,0,1,0,0,39,43
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 507","Mobile poll/Bureau itinérant",3,7,39,5,0,6,1,61,41
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 508","Mobile poll/Bureau itinérant",1,4,81,3,1,5,5,100,148
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 509","Mobile poll/Bureau itinérant",2,1,20,2,1,1,0,27,33
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 600","Cardston",3,17,623,18,1,20,4,686,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 601","Stand Off",2,25,8,0,1,21,1,58,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 602","Magrath--Raymond",8,16,547,19,1,19,0,610,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 603","Raymond--Stirling",11,23,596,31,5,25,1,692,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 604","Milk River",4,6,361,14,3,17,0,405,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 605","Forty Mile County No. 8",1,3,230,1,1,4,2,242,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 606","Bow Island",8,19,294,15,0,9,0,345,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 607","Cypress County",38,64,846,14,3,62,4,1031,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 608","Medicine Hat",6,49,880,14,1,69,2,1021,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 609","Medicine Hat",19,56,816,14,6,64,5,980,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 610","Medicine Hat",9,44,766,11,2,62,3,897,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 611","Medicine Hat",17,39,722,26,4,79,1,888,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 612","Medicine Hat",16,43,350,23,4,70,0,506,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 613","Medicine Hat",15,62,871,17,3,81,0,1049,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 614","Medicine Hat",24,53,709,42,5,81,0,914,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 615","Cypress County--Redcliff",19,31,847,24,6,56,0,983,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 616","Cypress County",5,15,586,17,2,24,1,650,
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 1/Groupe 1, 13,31,70,3,0,18,9,144,130
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner",,Group 2/Groupe 2, 72,100,1775,51,11,127,40,2176,
