Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Victoria Hernandez,Barbara Joannette,Isabelle Lapointe,Jean-Claude Poissant,Alain Therrien,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 62","Sainte-Catherine",0,24,7,14,97,112,1,1,256,449
24034,"La Prairie/La Prairie"," 63","Sainte-Catherine",0,25,2,29,85,131,3,4,279,515
24034,"La Prairie/La Prairie"," 64","Sainte-Catherine",0,18,9,12,65,124,3,7,238,441
24034,"La Prairie/La Prairie"," 65","Sainte-Catherine",0,28,12,28,68,106,0,6,248,472
24034,"La Prairie/La Prairie"," 66","Sainte-Catherine",0,21,1,17,57,106,0,5,207,391
24034,"La Prairie/La Prairie"," 67","Sainte-Catherine",0,21,10,17,80,139,3,5,275,529
24034,"La Prairie/La Prairie"," 68","Candiac",0,33,15,33,159,114,1,2,357,699
24034,"La Prairie/La Prairie"," 69","Candiac",0,16,12,19,99,79,3,2,230,490
24034,"La Prairie/La Prairie"," 70","Candiac",0,36,14,21,89,106,1,6,273,518
24034,"La Prairie/La Prairie"," 71","Candiac",0,29,13,18,111,125,1,6,303,529
24034,"La Prairie/La Prairie"," 72","Candiac",0,28,7,15,94,79,1,0,224,450
24034,"La Prairie/La Prairie"," 73","Candiac",0,23,14,11,79,78,1,5,211,449
24034,"La Prairie/La Prairie"," 74","Candiac",0,32,12,19,112,89,2,3,269,529
24034,"La Prairie/La Prairie"," 75","Candiac",0,17,13,10,75,65,1,2,183,379
24034,"La Prairie/La Prairie"," 76","Candiac",0,17,5,23,101,67,1,1,215,418
24034,"La Prairie/La Prairie"," 77","Candiac",1,13,9,19,72,89,2,1,206,415
24034,"La Prairie/La Prairie"," 78","Saint-Constant",1,13,11,9,57,84,2,10,187,425
24034,"La Prairie/La Prairie"," 79","Saint-Constant",0,15,12,25,70,88,2,2,214,479
24034,"La Prairie/La Prairie"," 80","Saint-Constant",0,12,16,16,49,95,5,1,194,438
24034,"La Prairie/La Prairie"," 81","Saint-Constant",0,14,7,10,60,91,0,1,183,426
24034,"La Prairie/La Prairie"," 82","Saint-Constant",0,22,14,12,75,119,3,7,252,506
24034,"La Prairie/La Prairie"," 83","Saint-Constant",2,24,10,25,72,131,1,0,265,546
24034,"La Prairie/La Prairie"," 84","Saint-Constant",0,12,5,22,65,71,1,1,177,369
24034,"La Prairie/La Prairie"," 85","Saint-Constant",0,18,8,14,58,97,1,8,204,420
24034,"La Prairie/La Prairie"," 86","Saint-Constant",0,9,4,15,58,96,3,4,189,365
24034,"La Prairie/La Prairie"," 87","Saint-Constant",1,20,12,19,112,166,1,0,331,727
24034,"La Prairie/La Prairie"," 88","Saint-Constant",0,12,5,20,80,86,0,1,204,419
24034,"La Prairie/La Prairie"," 89","Saint-Constant",0,23,10,25,90,121,0,5,274,520
24034,"La Prairie/La Prairie"," 90","Candiac",0,25,13,28,140,75,2,0,283,549
24034,"La Prairie/La Prairie"," 91","Candiac",0,29,14,42,178,89,1,3,356,576
