Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Blaney,Sébastien Bouchard-Théberge,Khuon Chamroeun,Yves Gilbert,Laurence Harvey,Marc Johnston,André Voyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 169","Lévis",44,25,19,0,31,3,9,3,134,323
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 170","Lévis",88,61,12,3,42,4,3,3,216,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 171","Lévis",49,49,19,0,27,3,7,3,157,386
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 172","Lévis",19,15,8,0,14,1,5,2,64,238
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 173","Lévis",46,66,10,1,76,8,13,4,224,415
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 174","Lévis",75,81,21,1,60,2,12,5,257,406
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 175","Lévis",76,59,11,0,53,7,2,3,211,406
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 176","Lévis",85,61,19,2,69,6,5,3,250,426
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 177","Lévis",114,90,25,0,70,4,15,8,326,625
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 178","Lévis",72,61,16,2,63,1,10,1,226,430
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 179","Lévis",Merged with No./Fusionné avec le n°180A,,,,,,,,,2
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 180A","Lévis",63,58,9,0,46,6,7,3,192,591
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 180B","Lévis",68,65,14,1,61,1,8,4,222,576
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 181","Saint-Henri",107,22,5,1,24,3,3,0,165,319
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 182","Saint-Henri",126,28,13,0,18,5,3,4,197,373
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 183","Saint-Henri",112,40,10,0,20,3,5,2,192,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 184","Saint-Henri",66,27,4,0,12,4,7,1,121,228
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 185","Saint-Henri",122,22,7,0,23,6,5,4,189,396
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 186","Saint-Henri",84,39,10,0,17,5,3,4,162,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 187","Saint-Henri",74,23,0,0,11,6,4,2,120,300
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 188","Saint-Henri",61,18,4,0,13,1,2,1,100,262
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 189","Saint-Henri",108,24,7,0,28,8,4,3,182,390
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 190","Saint-Henri",96,36,5,0,15,1,4,1,158,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 191","Saint-Henri",116,31,9,1,28,7,2,7,201,405
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 192","Saint-Henri",115,29,10,2,31,7,4,4,202,423
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 193","Honfleur",120,25,9,1,21,2,1,4,183,327
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 194","Honfleur",142,30,7,0,15,3,0,2,199,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 195","Saint-Camille-de-Lellis",136,29,4,0,27,5,4,6,211,350
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 196","Saint-Camille-de-Lellis",107,25,2,2,14,2,1,2,155,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 197","Sainte-Sabine",110,48,6,1,23,5,5,1,199,325
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 198","Saint-Luc-de-Bellechasse",121,44,5,0,25,6,3,6,210,363
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 199","Saint-Nazaire-de-Dorchester",121,45,7,0,13,5,2,2,195,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 200","Saint-Anselme",112,44,4,0,22,2,5,2,191,378
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 201","Saint-Anselme",83,20,4,2,13,0,4,2,128,295
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 202","Saint-Anselme",85,18,4,0,13,1,2,1,124,229
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 203","Saint-Anselme",98,19,9,0,18,3,4,1,152,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 204","Saint-Anselme",150,37,6,0,25,0,5,2,225,466
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 205","Saint-Anselme",98,18,2,0,28,0,2,2,150,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 206","Saint-Anselme",109,27,4,0,13,3,0,3,159,338
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 207","Saint-Anselme",96,24,8,1,20,4,2,1,156,340
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 208","Saint-Anselme",139,24,3,0,24,0,3,3,196,402
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 209","Sainte-Claire",83,24,5,2,8,5,8,2,137,308
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 210","Sainte-Claire",87,18,1,0,12,2,1,1,122,271
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 211","Sainte-Claire",143,23,7,0,26,5,4,5,213,440
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 212","Sainte-Claire",89,30,1,0,18,4,1,0,143,300
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 213","Sainte-Claire",148,32,8,0,25,9,1,4,227,409
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 214","Sainte-Claire",56,23,1,0,10,0,3,3,96,215
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 215","Sainte-Claire",159,39,3,1,18,5,5,3,233,473
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 216","Sainte-Claire",82,17,1,0,11,6,2,1,120,240
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 217","Saint-Malachie",99,33,3,0,12,8,7,2,164,320
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 218","Saint-Malachie",81,33,12,0,17,2,2,2,149,273
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 219","Saint-Malachie",118,34,6,0,17,10,4,2,191,317
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 220","Saint-Malachie",106,31,10,0,29,3,4,6,189,297
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 221","Sainte-Justine",120,33,2,1,28,4,1,3,192,325
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 222","Sainte-Justine",160,20,4,0,21,7,2,0,214,347
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 223","Sainte-Justine",108,29,3,1,15,3,2,5,166,288
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 224A","Sainte-Justine",144,38,5,1,18,3,2,6,217,393
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 224B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,10
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 225","Saint-Léon-de-Standon",111,30,9,1,26,10,2,6,195,346
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 226","Saint-Léon-de-Standon",130,33,4,2,14,7,3,1,194,306
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 227A","Saint-Léon-de-Standon",98,22,9,0,16,2,3,3,153,263
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 227B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,19
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 228","Lac-Etchemin",95,36,1,0,15,4,2,3,156,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 229","Lac-Etchemin",85,32,0,3,16,4,1,2,143,376
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 230A","Lac-Etchemin",65,7,1,2,10,5,4,2,96,223
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 230B","Lac-Etchemin",77,18,3,0,24,1,1,1,125,150
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 231","Lac-Etchemin",89,26,0,1,4,1,4,2,127,307
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 232","Lac-Etchemin",50,28,4,0,12,2,9,2,107,267
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 233","Lac-Etchemin",37,13,1,0,4,0,1,2,58,240
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 234A","Saint-Cyprien",171,25,4,0,29,4,4,6,243,413
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 234B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,13
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 235A","Lac-Etchemin",69,15,1,1,13,6,3,5,113,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 235B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,12
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 236","Lac-Etchemin",73,17,2,0,17,5,7,0,121,350
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 237","Lac-Etchemin",93,22,1,0,16,5,0,1,138,339
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 238","Lac-Etchemin",73,12,3,2,6,3,1,4,104,262
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 239","Sainte-Rose-de-Watford",94,21,6,3,4,8,3,5,144,325
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 240","Sainte-Rose-de-Watford",86,19,6,0,10,10,6,1,138,291
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 241","Saint-Louis-de-Gonzague",96,26,7,1,23,10,2,10,175,310
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 400","Lévis",44,25,3,3,34,0,0,26,135,133
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 401","Lévis",47,39,3,3,77,1,2,0,172,213
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 402","Lévis",58,35,1,0,71,1,1,5,172,204
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 403","Lévis",16,11,1,0,31,1,2,3,65,92
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 404","Lévis",Merged with No./Fusionné avec le n°170,,,,,,,,,0
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 405","Lévis",100,72,3,3,116,2,1,20,317,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 406","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510A,,,,,,,,,24
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 500","Mobile poll/Bureau itinérant",39,13,1,1,45,0,0,4,103,129
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 501","Mobile poll/Bureau itinérant",53,5,0,1,10,0,0,8,77,91
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 502","Mobile poll/Bureau itinérant",33,8,0,2,17,0,1,6,67,106
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 503","Lévis",38,13,0,2,18,1,0,14,86,116
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 504A","Mobile poll/Bureau itinérant",28,14,1,0,27,2,3,4,79,141
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 504B","Mobile poll/Bureau itinérant",14,5,2,1,77,0,3,1,103,26
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 505","Mobile poll/Bureau itinérant",36,13,4,1,60,2,1,5,122,194
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 506","Mobile poll/Bureau itinérant",14,8,0,2,26,1,2,2,55,128
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 507","Mobile poll/Bureau itinérant",41,12,3,0,18,1,1,3,79,106
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 508","Mobile poll/Bureau itinérant",53,14,1,0,35,1,2,5,111,90
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 509A","Mobile poll/Bureau itinérant",36,20,1,2,40,1,2,7,109,138
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 509B","Lévis",Merged with No./Fusionné avec le n°135,,,,,,,,,2
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 510A","Mobile poll/Bureau itinérant",41,12,2,1,34,2,1,3,96,96
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 510B","Lac-Etchemin",Merged with No./Fusionné avec le n°235A,,,,,,,,,5
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 511","Mobile poll/Bureau itinérant",28,8,0,1,10,0,1,0,48,88
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 512","Mobile poll/Bureau itinérant",15,3,0,0,15,0,0,0,33,76
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 513","Mobile poll/Bureau itinérant",31,8,0,0,17,0,1,2,59,91
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 514A","Saint-Damien-de-Buckland",23,1,0,0,14,0,0,0,38,134
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 514B","Saint-Damien-de-Buckland",Merged with No./Fusionné avec le n°152,,,,,,,,,4
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 515","Mobile poll/Bureau itinérant",23,13,0,1,23,0,0,3,63,131
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 516","Mobile poll/Bureau itinérant",33,8,0,0,15,0,0,4,60,85
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 600","Saint-Charles",255,159,23,0,90,8,24,9,568,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 601","Saint-Charles",224,101,18,1,77,10,5,9,445,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 602","Lévis",707,348,37,1,231,24,34,17,1399,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 603","Lévis",580,429,65,4,221,16,53,14,1382,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 604","Lévis",313,320,52,2,225,15,51,19,997,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 605","Lévis",515,321,58,1,228,17,22,25,1187,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 606","Lévis",613,335,44,0,243,23,29,16,1303,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 607","Lévis",750,507,71,6,312,44,45,53,1788,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 608","Lévis",548,431,59,0,248,19,37,13,1355,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 609","Lévis",590,423,70,6,298,39,36,31,1493,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 610","Lévis",622,274,56,0,185,16,32,20,1205,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 611","Lévis",799,290,59,4,165,28,44,21,1410,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 612","Saint-Charles",178,63,12,4,33,7,5,3,305,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 613","Saint-Nérée",243,59,13,1,44,5,4,5,374,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 614","Saint-Henri",562,139,27,1,108,32,8,23,900,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 615","Saint-Anselme",461,97,14,2,61,19,4,7,665,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 616","Saint-Nérée",99,46,10,0,28,10,3,1,197,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 617","Saint-Anselme",367,113,11,2,56,10,9,3,571,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 618","Saint-Damien",313,103,14,0,94,8,11,4,547,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 619","Sainte-Sabine",162,53,8,2,31,3,2,2,263,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 620","Lac-Etchemin",557,207,25,1,107,24,18,8,947,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 621","Lac-Etchemin",85,23,7,0,17,6,1,2,141,
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis",,Group 1/Groupe 1, 36,17,7,1,30,4,8,9,112,81
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis",,Group 2/Groupe 2, 499,307,94,8,241,10,74,11,1244,
