Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Bracci,Noel Joe,Scott Simms,Byron White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 504","Mobile poll/Bureau itinérant",21,2,59,4,1,87,94
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 505A","Mobile poll/Bureau itinérant",11,1,23,3,7,45,16
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 505B","Mobile poll/Bureau itinérant",15,3,45,1,10,74,93
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 506","Mobile poll/Bureau itinérant",15,4,62,3,5,89,148
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 507A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,19
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 507B","Mobile poll/Bureau itinérant",6,6,39,3,17,71,16
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 508A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507B,,,,,,46
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,19
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 509","Mobile poll/Bureau itinérant",5,9,66,2,9,91,112
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 600","Baie Verte",70,20,54,4,8,156,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 601","La Scie",18,2,34,1,0,55,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 602","Twillingate",28,10,36,5,0,79,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 603","Joe Batt's Arm-Barr'd Islands-Shoal Bay",10,15,46,0,4,75,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 604","Horwood",16,6,9,1,1,33,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 605","Twillingate",36,4,23,6,0,69,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 606","Lewisporte",45,22,98,21,1,187,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 607","Lewisporte",68,13,110,25,0,216,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 608","Botwood",102,30,165,7,12,316,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 609","Robert's Arm",50,6,18,4,0,78,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 610","Springdale",114,38,104,12,1,269,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 611","Grand Falls-Windsor",94,45,182,2,6,329,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 612","Grand Falls-Windsor",104,85,300,10,22,521,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 613","Grand Falls-Windsor",114,46,162,9,10,341,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 614","Bishop's Falls",101,30,214,8,1,354,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 615","Gander",87,72,274,26,0,459,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 616","Gander",102,70,332,26,2,532,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 617","Buchans",17,12,60,0,6,95,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 618","Harbour Breton",13,8,42,0,2,65,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 619","St. Alban's",27,27,27,5,0,86,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 620","Belleoram",5,9,19,1,0,34,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame",,Group 1/Groupe 1, 42,9,30,10,6,97,41
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame",,Group 2/Groupe 2, 343,157,624,43,15,1182,
