Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 57","Coteau-du-Lac",5,0,92,54,15,31,1,7,205,353
24071,"Salaberry--Suroît/Salaberry--Suroît"," 58","Coteau-du-Lac",13,2,97,70,31,21,0,2,236,410
24071,"Salaberry--Suroît/Salaberry--Suroît"," 59","Coteau-du-Lac",12,0,124,83,32,17,0,3,271,484
24071,"Salaberry--Suroît/Salaberry--Suroît"," 60","Coteau-du-Lac",8,0,79,83,14,16,2,4,206,401
24071,"Salaberry--Suroît/Salaberry--Suroît"," 61","Coteau-du-Lac",5,1,91,40,11,16,1,4,169,415
24071,"Salaberry--Suroît/Salaberry--Suroît"," 62","Coteau-du-Lac",9,1,83,41,24,9,0,5,172,410
24071,"Salaberry--Suroît/Salaberry--Suroît"," 63","Coteau-du-Lac",11,2,106,48,24,17,2,6,216,413
24071,"Salaberry--Suroît/Salaberry--Suroît"," 64","Coteau-du-Lac",9,0,105,64,19,11,0,3,211,432
24071,"Salaberry--Suroît/Salaberry--Suroît"," 65","Coteau-du-Lac",7,0,106,58,17,13,0,2,203,480
24071,"Salaberry--Suroît/Salaberry--Suroît"," 66","Coteau-du-Lac",11,3,119,81,30,13,2,7,266,584
24071,"Salaberry--Suroît/Salaberry--Suroît"," 67","Coteau-du-Lac",3,0,78,74,4,24,0,5,188,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 68","Saint-Louis-de-Gonzague",5,3,185,47,21,27,2,6,296,467
24071,"Salaberry--Suroît/Salaberry--Suroît"," 69","Saint-Étienne-de-Beauharnois",6,7,139,48,9,18,3,3,233,375
24071,"Salaberry--Suroît/Salaberry--Suroît"," 70","Salaberry-de-Valleyfield",2,1,90,65,11,10,1,6,186,404
24071,"Salaberry--Suroît/Salaberry--Suroît"," 71","Salaberry-de-Valleyfield",2,2,81,46,12,8,4,3,158,374
24071,"Salaberry--Suroît/Salaberry--Suroît"," 72","Salaberry-de-Valleyfield",7,0,113,67,22,16,2,1,228,475
24071,"Salaberry--Suroît/Salaberry--Suroît"," 73","Salaberry-de-Valleyfield",9,0,130,88,18,6,0,7,258,540
24071,"Salaberry--Suroît/Salaberry--Suroît"," 74","Salaberry-de-Valleyfield",3,1,104,49,8,11,3,3,182,448
24071,"Salaberry--Suroît/Salaberry--Suroît"," 75","Salaberry-de-Valleyfield",5,1,109,37,12,13,2,3,182,492
24071,"Salaberry--Suroît/Salaberry--Suroît"," 76","Salaberry-de-Valleyfield",6,0,91,38,15,6,1,1,158,406
24071,"Salaberry--Suroît/Salaberry--Suroît"," 77","Salaberry-de-Valleyfield",1,0,89,54,17,8,1,1,171,449
24071,"Salaberry--Suroît/Salaberry--Suroît"," 78","Salaberry-de-Valleyfield",5,3,81,72,13,15,5,1,195,458
24071,"Salaberry--Suroît/Salaberry--Suroît"," 79","Salaberry-de-Valleyfield",4,2,80,43,12,11,1,6,159,381
24071,"Salaberry--Suroît/Salaberry--Suroît"," 80","Salaberry-de-Valleyfield",5,0,88,34,10,13,1,4,155,393
24071,"Salaberry--Suroît/Salaberry--Suroît"," 81","Salaberry-de-Valleyfield",5,3,71,55,6,17,0,1,158,415
