Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 29B","Morinville",4,6,1,35,143,4,0,193,297
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 30","Morinville",3,27,1,47,180,2,1,261,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 31","Morinville",3,15,10,24,140,6,1,199,417
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 32","Morinville",4,14,2,26,134,14,0,194,380
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 33","Morinville Rural West",6,4,1,20,179,4,1,215,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 34","Morinville",5,15,4,42,163,8,1,238,464
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 35A","Morinville Rural East",Merged with No./Fusionné avec le n°27A,,,,,,,,85
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 35B","Morinville Rural East",7,5,0,24,168,1,0,205,109
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 36","Redwater",1,8,1,12,241,4,1,268,457
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 37","Redwater",4,12,1,20,178,9,0,224,388
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 38","Redwater",5,9,0,17,206,3,0,240,435
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 39","Redwater",3,11,3,10,147,4,0,178,343
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 40","Redwater",6,12,0,16,203,4,0,241,431
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 41","Amelia",1,8,3,11,142,4,0,169,262
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 42A","Morinville",5,12,2,28,137,5,1,190,441
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 42B","Morinville",1,16,1,38,174,5,2,237,466
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 43","Morinville",8,14,1,45,122,5,0,195,387
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 44","Morinville",6,17,6,30,176,10,0,245,510
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 45","Morinville",0,9,4,31,146,5,2,197,463
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 46","Morinville",10,14,1,18,159,5,1,208,411
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 47","Morinville",10,20,1,21,125,5,2,184,470
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 48","Morinville",4,15,0,34,168,3,4,228,470
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 49","Morinville",0,14,1,33,210,4,0,262,602
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 50","Calahoo North",3,3,1,11,154,3,1,176,297
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 51","Calahoo",11,17,1,18,260,4,1,312,482
