Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Broda,David Busch,Elizabeth May,Sabina Singh,Ryan Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 169","Gordon Head",5,37,78,34,37,0,191,445
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 170","Saanich",2,48,101,39,37,1,228,487
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 171","Saanich",2,28,60,37,42,0,169,388
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 172","Saanich",2,40,88,64,46,0,240,510
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 173","Saanich",3,21,62,29,38,0,153,349
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 174","Saanich",2,37,78,39,34,0,190,402
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 175","Lake Hill",1,24,68,30,36,0,159,393
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 176","Saanich",5,16,85,31,38,1,176,525
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 177","Saanich",2,22,84,34,26,1,169,474
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 178","Lake Hill",2,15,80,49,35,0,181,420
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 179","Lake Hill",3,36,84,33,37,2,195,409
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 180","Saanich",4,18,75,56,12,1,166,453
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 181","Saanich",2,26,79,38,36,0,181,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 182","Saanich",0,31,115,56,44,0,246,501
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 183","Saanich",2,28,91,47,32,0,200,475
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 184","Saanich",2,26,101,42,41,0,212,526
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 185","Saanich",5,22,104,26,33,0,190,395
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 186","Saanich",0,22,118,43,48,1,232,500
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 187","Saanich",4,18,134,33,28,0,217,472
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 188","Lake Hill",6,21,95,50,36,1,209,512
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 189","Saanich",3,36,69,64,43,1,216,479
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 190","Saanich",1,23,95,52,30,1,202,419
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 191","Gordon Head",1,29,78,67,35,0,210,455
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 192","Saanich",2,37,74,27,36,0,176,413
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 193","Saanich",3,29,65,43,33,0,173,442
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 194","Saanich",1,23,50,53,26,0,153,353
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 195","Saanich",0,24,43,29,26,0,122,343
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 196","Gordon Head",6,30,68,49,28,2,183,473
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 197","Saanich",2,22,75,51,39,2,191,452
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 198","Saanich",1,34,65,43,53,2,198,405
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 199","Gordon Head",3,41,59,41,29,0,173,413
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 200","Saanich",2,22,91,27,37,1,180,440
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 201","Saanich",4,32,77,40,31,0,184,429
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 202","Saanich",5,30,84,47,23,2,191,494
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 203","Saanich",0,35,102,60,31,0,228,490
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 204","Saanich",4,25,102,59,33,0,223,502
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 205","Saanich",3,38,109,58,38,1,247,497
