Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 32","Canmore",46,31,81,1,44,0,203,498
48001,"Banff--Airdrie/Banff--Airdrie"," 33","Canmore",43,20,78,3,37,4,185,449
48001,"Banff--Airdrie/Banff--Airdrie"," 34","Canmore",45,29,80,3,56,1,214,486
48001,"Banff--Airdrie/Banff--Airdrie"," 35","Canmore",38,30,59,4,23,0,154,383
48001,"Banff--Airdrie/Banff--Airdrie"," 36","Canmore",67,28,51,6,49,2,203,477
48001,"Banff--Airdrie/Banff--Airdrie"," 37","Canmore",62,33,63,8,41,3,210,469
48001,"Banff--Airdrie/Banff--Airdrie"," 38","Canmore",52,24,68,12,42,0,198,480
48001,"Banff--Airdrie/Banff--Airdrie"," 39","Airdrie West",10,3,201,3,5,2,224,385
48001,"Banff--Airdrie/Banff--Airdrie"," 40","Airdrie West",10,6,260,12,8,1,297,302
48001,"Banff--Airdrie/Banff--Airdrie"," 41","Airdrie West",Merged with No./Fusionné avec le n°40,,,,,,,216
48001,"Banff--Airdrie/Banff--Airdrie"," 42","Exshaw",22,17,122,8,32,0,201,331
48001,"Banff--Airdrie/Banff--Airdrie"," 43","Exshaw",25,17,89,10,36,1,178,381
48001,"Banff--Airdrie/Banff--Airdrie"," 44","Canmore",24,20,54,6,34,4,142,401
48001,"Banff--Airdrie/Banff--Airdrie"," 45","Canmore",50,33,68,6,52,0,209,539
48001,"Banff--Airdrie/Banff--Airdrie"," 46","Canmore",31,28,69,2,31,0,161,395
48001,"Banff--Airdrie/Banff--Airdrie"," 47","Kananaskis",37,41,67,6,54,0,205,503
48001,"Banff--Airdrie/Banff--Airdrie"," 48","Cochrane North",11,7,145,9,19,1,192,355
48001,"Banff--Airdrie/Banff--Airdrie"," 49","Cochrane North",10,1,160,3,7,1,182,341
48001,"Banff--Airdrie/Banff--Airdrie"," 50","Cochrane",6,4,88,5,9,0,112,205
48001,"Banff--Airdrie/Banff--Airdrie"," 51A","Morley",51,6,10,2,34,0,103,523
48001,"Banff--Airdrie/Banff--Airdrie"," 51B","Morley",42,9,11,1,47,0,110,494
48001,"Banff--Airdrie/Banff--Airdrie"," 51C","Morley",59,2,9,2,56,4,132,508
48001,"Banff--Airdrie/Banff--Airdrie"," 51D","Morley",65,8,11,1,58,1,144,542
48001,"Banff--Airdrie/Banff--Airdrie"," 52","Canmore",68,51,76,6,63,1,265,577
48001,"Banff--Airdrie/Banff--Airdrie"," 53","Canmore",38,28,37,4,35,1,143,354
48001,"Banff--Airdrie/Banff--Airdrie"," 54","Canmore",49,34,48,5,38,0,174,389
48001,"Banff--Airdrie/Banff--Airdrie"," 55","Canmore",37,22,82,9,23,1,174,513
48001,"Banff--Airdrie/Banff--Airdrie"," 56","Canmore",45,22,72,3,41,2,185,482
48001,"Banff--Airdrie/Banff--Airdrie"," 57","Canmore",44,17,54,4,52,1,172,497
48001,"Banff--Airdrie/Banff--Airdrie"," 58","Canmore",35,20,54,3,21,0,133,350
48001,"Banff--Airdrie/Banff--Airdrie"," 59A","Canmore",37,26,72,1,31,1,168,447
48001,"Banff--Airdrie/Banff--Airdrie"," 59B","Canmore",41,14,58,2,32,1,148,392
48001,"Banff--Airdrie/Banff--Airdrie"," 60","Canmore",77,33,101,6,68,3,288,604
48001,"Banff--Airdrie/Banff--Airdrie"," 61","Canmore",45,18,97,5,36,2,203,451
48001,"Banff--Airdrie/Banff--Airdrie"," 62","Cochrane North",5,2,99,7,12,2,127,310
