Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Susan Jonah,Karen Ludwig,Douglas Mullin,Meryl Sarty,Abe Scott,John Williamson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 103","Moores Mills",28,50,6,4,4,105,0,197,348
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 104","St. George",11,41,11,9,3,94,3,172,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 105","St. George",16,32,11,13,3,97,1,173,400
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 106","St. George",16,37,21,6,1,97,4,182,382
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 107","Bonny River",10,41,4,8,0,107,1,171,381
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 108","Oak Bay",17,60,19,5,0,96,6,203,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 109","Oak Bay",18,61,16,6,0,126,5,232,410
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 110","The Ledge",20,67,19,7,5,87,3,208,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 111","Oak Haven",14,48,5,6,1,71,1,146,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 112","Bocabec",13,77,16,5,2,113,1,227,372
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 113","St. George",15,44,17,11,0,88,3,178,371
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 114","St. George",12,22,6,7,2,59,1,109,275
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 115","Old Ridge",19,35,12,6,0,102,0,174,357
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 116","Valley Road",17,31,8,1,0,69,0,126,303
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 117","Mayfield--Heathland",7,28,2,3,0,82,0,122,265
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 118","Pomeroy Ridge",20,48,10,5,0,78,3,164,313
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 119","Bayside--Waweig",17,43,15,3,0,52,0,130,262
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 120","St. Stephen",22,73,11,2,1,50,1,160,383
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 121","St. Stephen",13,56,11,4,0,71,1,156,395
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 122","St. Stephen",19,56,12,3,0,53,0,143,349
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 123","St. Stephen",18,59,9,1,0,51,1,139,327
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 124","St. Stephen",8,49,3,2,1,51,0,114,361
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 125","Chamcook",24,94,10,5,1,51,2,187,389
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 126","St. Stephen",10,37,6,1,0,40,0,94,285
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 127","St. Stephen",20,61,14,2,4,64,0,165,337
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 128","Letete",9,19,7,4,0,115,1,155,283
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 129","Letete",17,41,4,6,0,149,0,217,363
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 130","St. Stephen",25,50,14,5,1,76,0,171,363
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 131","St. Stephen",12,51,11,4,1,66,0,145,320
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 132","St. Stephen",11,31,8,2,1,98,1,152,351
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 133","Upper Mills",11,31,8,11,0,74,0,135,272
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 134","Upper Mills",9,20,6,3,0,114,2,154,320
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 135","St. Andrews",16,111,17,10,0,34,0,188,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 136","St. Andrews",15,89,17,3,0,51,3,178,402
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 137","Blacks Harbour",14,40,8,5,0,113,1,181,347
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 138","Blacks Harbour",15,35,13,10,1,120,2,196,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 139","Beaver Harbour",16,34,26,3,1,105,0,185,411
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 140","St. Andrews",18,106,10,1,0,17,2,154,379
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 141","St. Andrews",18,94,10,7,0,43,0,172,400
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 142","Deer Island",5,26,12,3,0,98,2,146,324
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 143","Deer Island",4,28,6,2,0,54,0,94,244
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 144","Campobello",4,17,5,1,0,54,0,81,207
