Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François-Noël Brault,Ghislain Daigle,Marc Fontaine,Jacques Gourde,Patrick Kerr,Christel Marchand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 508A","Mobile poll/Bureau itinérant",1,13,1,17,0,0,1,33,55
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 508B","Saint-Flavien",Merged with No./Fusionné avec le n°206,,,,,,,,21
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 600","Lévis",343,224,39,608,38,62,19,1333,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 601","Lévis",327,190,32,548,23,88,23,1231,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 602","Lévis",184,117,33,367,4,47,13,765,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 603","Lévis",183,143,37,333,14,63,19,792,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 604","Lévis",264,163,36,277,27,39,8,814,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 605","Lévis",304,194,26,325,27,58,26,960,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 606","Lévis",342,219,20,401,27,70,16,1095,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 607","Lévis",426,257,36,510,34,108,15,1386,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 608","Lévis",243,148,21,309,13,25,10,769,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 609","Lévis",212,129,26,346,16,35,21,785,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 610","Lévis",171,115,12,323,20,37,8,686,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 611","Lévis",195,89,30,376,18,34,15,757,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 612","Lévis",158,87,45,409,15,39,4,757,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 613","Saint-Gilles",49,26,10,128,9,8,4,234,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 614","Lévis",211,106,39,438,17,43,22,876,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 615","Lévis",308,191,39,485,36,72,23,1154,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 616","Lévis",146,66,7,145,15,16,1,396,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 617","Saint-Apollinaire",112,74,13,229,13,16,11,468,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 618","Saint-Apollinaire",104,58,24,235,16,33,12,482,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 619","Saint-Agapit",113,93,14,291,5,23,6,545,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 620","Laurier-Station",100,77,15,273,8,23,5,501,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 621","Lotbinière",118,53,6,146,14,17,2,356,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 622","Val-Alain",49,41,8,165,8,11,4,286,
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 623","Saint-Narcisse",45,34,5,120,6,11,2,223,
24042,"Lévis--Lotbinière/Lévis--Lotbinière",,Group 1/Groupe 1, 11,28,3,53,3,3,4,105,48
24042,"Lévis--Lotbinière/Lévis--Lotbinière",,Group 2/Groupe 2, 207,186,16,329,67,79,15,899,
