Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonia Baudelot,Ali Faour,Emilio Migliozzi,Lizabel Nitoi,Elias Progakis,Yves Robillard,Bao Tran Le,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 89","Laval",22,24,1,95,1,156,11,1,311,555
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 90","Laval",31,27,2,31,0,116,10,1,218,446
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 91","Laval",16,28,2,107,1,126,19,4,303,551
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 92","Laval",16,32,2,109,1,145,18,0,323,556
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 93","Laval",16,27,5,168,0,114,12,10,352,520
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 94","Laval",14,32,4,98,1,100,12,4,265,523
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 95","Laval",46,27,4,84,0,117,14,2,294,552
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 96","Laval",35,30,3,85,0,151,7,7,318,573
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 97","Laval",30,24,1,95,1,113,11,3,278,565
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 98","Laval",25,12,0,105,0,118,11,8,279,483
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 99","Laval",22,19,5,110,0,97,8,4,265,495
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 100","Laval",28,18,1,80,0,101,12,12,252,524
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 101","Laval",39,39,1,83,1,154,5,10,332,580
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 102","Laval",26,23,3,107,2,108,10,7,286,535
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 103","Laval",37,17,3,112,2,120,14,2,307,560
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 104","Laval",38,25,2,98,1,140,6,6,316,539
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 105","Laval",26,21,1,72,0,98,8,3,229,472
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 106","Laval",16,27,4,92,0,101,13,6,259,477
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 107","Laval",15,17,0,116,0,138,17,6,309,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 108","Laval",18,19,6,61,1,112,7,6,230,577
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 109","Laval",23,16,2,81,3,133,13,4,275,500
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 110","Laval",25,22,4,107,0,115,11,7,291,492
