Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aline Bégin,Jacques Girard,Alain Guimond,Sébastien Lemire,Mario Provencher,Claude Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 217","Ville-Marie",1,2,24,39,15,22,4,107,261
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 218","Ville-Marie",2,1,24,84,22,27,1,161,380
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 219","Ville-Marie",4,0,14,38,9,18,2,85,275
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 220","Ville-Marie",2,1,29,81,22,23,5,163,372
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 221","Duhamel-Ouest",5,2,20,69,23,51,2,172,430
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 222","Saint-Placide-de-Béarn",4,2,26,67,33,31,4,167,328
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 223","Saint-Placide-de-Béarn",8,3,20,56,21,29,0,137,259
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 224","Saint-Édouard-de-Fabre",5,0,11,63,12,35,3,129,248
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 225","Saint-Édouard-de-Fabre",2,3,13,60,15,32,3,128,258
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 226","Laniel",3,0,2,13,2,15,0,35,63
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 227","Kipawa",15,1,56,9,16,87,0,184,374
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 228","Tee Lake",10,0,30,24,32,43,1,140,279
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 229","Témiscaming",3,1,23,21,12,26,5,91,266
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 230","Témiscaming",4,3,33,13,16,37,0,106,270
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 231","Témiscaming",10,1,32,48,33,69,4,197,445
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 232","Témiscaming",0,1,29,19,13,19,3,84,249
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 233","Témiscaming",2,1,40,9,19,33,2,106,301
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 234","Témiscaming",5,2,13,16,21,48,2,107,272
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 400","La Sarre",6,2,9,42,43,68,26,196,248
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 401","Amos",3,1,4,47,48,67,13,183,220
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 402","Rouyn-Noranda",1,1,4,64,26,146,19,261,327
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 403","Rouyn-Noranda",Merged with No./Fusionné avec le n°157,,,,,,,,8
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500A","Mobile poll/Bureau itinérant",2,1,1,7,2,15,3,31,19
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500B","La Sarre",Merged with No./Fusionné avec le n°30,,,,,,,,4
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 500C","Palmarolle",Merged with No./Fusionné avec le n°80,,,,,,,,1
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 501","Mobile poll/Bureau itinérant",3,1,2,9,13,12,4,44,100
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502A","Mobile poll/Bureau itinérant",5,1,0,20,9,20,7,62,54
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502B","Amos",Merged with No./Fusionné avec le n°70,,,,,,,,17
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 502C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,40
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 503","Mobile poll/Bureau itinérant",3,1,2,26,9,24,2,67,140
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 504A","Mobile poll/Bureau itinérant",2,0,2,22,16,27,5,74,58
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,30
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 505A","Mobile poll/Bureau itinérant",3,1,1,17,9,19,8,58,66
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,,,21
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 506","Mobile poll/Bureau itinérant",2,3,0,34,23,60,9,131,169
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 507A","Mobile poll/Bureau itinérant",1,1,3,26,6,18,3,58,80
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 507B","Évain",Merged with No./Fusionné avec le n°166,,,,,,,,13
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,108
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508B","Beaudry",Merged with No./Fusionné avec le n°179,,,,,,,,14
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 508C","Granada",Merged with No./Fusionné avec le n°173,,,,,,,,10
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 509","Mobile poll/Bureau itinérant",4,2,5,6,8,30,1,56,66
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 510","Mobile poll/Bureau itinérant",0,0,3,11,4,23,2,43,87
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","La Sarre",22,5,32,232,104,153,9,557,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","La Sarre",36,2,39,349,138,161,15,740,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Duparquet",8,0,7,103,19,46,4,187,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Macamic",10,4,38,169,73,89,4,387,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","Villemontel",13,0,6,38,19,16,3,95,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Amos",11,2,21,141,78,72,4,329,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Barraute",9,2,10,74,45,63,4,207,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Amos",19,2,51,257,120,193,17,659,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","Amos",15,5,47,315,120,255,14,771,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Preissac",10,1,29,140,91,61,4,336,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Rouyn-Noranda",16,5,52,248,66,129,5,521,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",27,6,64,393,105,239,11,845,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 612","Rouyn-Noranda",26,11,64,440,104,342,10,997,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 613","Rouyn-Noranda",27,13,87,424,116,269,19,955,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 614","Rouyn-Noranda",20,8,42,292,97,197,14,670,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 615","Rouyn-Noranda",10,3,19,189,58,78,8,365,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 616","Notre-Dame-du-Nord",6,1,41,75,46,71,2,242,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 617","Latulipe",6,2,17,49,21,32,2,129,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 618","Ville-Marie",14,5,105,246,105,193,13,681,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 619","Témiscaming",19,13,69,71,72,177,1,422,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 1/Groupe 1, 6,0,5,11,6,31,6,65,64
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 2/Groupe 2, 99,14,216,671,266,587,24,1877,
