Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Éric Barnabé,Mathieu Castonguay,Rémi-Jocelyn Côté,Rémi Massé,Kristina Michaud,James Morrison,Natasha Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 171","Saint-André-de-Restigouche",0,1,4,25,35,3,2,0,70,137
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 172","Les Hauteurs-de-Rimouski",3,3,7,24,116,0,22,4,179,382
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 173","Matapédia",2,1,7,70,45,7,30,4,166,271
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 174","Matapédia",1,0,4,62,32,3,9,4,115,226
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 175","Saint-Alexis-de-Matapédia",0,0,2,57,43,7,17,3,129,222
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 176","Saint-Alexis-de-Matapédia",1,2,3,53,46,1,17,1,124,191
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 177","Saint-François-d'Assise",2,0,2,89,80,2,27,4,206,373
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 178","Saint-François-d'Assise",2,1,1,25,53,0,21,2,105,190
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 179","Saint-Charles-Garnier",0,1,0,17,67,3,7,4,99,208
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 180","L'Ascension-de-Patapédia",1,0,0,40,18,0,12,5,76,144
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 400","Amqui",1,1,1,40,36,0,8,7,94,114
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 500","Mobile poll/Bureau itinérant",2,0,1,27,2,0,2,7,41,88
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 501","Mobile poll/Bureau itinérant",0,0,1,35,9,0,2,1,48,168
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 502","Mobile poll/Bureau itinérant",3,0,1,59,29,0,3,5,100,224
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 503","Mobile poll/Bureau itinérant",1,0,0,8,6,0,1,2,18,38
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,,0
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 505","Mobile poll/Bureau itinérant",2,1,1,44,29,0,5,5,87,137
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 506","Mobile poll/Bureau itinérant",1,0,4,13,9,0,4,2,33,54
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 507","Mobile poll/Bureau itinérant",0,1,2,23,4,0,7,4,41,160
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 508","Mobile poll/Bureau itinérant",0,0,2,18,11,0,4,5,40,87
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 509","Mobile poll/Bureau itinérant",0,0,2,27,12,1,6,3,51,98
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 510","Mobile poll/Bureau itinérant",1,1,0,15,16,0,4,7,44,67
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 511","Mobile poll/Bureau itinérant",0,1,1,39,22,0,4,2,69,86
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 512","Mobile poll/Bureau itinérant",0,0,2,30,27,0,4,4,67,107
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 513","Mobile poll/Bureau itinérant",0,1,3,10,2,0,3,1,20,28
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 514","Mobile poll/Bureau itinérant",0,1,3,22,3,2,4,1,36,71
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 600","Les Méchins",0,1,5,77,178,2,34,9,306,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 601","Matane",1,1,11,115,256,3,35,5,427,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 602","Rivière-Nouvelle",1,1,11,157,155,12,32,13,382,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 603","Carleton-sur-Mer",0,4,19,338,348,18,60,14,801,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 604","Maria",4,1,19,151,269,21,35,8,508,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 605","Pointe-à-la-Croix",1,6,42,124,95,19,45,13,345,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 606","Causapscal",3,4,8,170,282,3,30,4,504,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 607","Causapscal",2,0,4,59,148,5,16,5,239,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 608","Amqui",1,5,13,181,409,4,49,16,678,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 609","Amqui",3,2,5,134,326,3,31,5,509,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 610","Matane",3,3,9,509,402,6,61,11,1004,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 611","Matane",1,2,17,389,352,14,48,11,834,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 612","Matane",2,5,15,372,434,8,43,8,887,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 613","Saint-Ulric",0,4,9,148,225,4,22,4,416,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 614","Sayabec",1,1,10,143,369,6,51,7,588,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 615","Amqui",1,2,10,84,218,4,32,6,357,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 616","Pointe-à-la-Croix",5,0,7,75,71,6,24,4,192,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 617","Saint-Gabriel",0,0,18,67,174,5,26,4,294,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 618","Mont-Joli",0,1,13,126,255,6,38,3,442,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 619","Mont-Joli",3,5,30,206,344,12,42,11,653,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 620","Price",3,4,8,101,204,10,37,6,373,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 621","Mont-Joli",4,1,23,242,353,7,38,12,680,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 622","Sainte-Luce",5,3,22,159,283,16,39,1,528,
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia",,Group 1/Groupe 1, 0,0,3,31,8,1,6,8,57,51
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia",,Group 2/Groupe 2, 7,4,59,383,345,36,58,10,902,
