Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luca Abbatiello,Mathieu Bonsaint,David-Roger Gagnon,Marie-Claude Gaudet,Joël Godin,Annie Talbot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 193","Donnacona",3,43,9,1,49,24,1,130,400
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 194","Donnacona",2,35,13,5,76,25,1,157,375
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 195","Donnacona",0,42,7,9,91,39,9,197,421
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 196","Donnacona",2,41,9,5,63,40,5,165,359
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 197","Donnacona",1,43,7,4,58,31,2,146,355
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 198","Donnacona",1,56,20,10,98,37,4,226,477
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 199","Donnacona",2,30,8,0,50,20,2,112,382
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 200","Donnacona",3,34,10,3,33,20,6,109,349
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 201","Donnacona",4,40,19,7,154,44,4,272,521
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 202","Donnacona",2,33,12,5,60,39,6,157,356
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 203","Saint-Ubalde",4,51,8,11,109,59,6,248,385
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 204","Saint-Ubalde",4,80,8,14,91,50,5,252,405
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 205","Saint-Ubalde",3,50,7,4,104,41,3,212,314
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 206","Portneuf",4,36,9,10,54,35,2,150,358
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 207","Portneuf",5,27,11,3,51,14,3,114,308
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 208","Portneuf",4,39,7,0,58,30,1,139,358
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 209","Portneuf",3,51,7,4,57,31,0,153,327
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 210","Saint-Gilbert",1,33,10,5,75,28,2,154,247
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 211","Saint-Marc-des-Carrières",4,32,9,1,75,22,2,145,385
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 212","Saint-Marc-des-Carrières",4,43,8,8,119,17,5,204,434
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 213","Saint-Marc-des-Carrières",3,29,3,1,61,24,3,124,290
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 214A","Saint-Marc-des-Carrières",2,22,4,5,30,9,2,74,240
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 214B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,29
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 215","Saint-Marc-des-Carrières",3,40,10,1,74,14,3,145,282
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 216","Saint-Marc-des-Carrières",3,27,4,2,62,23,0,121,314
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 217","Saint-Marc-des-Carrières",2,44,3,3,74,19,3,148,373
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 218","Saint-Thuribe",1,34,9,6,62,25,3,140,221
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 219","Deschambault-Grondines",2,79,25,7,87,43,3,246,452
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 220","Deschambault-Grondines",11,45,7,7,75,26,8,179,368
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 221","Deschambault-Grondines",5,73,20,11,57,36,4,206,370
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 222","Saint-Casimir",2,31,3,3,74,15,0,128,223
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 223","Saint-Casimir",4,40,11,8,88,34,4,189,302
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 224","Saint-Casimir",4,39,8,5,63,27,3,149,280
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 225","Saint-Casimir",2,40,6,10,84,45,2,189,335
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 226","Deschambault-Grondines",5,44,7,15,55,18,1,145,260
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 227","Deschambault-Grondines",3,67,17,9,63,37,6,202,346
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 400","Saint-Raymond",1,32,3,1,61,42,14,154,195
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 401","Saint-Augustin-de-Desmaures",0,49,5,1,31,88,15,189,231
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 402","Saint-Augustin-de-Desmaures",1,30,2,2,45,55,9,144,186
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 403","Pont-Rouge",0,30,2,1,45,39,5,122,166
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 404","Donnacona",3,31,2,0,53,47,10,146,203
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 500","Mobile poll/Bureau itinérant",1,15,1,0,20,19,2,58,79
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 501","Mobile poll/Bureau itinérant",0,2,0,0,5,7,0,14,88
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 502","Mobile poll/Bureau itinérant",1,6,0,3,2,11,3,26,63
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 503","Mobile poll/Bureau itinérant",0,12,0,0,21,19,3,55,75
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 504","Mobile poll/Bureau itinérant",0,13,1,5,9,32,6,66,160
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 505","Mobile poll/Bureau itinérant",0,13,1,1,39,23,5,82,110
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 506","Mobile poll/Bureau itinérant",0,9,1,2,20,22,3,57,152
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 507","Mobile poll/Bureau itinérant",1,7,0,0,14,14,2,38,110
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 600","Stoneham-et-Tewkesbury",22,187,35,33,249,100,9,635,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 601","Sainte-Brigitte-de-Laval",23,169,31,19,244,94,7,587,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 602","Lac-Beauport",9,152,33,22,199,141,1,557,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 603","Lac-Beauport",23,195,29,24,261,145,11,688,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 604","Stoneham-et-Tewkesbury",29,221,33,22,323,195,15,838,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 605","Shannon-St-Gabriel",27,107,33,19,246,91,2,525,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 606","Shannon-St-Gabriel",13,52,22,5,237,66,7,402,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 607","Sainte-Catherine",18,179,36,17,371,104,18,743,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 608","Saint-Augustin-de-Desmaures",33,337,73,37,611,223,17,1331,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 609","Saint-Augustin-de-Desmaures",30,415,58,42,412,331,13,1301,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 610","Saint-Augustin-de-Desmaures",18,526,70,36,391,426,15,1482,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 611","Neuville",24,244,35,29,363,132,13,840,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 612","Donnacona",20,284,37,13,437,203,21,1015,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 613","Donnacona",213,168,23,16,261,78,11,770,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 614","Pont-Rouge",30,190,32,15,410,140,19,836,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 615","Pont-Rouge",20,219,37,24,481,122,11,914,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 616","Sainte-Catherine",17,160,40,31,358,179,20,805,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 617","Linton",15,209,36,16,427,151,18,872,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 618","Saint-Raymond",23,191,39,30,502,145,12,942,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 619","Saint-Basile",12,44,8,6,112,27,4,213,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 620","Saint-Basile",10,147,14,7,295,102,10,585,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 621","Deschambault-Grondines",6,124,13,9,143,63,1,359,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 622","Saint-Gilbert",11,120,29,6,278,116,14,574,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 623","Deschambault-Grondines",2,67,13,14,102,43,4,245,
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 1/Groupe 1, 30,19,46,28,508,79,37,747,73
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 2/Groupe 2, 28,432,100,91,706,405,38,1800,
