Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brogan Anderson,Kody Blois,Stacey Dodge,Martha MacQuarrie,Stephen Schneider,Matthew Southall,Nicholas Tan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 93","Port Williams",28,111,0,67,38,9,0,0,253,432
12007,"Kings--Hants/Kings--Hants"," 94","Port Williams",35,88,0,38,37,7,0,0,205,316
12007,"Kings--Hants/Kings--Hants"," 95","Wolfville",16,70,0,17,32,1,0,0,136,349
12007,"Kings--Hants/Kings--Hants"," 96","Wolfville",49,86,0,26,77,0,2,1,241,485
12007,"Kings--Hants/Kings--Hants"," 97","Ardoise",30,81,1,65,26,3,1,0,207,363
12007,"Kings--Hants/Kings--Hants"," 98","Ellershouse",17,54,1,42,24,1,0,0,139,269
12007,"Kings--Hants/Kings--Hants"," 99","Ardoise",34,55,0,45,22,3,1,1,161,296
12007,"Kings--Hants/Kings--Hants"," 100","Wolfville",31,34,0,21,52,2,0,1,141,140
12007,"Kings--Hants/Kings--Hants"," 101","Wolfville",47,77,0,17,85,0,3,2,231,391
12007,"Kings--Hants/Kings--Hants"," 102","Wolfville",40,70,0,28,67,4,2,1,212,405
12007,"Kings--Hants/Kings--Hants"," 103","Wolfville",42,51,1,21,69,0,0,1,185,455
12007,"Kings--Hants/Kings--Hants"," 104","Wolfville",30,55,0,25,51,2,0,0,163,345
12007,"Kings--Hants/Kings--Hants"," 105","Wolfville",41,79,0,36,61,2,0,0,219,425
12007,"Kings--Hants/Kings--Hants"," 106","Sweets Corners",23,79,1,34,25,5,0,1,168,289
12007,"Kings--Hants/Kings--Hants"," 107","Greenwich",35,129,0,56,36,1,1,4,262,436
12007,"Kings--Hants/Kings--Hants"," 108","New Minas",7,48,0,28,17,1,0,0,101,263
12007,"Kings--Hants/Kings--Hants"," 109","Canada Creek",17,59,1,48,33,3,0,1,162,245
12007,"Kings--Hants/Kings--Hants"," 110","Windsor",12,41,1,28,17,7,0,0,106,276
12007,"Kings--Hants/Kings--Hants"," 111","Windsor",12,77,1,41,37,3,1,1,173,384
12007,"Kings--Hants/Kings--Hants"," 112","Windsor",10,88,0,26,29,6,0,0,159,392
12007,"Kings--Hants/Kings--Hants"," 113","Windsor",18,77,1,32,47,2,0,0,177,376
12007,"Kings--Hants/Kings--Hants"," 114","Windsor",15,56,0,30,19,4,0,2,126,320
12007,"Kings--Hants/Kings--Hants"," 115","Windsor",16,103,0,25,26,3,0,2,175,333
12007,"Kings--Hants/Kings--Hants"," 116","Windsor",20,91,2,38,28,3,0,2,184,442
12007,"Kings--Hants/Kings--Hants"," 117","Three Mile Plains",17,57,1,21,14,4,0,0,114,318
12007,"Kings--Hants/Kings--Hants"," 118","Three Mile Plains",20,145,1,87,37,3,0,1,294,572
12007,"Kings--Hants/Kings--Hants"," 119","St. Croix",25,133,0,78,48,7,2,0,293,437
12007,"Kings--Hants/Kings--Hants"," 120","Ellershouse",15,75,0,29,32,2,1,0,154,373
12007,"Kings--Hants/Kings--Hants"," 121","Newport Station",24,75,1,41,34,11,1,1,188,338
12007,"Kings--Hants/Kings--Hants"," 122","Windsor",19,106,0,32,16,1,3,7,184,279
12007,"Kings--Hants/Kings--Hants"," 123","Aldershot",15,48,0,32,17,4,0,1,117,293
12007,"Kings--Hants/Kings--Hants"," 124","Kentville",20,65,0,28,37,2,0,0,152,352
12007,"Kings--Hants/Kings--Hants"," 125","Kentville",21,73,0,46,57,2,0,4,203,440
12007,"Kings--Hants/Kings--Hants"," 126","Kentville",20,69,1,69,43,4,1,1,208,388
12007,"Kings--Hants/Kings--Hants"," 127","Kentville",23,51,2,32,43,4,1,4,160,383
12007,"Kings--Hants/Kings--Hants"," 128","Kentville",15,66,0,31,49,1,0,2,164,433
12007,"Kings--Hants/Kings--Hants"," 129","Aldershot",24,55,1,69,29,5,0,1,184,360
12007,"Kings--Hants/Kings--Hants"," 130","Kentville",31,38,0,31,40,2,0,0,142,313
12007,"Kings--Hants/Kings--Hants"," 131","Gaspereau",36,63,0,30,43,0,0,2,174,323
12007,"Kings--Hants/Kings--Hants"," 132","Gaspereau",39,63,1,48,27,1,0,1,180,380
12007,"Kings--Hants/Kings--Hants"," 133","White Rock",24,73,0,45,39,6,2,2,191,354
12007,"Kings--Hants/Kings--Hants"," 134","White Rock",21,55,1,54,27,2,1,3,164,319
12007,"Kings--Hants/Kings--Hants"," 135","New Minas",22,76,0,37,39,1,0,2,177,380
12007,"Kings--Hants/Kings--Hants"," 136","New Minas",12,53,0,43,35,4,0,1,148,389
12007,"Kings--Hants/Kings--Hants"," 137","New Minas",16,36,0,43,17,0,1,1,114,346
12007,"Kings--Hants/Kings--Hants"," 138","New Minas",11,38,0,34,26,0,1,1,111,282
12007,"Kings--Hants/Kings--Hants"," 139","New Minas",12,56,0,38,28,2,0,0,136,318
12007,"Kings--Hants/Kings--Hants"," 140","New Minas",20,44,1,34,29,3,0,3,134,400
12007,"Kings--Hants/Kings--Hants"," 141","New Minas",26,58,0,47,20,0,1,0,152,329
12007,"Kings--Hants/Kings--Hants"," 142","New Minas",7,32,0,28,13,2,0,1,83,253
12007,"Kings--Hants/Kings--Hants"," 143","New Minas",21,49,0,43,33,5,0,1,152,387
12007,"Kings--Hants/Kings--Hants"," 144","New Minas",17,32,0,16,20,5,0,0,90,297
12007,"Kings--Hants/Kings--Hants"," 145","Lakeville",26,48,0,42,29,3,0,1,149,293
12007,"Kings--Hants/Kings--Hants"," 146","Lakeville",26,66,0,74,42,1,0,1,210,419
12007,"Kings--Hants/Kings--Hants"," 147","Kentville",15,68,0,38,46,4,1,4,176,402
12007,"Kings--Hants/Kings--Hants"," 148","Kentville",18,80,1,46,18,0,1,0,164,316
12007,"Kings--Hants/Kings--Hants"," 149","Kentville",17,60,1,31,24,5,0,2,140,349
12007,"Kings--Hants/Kings--Hants"," 150","Kentville",27,92,2,40,34,5,0,3,203,419
12007,"Kings--Hants/Kings--Hants"," 151","Kentville",16,53,1,43,38,1,0,0,152,364
12007,"Kings--Hants/Kings--Hants"," 152","Kentville",24,83,0,42,42,1,0,2,194,405
12007,"Kings--Hants/Kings--Hants"," 153","Kentville",35,59,0,41,27,2,0,2,166,369
12007,"Kings--Hants/Kings--Hants"," 154","Three Mile Plains",18,60,0,38,31,0,1,1,149,329
12007,"Kings--Hants/Kings--Hants"," 155","Three Mile Plains",21,53,0,47,27,6,0,0,154,386
12007,"Kings--Hants/Kings--Hants"," 156","Three Mile Plains",19,105,0,57,37,2,1,1,222,442
12007,"Kings--Hants/Kings--Hants"," 157","Windsor Forks",21,63,1,48,24,7,0,0,164,325
12007,"Kings--Hants/Kings--Hants"," 158","Kentville",29,55,1,28,41,2,0,5,161,394
12007,"Kings--Hants/Kings--Hants"," 159","Kentville",32,112,1,62,55,3,0,0,265,551
12007,"Kings--Hants/Kings--Hants"," 160","Kentville",30,74,2,42,27,2,0,1,178,428
12007,"Kings--Hants/Kings--Hants"," 161","Kentville",20,98,1,67,44,2,0,1,233,440
12007,"Kings--Hants/Kings--Hants"," 162","Kentville",16,95,0,48,41,2,0,0,202,427
12007,"Kings--Hants/Kings--Hants"," 163","Kentville",27,122,0,44,30,3,0,0,226,448
12007,"Kings--Hants/Kings--Hants"," 164","Falmouth",15,67,0,44,32,4,0,3,165,275
12007,"Kings--Hants/Kings--Hants"," 165","Falmouth",14,110,0,46,13,6,0,1,190,387
12007,"Kings--Hants/Kings--Hants"," 166","Falmouth",10,64,0,20,12,5,0,0,111,215
12007,"Kings--Hants/Kings--Hants"," 167","Falmouth",23,66,0,31,18,2,1,1,142,301
12007,"Kings--Hants/Kings--Hants"," 168","Falmouth",17,82,1,42,23,2,0,0,167,375
12007,"Kings--Hants/Kings--Hants"," 169","Windsor Forks",4,53,0,43,10,2,0,0,112,213
12007,"Kings--Hants/Kings--Hants"," 170","Falmouth",23,51,0,45,15,4,0,1,139,280
12007,"Kings--Hants/Kings--Hants"," 171","Upper Falmouth",11,47,1,27,29,5,0,0,120,245
12007,"Kings--Hants/Kings--Hants"," 172","Mount Uniacke",27,84,0,44,27,3,2,2,189,398
12007,"Kings--Hants/Kings--Hants"," 173","Etter Settlement",19,47,0,42,31,1,0,0,140,303
12007,"Kings--Hants/Kings--Hants"," 174","Mount Uniacke",33,61,0,42,28,5,1,0,170,334
12007,"Kings--Hants/Kings--Hants"," 175","Kinsmans Corner",30,99,2,76,47,2,0,3,259,438
12007,"Kings--Hants/Kings--Hants"," 176","Coldbrook",10,77,0,47,31,1,0,0,166,357
12007,"Kings--Hants/Kings--Hants"," 177","Coldbrook",16,64,0,39,33,1,2,2,157,394
12007,"Kings--Hants/Kings--Hants"," 178","Coldbrook",19,86,0,48,43,3,1,0,200,332
12007,"Kings--Hants/Kings--Hants"," 179","Coldbrook",13,76,1,51,34,2,0,2,179,355
12007,"Kings--Hants/Kings--Hants"," 180","Coldbrook",12,75,0,36,24,2,2,0,151,267
