Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,Afroza Hossain,Eric Mackenzie,Shailene Panylo,Jovannah Ramsden,Jeff Tomlinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35074,"Oshawa/Oshawa"," 129","Oshawa",79,76,4,54,11,0,0,224,429
35074,"Oshawa/Oshawa"," 130","Oshawa",70,58,1,46,15,1,1,192,364
35074,"Oshawa/Oshawa"," 131","Oshawa",94,70,9,72,10,0,2,257,436
35074,"Oshawa/Oshawa"," 132","Oshawa",67,100,4,51,7,0,1,230,441
35074,"Oshawa/Oshawa"," 133","Oshawa",79,46,6,81,11,2,4,229,466
35074,"Oshawa/Oshawa"," 134","Oshawa",105,58,6,90,13,0,0,272,463
35074,"Oshawa/Oshawa"," 135","Oshawa",92,60,1,62,21,1,1,238,454
35074,"Oshawa/Oshawa"," 136","Oshawa",75,56,8,38,10,0,1,188,366
35074,"Oshawa/Oshawa"," 137","Oshawa",96,98,3,30,12,0,2,241,535
35074,"Oshawa/Oshawa"," 138","Oshawa",95,69,1,56,12,2,1,236,465
35074,"Oshawa/Oshawa"," 139","Oshawa",82,77,1,61,11,1,1,234,475
35074,"Oshawa/Oshawa"," 140","Oshawa",83,57,1,68,13,1,1,224,457
35074,"Oshawa/Oshawa"," 141","Oshawa",94,42,2,64,11,0,4,217,481
35074,"Oshawa/Oshawa"," 142","Oshawa",84,52,2,75,12,0,0,225,495
35074,"Oshawa/Oshawa"," 143","Oshawa",94,62,4,63,16,0,4,243,509
35074,"Oshawa/Oshawa"," 144","Oshawa",61,35,4,44,9,1,0,154,478
35074,"Oshawa/Oshawa"," 145","Oshawa",70,47,7,62,8,0,0,194,479
35074,"Oshawa/Oshawa"," 146","Oshawa",53,43,6,74,10,0,0,186,449
35074,"Oshawa/Oshawa"," 147","Oshawa",43,33,8,52,17,0,0,153,528
35074,"Oshawa/Oshawa"," 148","Oshawa",89,75,5,91,20,0,4,284,516
35074,"Oshawa/Oshawa"," 149","Oshawa",53,34,3,68,10,1,1,170,479
35074,"Oshawa/Oshawa"," 150","Oshawa",41,36,0,52,7,0,0,136,517
35074,"Oshawa/Oshawa"," 151","Oshawa",73,46,8,63,7,0,0,197,462
35074,"Oshawa/Oshawa"," 152","Oshawa",58,45,8,73,16,0,1,201,515
35074,"Oshawa/Oshawa"," 153","Oshawa",90,42,2,73,20,3,3,233,531
35074,"Oshawa/Oshawa"," 154","Oshawa",41,40,6,60,8,0,0,155,510
35074,"Oshawa/Oshawa"," 155","Oshawa",115,68,6,90,13,0,0,292,575
35074,"Oshawa/Oshawa"," 156","Oshawa",108,57,7,80,10,0,0,262,514
35074,"Oshawa/Oshawa"," 157","Oshawa",94,46,9,79,3,0,4,235,506
35074,"Oshawa/Oshawa"," 158","Oshawa",60,45,6,74,6,0,2,193,528
35074,"Oshawa/Oshawa"," 159","Oshawa",70,31,8,73,22,1,3,208,468
35074,"Oshawa/Oshawa"," 160","Oshawa",90,43,2,61,15,0,0,211,426
35074,"Oshawa/Oshawa"," 161","Oshawa",93,59,2,56,8,1,5,224,492
35074,"Oshawa/Oshawa"," 162","Oshawa",55,49,2,52,11,0,1,170,472
35074,"Oshawa/Oshawa"," 163","Oshawa",74,32,5,74,15,2,1,203,447
35074,"Oshawa/Oshawa"," 164","Oshawa",54,41,8,63,11,1,3,181,541
35074,"Oshawa/Oshawa"," 165","Oshawa",50,36,6,61,8,0,0,161,520
35074,"Oshawa/Oshawa"," 166","Oshawa",66,33,6,49,11,0,2,167,527
35074,"Oshawa/Oshawa"," 167","Oshawa",62,34,2,60,8,1,0,167,478
35074,"Oshawa/Oshawa"," 168","Oshawa",59,45,5,63,17,2,0,191,480
35074,"Oshawa/Oshawa"," 169","Oshawa",112,30,7,81,11,0,0,241,528
35074,"Oshawa/Oshawa"," 170","Oshawa",78,77,3,53,8,0,2,221,428
35074,"Oshawa/Oshawa"," 171","Oshawa",67,39,4,63,17,1,1,192,501
35074,"Oshawa/Oshawa"," 172","Oshawa",48,45,6,68,10,2,0,179,527
35074,"Oshawa/Oshawa"," 173","Oshawa",61,78,6,71,8,1,1,226,490
35074,"Oshawa/Oshawa"," 174","Oshawa",95,68,0,78,12,0,2,255,485
35074,"Oshawa/Oshawa"," 175","Oshawa",98,78,6,46,16,0,3,247,504
35074,"Oshawa/Oshawa"," 176","Oshawa",96,62,10,63,16,1,3,251,514
35074,"Oshawa/Oshawa"," 177","Oshawa",89,59,5,70,13,1,2,239,488
35074,"Oshawa/Oshawa"," 178","Oshawa",103,27,9,68,13,0,1,221,482
35074,"Oshawa/Oshawa"," 179","Oshawa",76,54,9,68,8,2,0,217,467
35074,"Oshawa/Oshawa"," 180","Oshawa",63,63,0,63,14,1,2,206,441
35074,"Oshawa/Oshawa"," 181","Oshawa",56,54,1,57,13,0,0,181,407
35074,"Oshawa/Oshawa"," 182","Oshawa",68,34,8,62,8,1,0,181,427
35074,"Oshawa/Oshawa"," 183","Oshawa",75,60,2,59,9,1,1,207,446
