Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Maxime Bernier,Josiane Fortin,François Jacques-Côté,Richard Lehoux,Guillaume Rodrigue,Adam Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 401","Notre-Dame-des-Pins",29,3,0,0,18,8,20,12,90,130
24007,"Beauce/Beauce"," 402","Saint-Georges",55,4,1,2,49,28,81,11,231,293
24007,"Beauce/Beauce"," 403","Saint-Georges",54,14,1,1,35,8,49,9,171,224
24007,"Beauce/Beauce"," 404","Saint-Georges",55,7,2,2,53,25,66,19,229,335
24007,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",20,1,0,1,20,3,14,1,60,128
24007,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",22,6,2,2,19,11,22,5,89,96
24007,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",16,1,0,0,19,2,10,2,50,91
24007,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",22,5,0,1,25,7,11,13,84,106
24007,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",25,4,0,0,6,15,5,4,59,65
24007,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",27,4,1,1,22,5,29,19,108,196
24007,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",19,3,1,1,8,2,14,5,53,154
24007,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",26,3,0,0,18,4,11,5,67,104
24007,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",20,5,2,2,13,9,14,8,73,80
24007,"Beauce/Beauce"," 600","St. Isidore",29,2,4,9,70,33,17,3,167,
24007,"Beauce/Beauce"," 601","Sainte-Hénédine--Scott",70,4,4,13,144,39,31,2,307,
24007,"Beauce/Beauce"," 602","Saint-Bernard--Saint-Elzéar",55,4,3,5,175,27,26,1,296,
24007,"Beauce/Beauce"," 603","Sainte-Marie",204,22,16,16,489,102,76,12,937,
24007,"Beauce/Beauce"," 604","Sainte-Marie",285,21,35,41,527,178,141,19,1247,
24007,"Beauce/Beauce"," 605","Frampton--Saint-Odilon",82,3,6,5,88,24,22,2,232,
24007,"Beauce/Beauce"," 606","Vallée-Jonction--Saint-Frédéric",72,8,8,9,91,38,29,3,258,
24007,"Beauce/Beauce"," 607","Saint-Joseph",259,25,15,46,457,135,74,18,1029,
24007,"Beauce/Beauce"," 608","Saint-Victor--Saint-Éphrem-de-Beauce",146,9,21,17,224,60,79,7,563,
24007,"Beauce/Beauce"," 609","Beauceville",352,16,14,22,379,151,123,21,1078,
24007,"Beauce/Beauce"," 610","Saint-Benjamin--Saint-Prosper",139,8,7,10,157,197,60,11,589,
24007,"Beauce/Beauce"," 611","Saint-Zacharie--Saint-Prosper",117,10,7,7,109,72,38,5,365,
24007,"Beauce/Beauce"," 612","Saint-Georges",355,21,40,26,370,190,183,17,1202,
24007,"Beauce/Beauce"," 613","Saint-Simon-les-Mines",281,10,14,31,275,137,130,11,889,
24007,"Beauce/Beauce"," 614","Saint-Georges",313,17,20,30,259,127,177,8,951,
24007,"Beauce/Beauce"," 615","Saint-Georges",479,32,38,40,388,233,242,26,1478,
24007,"Beauce/Beauce"," 616","Saint-Georges",316,17,31,23,319,155,125,15,1001,
24007,"Beauce/Beauce"," 617","Saint-Côme-Linière",104,5,10,8,88,42,38,1,296,
24007,"Beauce/Beauce"," 618","Saint-Georges--Saint-Benoit-Labre",271,11,12,30,279,114,104,7,828,
24007,"Beauce/Beauce"," 619","Saint-Gédéon--Saint-Martin",186,13,14,16,235,78,69,9,620,
24007,"Beauce/Beauce"," 620","La Guadeloupe--Saint-Honoré",39,1,4,5,74,19,19,1,162,
24007,"Beauce/Beauce",,Group 1/Groupe 1, 2,5,6,4,9,6,22,7,61,53
24007,"Beauce/Beauce",,Group 2/Groupe 2, 230,15,59,70,284,143,206,34,1041,
