Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andy Fillmore,Bruce Holland,Duncan McGenn,Jo-Ann Roberts,Christine Saulnier,Bill Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 138","Halifax",150,71,5,33,68,2,1,330,582
12005,"Halifax/Halifax"," 139","Halifax",120,27,5,21,68,2,0,243,523
12005,"Halifax/Halifax"," 140","Halifax",79,23,3,22,58,0,0,185,367
12005,"Halifax/Halifax"," 141","Halifax",134,44,5,31,86,3,0,303,572
12005,"Halifax/Halifax"," 142","Halifax",80,40,6,28,60,2,0,216,485
12005,"Halifax/Halifax"," 143","Halifax",91,32,5,24,72,1,1,226,440
12005,"Halifax/Halifax"," 144","Halifax",41,26,2,11,41,0,1,122,350
12005,"Halifax/Halifax"," 145","Halifax",113,48,6,14,89,1,4,275,545
12005,"Halifax/Halifax"," 146","Halifax",192,41,5,35,139,1,4,417,729
12005,"Halifax/Halifax"," 147","Halifax",57,20,3,11,55,2,0,148,461
12005,"Halifax/Halifax"," 148","Halifax",61,30,4,28,45,2,1,171,520
12005,"Halifax/Halifax"," 149","Halifax",72,40,1,11,56,4,0,184,510
12005,"Halifax/Halifax"," 150","Halifax",55,14,6,12,64,1,4,156,510
12005,"Halifax/Halifax"," 151","Halifax",145,30,2,33,58,0,1,269,548
12005,"Halifax/Halifax"," 152","Halifax",95,31,6,20,65,3,2,222,563
12005,"Halifax/Halifax"," 153","Halifax",74,22,3,26,40,0,0,165,320
12005,"Halifax/Halifax"," 154","Halifax",82,36,3,24,43,1,2,191,341
12005,"Halifax/Halifax"," 155","Halifax",114,34,6,24,61,0,1,240,495
12005,"Halifax/Halifax"," 156","Halifax",57,15,6,21,51,2,0,152,351
12005,"Halifax/Halifax"," 157","Fergusons Cove",71,26,4,25,41,3,5,175,342
12005,"Halifax/Halifax"," 158","Halifax",96,26,4,22,37,1,1,187,418
12005,"Halifax/Halifax"," 159","Halifax",56,30,1,24,51,3,1,166,324
12005,"Halifax/Halifax"," 160","Halifax",104,30,4,30,50,6,1,225,458
12005,"Halifax/Halifax"," 161","Halifax",89,24,4,22,45,0,2,186,355
12005,"Halifax/Halifax"," 162","Harrietsfield",54,37,1,17,29,1,0,139,348
12005,"Halifax/Halifax"," 163","Harrietsfield",50,14,2,11,34,2,1,114,314
12005,"Halifax/Halifax"," 164","Harrietsfield",82,36,3,17,40,2,0,180,378
12005,"Halifax/Halifax"," 165","Harrietsfield",57,44,1,20,25,1,1,149,359
12005,"Halifax/Halifax"," 166","Halifax",61,32,2,19,32,2,0,148,309
12005,"Halifax/Halifax"," 167","Portuguese Cove",104,35,6,37,48,2,2,234,393
12005,"Halifax/Halifax"," 168","Ketch Harbour",125,39,5,26,68,1,2,266,434
12005,"Halifax/Halifax"," 400","Halifax",49,15,2,12,17,0,1,96,128
12005,"Halifax/Halifax"," 401","Halifax",37,10,2,11,16,2,1,79,114
12005,"Halifax/Halifax"," 402","Halifax",57,16,1,27,32,1,0,134,194
12005,"Halifax/Halifax"," 403","Halifax",66,24,0,13,36,0,0,139,185
12005,"Halifax/Halifax"," 404","Halifax",Merged with No./Fusionné avec le n°405,,,,,,,,1
12005,"Halifax/Halifax"," 405","Halifax",49,11,0,12,27,0,1,100,130
12005,"Halifax/Halifax"," 406","Halifax",23,10,3,12,31,0,0,79,107
12005,"Halifax/Halifax"," 407","Halifax",38,11,1,8,41,1,1,101,196
12005,"Halifax/Halifax"," 408","Halifax",4,2,0,2,6,0,0,14,28
12005,"Halifax/Halifax"," 409","Halifax",90,29,1,12,14,1,1,148,195
12005,"Halifax/Halifax"," 410","Halifax",33,4,2,7,28,0,3,77,102
12005,"Halifax/Halifax"," 411","Halifax",38,14,1,9,31,0,1,94,161
12005,"Halifax/Halifax"," 500A","Mobile poll/Bureau itinérant",40,21,0,9,10,1,4,85,147
12005,"Halifax/Halifax"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,67
12005,"Halifax/Halifax"," 501","Mobile poll/Bureau itinérant",69,22,0,15,11,0,2,119,179
12005,"Halifax/Halifax"," 502A","Mobile poll/Bureau itinérant",77,31,1,13,11,3,0,136,170
12005,"Halifax/Halifax"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,90
12005,"Halifax/Halifax"," 600","Halifax",536,78,8,154,366,5,6,1153,
12005,"Halifax/Halifax"," 601","Halifax",446,65,6,156,426,5,8,1112,
12005,"Halifax/Halifax"," 602","Halifax",252,38,5,146,408,4,3,856,
12005,"Halifax/Halifax"," 603","Halifax",459,91,8,185,387,1,2,1133,
12005,"Halifax/Halifax"," 604","Halifax",503,125,7,133,174,2,2,946,
12005,"Halifax/Halifax"," 605","Halifax",340,112,4,112,208,0,6,782,
12005,"Halifax/Halifax"," 606","Halifax",441,70,4,172,320,2,0,1009,
12005,"Halifax/Halifax"," 607","Halifax",434,82,5,129,267,4,3,924,
12005,"Halifax/Halifax"," 608","Halifax",587,108,9,182,220,4,6,1116,
12005,"Halifax/Halifax"," 609","Halifax",414,103,11,119,173,1,4,825,
12005,"Halifax/Halifax"," 610","Halifax",744,178,12,224,206,0,4,1368,
12005,"Halifax/Halifax"," 611","Halifax",360,94,7,100,176,3,0,740,
12005,"Halifax/Halifax"," 612","Halifax",605,177,5,235,216,2,3,1243,
12005,"Halifax/Halifax"," 613","Halifax",323,97,5,73,163,4,4,669,
12005,"Halifax/Halifax"," 614","Halifax",286,83,10,101,74,2,7,563,
12005,"Halifax/Halifax"," 615","Harrietsfield",228,124,2,86,77,4,0,521,
12005,"Halifax/Halifax",,Group 1/Groupe 1, 265,110,27,105,159,5,29,700,490
12005,"Halifax/Halifax",,Group 2/Groupe 2, 1107,277,17,589,844,12,87,2933,
