Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clifford Albert,Xavier Barsalou-Duval,Simon Chalifoux,Mathieu Daviault,Sean English,Dany Gariépy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 169","Boucherville",4,89,105,15,26,10,0,249,399
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 170","Boucherville",1,86,76,11,19,7,3,203,364
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 171","Boucherville",0,66,66,13,11,9,0,165,295
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 172","Boucherville",1,85,66,19,16,13,0,200,346
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 173","Boucherville",2,111,130,22,31,14,5,315,571
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 174","Boucherville",3,91,74,10,24,10,1,213,381
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 175","Boucherville",0,65,64,9,8,10,3,159,331
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 176","Boucherville",0,85,65,6,2,3,1,162,438
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 177","Boucherville",3,108,103,9,16,19,1,259,487
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 178","Boucherville",2,78,49,8,17,12,3,169,315
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 179","Boucherville",1,71,58,7,17,13,1,168,338
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 180","Boucherville",1,52,44,6,19,5,4,131,355
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 181","Boucherville",1,64,53,10,17,5,6,156,344
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 182","Boucherville",0,99,65,12,31,10,3,220,396
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 183","Boucherville",1,86,55,15,16,13,1,187,328
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 184","Boucherville",0,73,68,5,23,11,1,181,354
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 185","Boucherville",0,96,86,11,12,7,3,215,409
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 186","Boucherville",0,94,62,13,14,15,3,201,460
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 187","Boucherville",6,86,125,14,21,11,3,266,497
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 188","Boucherville",7,88,70,16,21,11,2,215,451
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 189","Boucherville",2,97,83,10,20,17,3,232,403
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 190","Boucherville",1,74,78,13,14,8,2,190,370
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 191","Boucherville",0,60,99,19,14,14,0,206,429
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 192","Boucherville",0,73,81,18,22,14,1,209,436
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 193","Boucherville",0,77,88,11,18,8,3,205,424
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 194","Boucherville",0,84,114,16,24,4,1,243,467
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 195","Boucherville",0,89,73,5,14,18,3,202,413
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 196","Boucherville",2,87,94,13,12,8,4,220,449
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 197","Boucherville",0,75,69,6,25,14,0,189,337
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 198","Boucherville",1,89,75,10,19,7,4,205,385
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 400","Varennes",0,12,6,5,0,0,1,24,108
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 401","Boucherville",2,32,53,5,1,1,5,99,122
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 402","Boucherville",0,35,69,5,0,2,4,115,180
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 500","Mobile poll/Bureau itinérant",4,41,40,9,1,1,6,102,176
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 501","Mobile poll/Bureau itinérant",0,1,6,1,0,1,1,10,29
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°143B,,,,,,,,121
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 503A","Varennes",0,80,78,15,2,1,14,190,220
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,41
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 504","Mobile poll/Bureau itinérant",1,16,23,2,1,0,4,47,76
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 505","Mobile poll/Bureau itinérant",0,12,15,6,1,1,4,39,84
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 600","Contrecoeur",8,784,217,129,48,29,28,1243,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 601","Saint-Antoine-sur-Richelieu--Saint-Marc-sur-Richelieu",3,372,124,43,27,26,9,604,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 602","Saint-Denis-sur-Richelieu--Saint-Charles-sur-Richelieu",5,312,122,43,26,21,6,535,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 603","Verchères--Calixa-Lavallée",4,666,187,88,45,67,16,1073,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 604","Saint-Mathieu-de-Beloeil",7,374,187,62,31,19,10,690,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 605","Saint-Amable",4,462,160,170,41,30,20,887,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 606","Saint-Amable",7,482,152,184,28,29,17,899,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 607","Varennes",8,754,275,82,56,60,23,1258,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 608","Varennes",9,791,311,93,78,44,20,1346,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 609","Varennes",9,784,310,100,64,55,10,1332,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 610","Boucherville",2,423,288,57,67,38,10,885,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 611","Boucherville",9,802,686,153,65,56,16,1787,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 612","Boucherville",10,583,394,68,88,63,23,1229,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 613","Boucherville",5,733,462,76,91,74,18,1459,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 614","Boucherville",10,556,416,92,72,57,11,1214,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 615","Boucherville",7,544,445,76,75,68,7,1222,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 616","Boucherville",4,574,503,138,77,53,10,1359,
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 1/Groupe 1, 1,14,30,12,3,5,2,67,65
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 2/Groupe 2, 4,505,342,53,94,90,35,1123,
