Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lily Eggink,Diane Finley,Bob Forbes,Kim Huffman,Brooke Martin,Adrienne Roberts,Harold Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 608","Haldimand County",8,264,14,109,35,76,3,1,510,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 609","Haldimand County",6,240,14,82,27,71,6,5,451,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 610","Haldimand County",4,237,5,157,48,80,7,7,545,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 611","Norfolk County",4,281,10,137,39,62,5,3,541,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 612","Norfolk County",3,286,16,91,36,64,4,6,506,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 613","Norfolk County",2,175,7,66,20,31,3,3,307,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 614","Norfolk County",2,276,10,105,43,49,12,3,500,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 615","Norfolk County",4,180,10,59,29,31,4,6,323,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 616","Norfolk County",2,220,3,58,32,25,2,3,345,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 617","Norfolk County",5,249,5,111,68,50,11,4,503,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 618","Norfolk County",4,326,6,118,44,69,24,2,593,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 619","Norfolk County",2,237,5,160,53,63,11,3,534,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 620","Norfolk County",6,271,3,162,59,96,12,1,610,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 621","Norfolk County",3,128,10,90,39,56,3,5,334,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 622","Norfolk County",5,311,12,198,40,81,4,9,660,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 623","Norfolk County",1,210,4,129,37,54,6,1,442,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 624","Norfolk County",7,341,11,193,48,74,12,1,687,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 625","Norfolk County",2,337,13,275,52,51,14,9,753,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 626","Norfolk County",6,216,3,146,45,53,7,7,483,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 627","Norfolk County",3,388,17,160,60,79,8,7,722,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 628","Norfolk County",1,129,2,18,27,21,0,2,200,
35033,"Haldimand--Norfolk/Haldimand--Norfolk",,Group 1/Groupe 1, 2,19,2,39,11,14,1,8,96,110
35033,"Haldimand--Norfolk/Haldimand--Norfolk",,Group 2/Groupe 2, 10,655,23,380,162,162,23,21,1436,
