Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Travis Ashley,John Barr,Stephen Fuhr,Tracy Gray,Daniel Joseph,Justin Kulik,Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 607","Kelowna",60,9,188,228,1,67,0,3,556,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 608","Kelowna",29,10,243,447,0,63,0,2,794,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 609","Kelowna",42,12,261,439,0,64,0,1,819,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 610","Kelowna",53,23,210,312,3,118,1,4,724,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 611","Kelowna",57,17,297,433,3,87,1,5,900,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 612","Kelowna",54,14,261,416,2,90,0,0,837,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 613","Kelowna",58,27,246,452,2,102,2,2,891,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 614","Kelowna",52,23,238,480,1,87,0,5,886,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 615","Central Okanagan",38,9,114,296,1,17,0,0,475,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 616","Kelowna",46,17,274,507,2,73,1,2,922,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 617","Kelowna",78,17,347,503,2,61,1,1,1010,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 618","Kelowna",60,10,401,610,0,62,0,1,1144,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 619","Kelowna",49,9,362,699,0,57,0,1,1177,
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 620","Kelowna",45,8,312,599,0,41,0,3,1008,
59014,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 1/Groupe 1, 17,3,86,32,0,27,0,9,174,231
59014,"Kelowna--Lake Country/Kelowna--Lake Country",,Group 2/Groupe 2, 282,34,936,1489,4,291,3,54,3093,
