Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Hua,Gordon Kubanek,Alain Musende,Pierre Poilievre,Chris Rodgers,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Carleton/Carleton"," 129","Osgoode",16,13,2,176,50,2,259,374
35088,"Carleton/Carleton"," 130","Osgoode",17,11,4,154,45,1,232,378
35088,"Carleton/Carleton"," 131","Goulbourn",23,19,1,83,37,3,166,375
35088,"Carleton/Carleton"," 132","Goulbourn",22,13,1,60,68,0,164,369
35088,"Carleton/Carleton"," 133","Goulbourn",46,12,5,117,118,1,299,625
35088,"Carleton/Carleton"," 134","Goulbourn",40,17,3,93,84,0,237,507
35088,"Carleton/Carleton"," 135","Goulbourn",22,16,3,91,92,1,225,473
35088,"Carleton/Carleton"," 136","Goulbourn",26,18,0,116,109,0,269,539
35088,"Carleton/Carleton"," 137","Goulbourn",24,6,6,72,83,1,192,387
35088,"Carleton/Carleton"," 138A","Goulbourn",Merged with No./Fusionné avec le n°139A,,,,,,,181
35088,"Carleton/Carleton"," 138B","Goulbourn",Merged with No./Fusionné avec le n°139B,,,,,,,131
35088,"Carleton/Carleton"," 139A","Goulbourn",29,7,1,116,100,0,253,328
35088,"Carleton/Carleton"," 139B","Goulbourn",17,11,1,102,89,1,221,339
35088,"Carleton/Carleton"," 140","Goulbourn",36,10,5,135,91,0,277,536
35088,"Carleton/Carleton"," 141","Goulbourn",32,12,0,92,111,2,249,523
35088,"Carleton/Carleton"," 142","Goulbourn",22,10,1,122,107,3,265,571
35088,"Carleton/Carleton"," 143","Rideau",29,18,3,76,83,1,210,434
35088,"Carleton/Carleton"," 144","Rideau",9,11,1,93,80,1,195,418
35088,"Carleton/Carleton"," 145","Rideau",14,15,2,78,74,1,184,398
35088,"Carleton/Carleton"," 146","Osgoode",11,13,4,104,68,1,201,429
35088,"Carleton/Carleton"," 147","Rideau",7,6,3,82,70,1,169,348
35088,"Carleton/Carleton"," 148","Rideau",16,15,5,111,123,2,272,568
35088,"Carleton/Carleton"," 149","Rideau",15,5,5,117,53,1,196,426
35088,"Carleton/Carleton"," 150","Rideau",15,8,0,102,63,1,189,408
35088,"Carleton/Carleton"," 151","Rideau",10,9,2,80,47,0,148,311
35088,"Carleton/Carleton"," 152","Goulbourn",26,10,3,154,66,3,262,577
35088,"Carleton/Carleton"," 153","Goulbourn",22,14,1,108,92,3,240,515
35088,"Carleton/Carleton"," 154","Goulbourn",17,6,0,80,39,1,143,332
35088,"Carleton/Carleton"," 155","Osgoode",27,7,6,89,55,2,186,354
35088,"Carleton/Carleton"," 156","Osgoode",24,13,5,102,72,0,216,454
35088,"Carleton/Carleton"," 157","Osgoode",28,14,3,113,65,3,226,417
35088,"Carleton/Carleton"," 158","Osgoode",14,7,3,130,57,0,211,387
35088,"Carleton/Carleton"," 159","Osgoode",19,15,4,97,69,2,206,476
35088,"Carleton/Carleton"," 160","Osgoode",27,11,1,102,60,2,203,374
35088,"Carleton/Carleton"," 161","Osgoode",26,8,4,127,52,2,219,371
35088,"Carleton/Carleton"," 162","Osgoode",31,8,3,133,83,2,260,520
35088,"Carleton/Carleton"," 163","Osgoode",20,5,2,129,68,0,224,419
35088,"Carleton/Carleton"," 164","Goulbourn",18,13,5,84,67,2,189,383
35088,"Carleton/Carleton"," 165","Goulbourn",23,14,7,113,101,0,258,479
