Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giovanni Abati,Dan Burr,Laura Chesnik,Leo Demarce,Cheryl Hardcastle,Irek Kusmierczyk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 182","Windsor",14,2,0,58,66,66,3,209,516
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 183","Windsor",3,1,1,44,77,79,3,208,501
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 184","Windsor",5,5,2,45,55,28,0,140,376
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 185","Windsor",10,2,2,41,73,77,0,205,473
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 186","Windsor",10,4,0,55,53,67,2,191,390
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 187","Windsor",8,4,1,53,81,58,4,209,410
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 188","Windsor",3,2,0,63,60,40,1,169,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 189","Windsor",9,3,1,37,72,56,5,183,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 190","Tecumseh",6,4,0,68,59,61,5,203,393
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 191","Tecumseh",9,5,0,74,41,78,7,214,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 192","Tecumseh",6,5,0,60,30,78,2,181,356
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 193","Tecumseh",2,7,0,77,52,61,3,202,451
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 194","Tecumseh",7,5,0,78,63,93,1,247,434
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 195","Tecumseh",8,2,0,51,78,82,5,226,445
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 196","Windsor",13,5,1,39,76,77,3,214,503
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 197","Windsor",12,4,1,37,78,42,1,175,459
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 198","Windsor",7,1,0,29,67,39,0,143,357
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 199","Windsor",8,11,0,49,56,34,4,162,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 200","Windsor",14,5,0,57,103,59,1,239,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 201","Windsor",3,5,0,37,89,47,1,182,439
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 202","Windsor",9,14,0,78,75,46,2,224,532
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 203","Windsor",8,2,1,41,56,74,0,182,362
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 204","Windsor",4,2,2,43,72,48,2,173,463
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 205","Windsor",7,14,0,54,64,36,0,175,348
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 206","Windsor",7,4,0,75,94,64,2,246,473
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 207","Windsor",3,2,2,65,89,65,0,226,401
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 208","Tecumseh",10,5,0,81,75,69,2,242,393
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 209","Tecumseh",12,3,1,90,91,83,3,283,491
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 210","Tecumseh",4,9,2,71,117,66,1,270,441
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 211","Windsor",11,6,0,92,76,77,2,264,491
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 212","Tecumseh",7,6,0,59,35,45,3,155,328
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 213","Tecumseh",6,4,0,64,44,49,2,169,357
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 214","Tecumseh",10,11,2,97,59,68,0,247,400
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 215","Tecumseh",12,5,0,88,62,50,1,218,353
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 400","Windsor",1,2,0,31,28,26,3,91,155
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 401","Windsor",5,2,1,34,31,42,0,115,187
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 402","Windsor",5,2,0,31,36,23,2,99,175
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 403","Windsor",6,3,1,39,27,36,0,112,202
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 404","Windsor",4,1,0,30,25,30,3,93,154
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 405","Windsor",4,3,0,60,108,119,0,294,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 406","Windsor",7,1,1,83,58,100,3,253,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 407","Tecumseh",1,0,0,20,20,42,3,86,103
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 408","Windsor",3,6,2,35,27,58,0,131,172
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 409","Windsor",1,3,0,27,44,39,0,114,191
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 410","Windsor",3,1,3,9,11,15,0,42,136
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 411","Windsor",1,7,2,45,71,56,15,197,385
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 500","Mobile poll/Bureau itinérant",3,2,2,20,21,29,7,84,140
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 501","Mobile poll/Bureau itinérant",3,4,2,16,23,24,8,80,158
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 502","Mobile poll/Bureau itinérant",1,6,0,14,23,28,2,74,147
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 503","Mobile poll/Bureau itinérant",2,3,1,8,17,12,4,47,122
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 600","Windsor",13,4,1,138,104,142,2,404,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 601","Windsor",18,11,0,190,134,302,4,659,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 602","Windsor",35,21,2,290,167,289,2,806,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 603","Tecumseh",21,8,0,307,193,297,7,833,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 604","Windsor",21,7,1,242,183,311,6,771,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 605","Windsor",20,14,1,190,175,261,11,672,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 606","Windsor",40,14,0,176,147,182,0,559,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 607","Windsor",17,10,1,167,145,236,3,579,
