Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zaff Ansari,Chandra Arya,Jean-Luc Cooke,Azim Hooda,Brian St. Louis,Dustan Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 607","Nepean",119,469,49,8,384,0,2,1031,
35064,"Nepean/Nepean"," 608","Nepean",135,449,83,12,514,2,6,1201,
35064,"Nepean/Nepean"," 609","Nepean",125,409,71,10,456,1,1,1073,
35064,"Nepean/Nepean"," 610","Nepean",120,601,59,6,364,4,14,1168,
35064,"Nepean/Nepean"," 611","Nepean",102,604,54,12,327,0,3,1102,
35064,"Nepean/Nepean"," 612","Nepean",112,772,60,10,404,5,12,1375,
35064,"Nepean/Nepean"," 613","Nepean",104,619,63,7,566,2,4,1365,
35064,"Nepean/Nepean"," 614","Nepean",121,521,86,12,499,0,5,1244,
35064,"Nepean/Nepean"," 615","Nepean",109,583,64,13,465,6,6,1246,
35064,"Nepean/Nepean"," 616","Nepean",128,704,51,15,493,1,1,1393,
35064,"Nepean/Nepean"," 617","Nepean",80,698,57,4,573,9,2,1423,
35064,"Nepean/Nepean",,Group 1/Groupe 1, 45,206,44,9,158,0,12,474,367
35064,"Nepean/Nepean",,Group 2/Groupe 2, 238,782,158,15,706,3,56,1958,
