Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André-Philippe Chenail,Marc Hivon,Christine Normandin,Chantal Reeves,Jean Rioux,Yvon Savary,Martin Thibert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 500","Mobile poll/Bureau itinérant",2,1,18,0,23,1,2,1,48,72
24067,"Saint-Jean/Saint-Jean"," 501","Mobile poll/Bureau itinérant",2,0,30,2,52,3,9,7,105,161
24067,"Saint-Jean/Saint-Jean"," 502","Mobile poll/Bureau itinérant",3,1,30,3,31,1,8,1,78,81
24067,"Saint-Jean/Saint-Jean"," 503","Mobile poll/Bureau itinérant",3,3,27,1,38,1,5,8,86,121
24067,"Saint-Jean/Saint-Jean"," 504","Mobile poll/Bureau itinérant",1,0,10,1,21,0,3,2,38,97
24067,"Saint-Jean/Saint-Jean"," 600","Saint-Jean-sur-Richelieu",48,8,450,54,299,2,110,13,984,
24067,"Saint-Jean/Saint-Jean"," 601","Saint-Jean-sur-Richelieu",57,5,619,102,436,2,146,21,1388,
24067,"Saint-Jean/Saint-Jean"," 602","Saint-Jean-sur-Richelieu",44,5,429,65,322,4,82,12,963,
24067,"Saint-Jean/Saint-Jean"," 603","Saint-Jean-sur-Richelieu",47,5,514,57,325,2,110,12,1072,
24067,"Saint-Jean/Saint-Jean"," 604","Saint-Jean-sur-Richelieu",39,1,259,30,199,1,82,7,618,
24067,"Saint-Jean/Saint-Jean"," 605","Mont-Saint-Grégoire",43,3,268,55,194,3,97,8,671,
24067,"Saint-Jean/Saint-Jean"," 606","Saint-Jean-sur-Richelieu",35,5,429,40,288,7,110,26,940,
24067,"Saint-Jean/Saint-Jean"," 607","Saint-Jean-sur-Richelieu",40,2,439,66,306,4,104,30,991,
24067,"Saint-Jean/Saint-Jean"," 608","Saint-Jean-sur-Richelieu",20,1,209,28,126,6,51,12,453,
24067,"Saint-Jean/Saint-Jean"," 609","Saint-Jean-Sur-Richelieu",30,1,465,52,419,3,89,26,1085,
24067,"Saint-Jean/Saint-Jean"," 610","Saint-Jean-sur-Richelieu",42,11,426,61,366,3,100,25,1034,
24067,"Saint-Jean/Saint-Jean"," 611","Saint-Jean-sur-Richelieu",85,11,870,147,660,9,225,40,2047,
24067,"Saint-Jean/Saint-Jean"," 612","Saint-Jean-sur-Richelieu",40,6,556,50,430,6,129,0,1217,
24067,"Saint-Jean/Saint-Jean"," 613","Saint-Jean-sur-Richelieu",20,4,256,39,160,2,88,8,577,
24067,"Saint-Jean/Saint-Jean"," 614","Saint-Jean-sur-Richelieu",26,8,255,35,165,0,68,6,563,
24067,"Saint-Jean/Saint-Jean"," 615","Saint-Jean-sur-Richelieu",28,5,265,23,193,3,73,14,604,
24067,"Saint-Jean/Saint-Jean"," 616","Saint-Jean-sur-Richelieu",33,3,455,61,262,6,119,21,960,
24067,"Saint-Jean/Saint-Jean"," 617","Saint-Jean-sur-Richelieu",46,3,403,53,313,5,115,11,949,
24067,"Saint-Jean/Saint-Jean"," 618","Saint-Jean-sur-Richelieu",38,5,355,40,212,4,71,23,748,
24067,"Saint-Jean/Saint-Jean"," 619","Saint-Jean-sur-Richelieu",9,2,220,32,107,3,58,5,436,
24067,"Saint-Jean/Saint-Jean"," 620","Saint-Blaise-sur-Richelieu",28,1,131,10,95,1,32,6,304,
24067,"Saint-Jean/Saint-Jean"," 621","Saint-Alexandre",20,4,215,31,110,3,81,11,475,
24067,"Saint-Jean/Saint-Jean"," 622","Lacolle",33,12,304,45,265,1,107,17,784,
24067,"Saint-Jean/Saint-Jean",,Group 1/Groupe 1, 28,5,22,32,63,2,125,7,284,81
24067,"Saint-Jean/Saint-Jean",,Group 2/Groupe 2, 72,4,364,85,450,3,130,3,1111,
