Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Aaron Brown,Timothy Flemming,Serge Korovitsyn,Priya Patil,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 402","Richmond Hill",8,10,4,4,0,206,4,236,415
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 403","Richmond Hill",39,12,5,2,0,46,1,105,217
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 404","Richmond Hill",2,2,0,3,1,134,0,142,228
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 500A","Mobile poll/Bureau itinérant",26,6,5,2,1,37,2,79,115
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,75
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 501A","Mobile poll/Bureau itinérant",13,4,2,1,0,13,3,36,183
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 501B","Mobile poll/Bureau itinérant",8,1,1,1,1,21,0,33,80
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 502","Mobile poll/Bureau itinérant",19,4,7,3,2,51,5,91,175
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 600","Aurora",421,78,97,7,9,421,2,1035,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 601","Aurora",363,40,46,0,2,328,4,783,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 602","Aurora",359,79,62,4,9,339,3,855,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 603","Aurora",385,39,47,4,0,386,2,863,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 604","Richmond Hill",379,60,24,5,13,340,3,824,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 605","Richmond Hill",400,36,34,7,14,377,3,871,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 606","Richmond Hill",397,33,39,4,16,396,3,888,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 607","Richmond Hill",323,42,24,3,6,345,12,755,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 608","Richmond Hill",397,40,18,9,9,355,6,834,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 609","Richmond Hill",458,36,13,6,9,317,3,842,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 610","Richmond Hill",481,48,26,10,7,426,0,998,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 611","Richmond Hill",382,48,22,8,4,351,6,821,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 612","Richmond Hill",561,57,44,5,9,478,2,1156,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 613","Richmond Hill",479,70,40,8,14,441,4,1056,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 614","Richmond Hill",248,31,10,4,3,339,5,640,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 615","Richmond Hill",548,75,19,9,16,450,11,1128,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 616","Richmond Hill",461,78,36,7,5,378,9,974,
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill",,Group 1/Groupe 1, 50,11,4,2,0,85,11,163,299
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill",,Group 2/Groupe 2, 417,162,97,10,7,600,48,1341,
