Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Anandasangaree,Jessica Hamilton,Kingsley Kwok,Dilano Sally,Bobby Singh,Mark Theodoru,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 106","Scarborough",126,1,23,1,33,3,0,187,393
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 107","Scarborough",120,9,24,0,40,2,0,195,434
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 108","Scarborough",142,7,18,2,37,0,1,207,542
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 109","Scarborough",104,3,23,2,33,1,0,166,394
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 110","Scarborough",97,5,19,0,37,0,1,159,420
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 111","Scarborough",130,17,14,4,56,1,0,222,436
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 112","Scarborough",94,15,25,3,43,0,2,182,337
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 113","Scarborough",127,15,33,0,82,3,0,260,497
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 114","Scarborough",96,15,17,0,49,0,3,180,431
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 115","Scarborough",83,11,17,2,58,1,2,174,414
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 116","Scarborough",113,18,21,3,66,4,0,225,407
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 117","Scarborough",76,19,20,5,67,0,1,188,410
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 118","Scarborough",83,10,17,1,63,2,1,177,324
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 119","Scarborough",106,14,36,7,81,2,1,247,541
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 120","Scarborough",106,11,31,2,45,2,5,202,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 121","Scarborough",106,15,29,1,44,0,2,197,427
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 122","Scarborough",111,28,38,3,58,0,1,239,490
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 123","Scarborough",115,7,32,4,39,3,2,202,468
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 124","Scarborough",117,15,27,6,54,1,5,225,512
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 125","Scarborough",144,14,18,0,48,1,1,226,438
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 126","Scarborough",118,8,32,1,51,1,2,213,523
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 127","Scarborough",97,7,28,2,50,2,3,189,438
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 128","Scarborough",121,11,32,1,58,2,0,225,513
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 129","Scarborough",102,9,7,2,32,1,0,153,301
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 130","Scarborough",124,13,12,1,57,0,0,207,509
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 131","Scarborough",145,12,37,0,42,2,2,240,455
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 132","Scarborough",79,14,16,1,30,0,1,141,328
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 133","Scarborough",89,20,17,4,27,2,1,160,314
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 134","Scarborough",115,13,17,1,56,2,0,204,439
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 135","Scarborough",103,16,27,8,50,2,3,209,473
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 136","Scarborough",102,24,20,2,55,1,0,204,435
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 137","Scarborough",121,22,31,1,57,1,0,233,466
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 138","Scarborough",94,7,20,0,54,0,0,175,409
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 139","Scarborough",71,16,21,3,48,0,1,160,327
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 140","Scarborough",94,15,21,3,66,0,0,199,362
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 141","Scarborough",104,15,26,0,86,0,1,232,433
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 142","Scarborough",92,17,18,7,45,0,0,179,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 143","Scarborough",92,17,27,2,55,0,1,194,387
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 144","Scarborough",70,17,39,1,31,1,0,159,397
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 145","Scarborough",135,17,26,4,48,2,0,232,454
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 146","Scarborough",111,20,44,4,61,1,2,243,546
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park"," 147","Scarborough",118,9,25,2,57,1,5,217,547
