Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neil Drabkin,Marc Garneau,Franklin Gertler,Robert Green,Rachel Hoffman,Jennifer Jetté,Jeffery A. Thomas,André Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 402","Montréal",9,90,6,7,1,1,0,1,2,117,200
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 403","Montréal",8,64,10,7,0,4,2,3,2,100,395
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 404","Montréal",16,77,27,13,0,5,0,2,1,141,300
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 500","Mobile poll/Bureau itinérant",7,98,11,7,0,1,0,0,2,126,198
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 501","Mobile poll/Bureau itinérant",7,64,7,12,0,7,0,4,0,101,248
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 502","Mobile poll/Bureau itinérant",11,78,2,3,0,3,0,0,4,101,183
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 503","Mobile poll/Bureau itinérant",4,80,2,2,0,6,1,0,1,96,175
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 504","Mobile poll/Bureau itinérant",3,59,9,3,1,0,0,1,0,76,139
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 505","Mobile poll/Bureau itinérant",10,40,7,1,0,0,1,0,2,61,128
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 600","Westmount",181,480,58,44,1,38,1,7,6,816,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 601","Westmount",197,611,54,74,0,22,2,6,9,975,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 602","Westmount",183,482,46,91,1,25,0,7,1,836,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 603","Westmount",141,687,88,121,1,27,1,8,1,1075,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 604","Montréal",95,369,92,63,2,44,0,6,2,673,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 605","Montréal",75,468,107,91,3,70,2,5,2,823,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 606","Montréal",57,328,133,91,1,57,0,8,6,681,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 607","Montréal",55,365,151,94,3,49,0,8,4,729,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 608","Montréal",119,660,166,197,0,104,4,3,10,1263,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 609","Montréal",30,328,106,82,2,40,2,3,1,594,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 610","Montréal",72,476,129,128,3,66,4,11,13,902,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 611","Montréal",80,500,77,46,0,15,1,8,16,743,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 612","Montréal",87,588,124,87,1,39,0,10,7,943,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 613","Montréal",94,592,140,80,1,37,3,11,6,964,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 614","Montréal",113,635,133,105,0,39,1,11,7,1044,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 615","Montréal-Ouest",119,664,126,109,1,27,1,14,5,1066,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount",,Group 1/Groupe 1, 21,256,61,60,2,6,2,1,16,425,634
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount",,Group 2/Groupe 2, 338,1677,452,403,3,62,4,34,62,3035,
