Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vassif Aliev,Claire-Emmanuelle Beaulieu,Suzanne Brunelle,Rima El-Helou,Annie Koutrakis,Faiza R'Guiba,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 413","Laval",3,48,1,4,103,0,4,163,214
24078,"Vimy/Vimy"," 414","Laval",3,64,1,9,124,0,3,204,259
24078,"Vimy/Vimy"," 415","Laval",0,65,3,15,107,1,14,205,318
24078,"Vimy/Vimy"," 416","Laval",17,29,2,15,57,5,2,127,240
24078,"Vimy/Vimy"," 417","Laval",13,88,1,24,96,8,5,235,370
24078,"Vimy/Vimy"," 418","Laval",9,80,5,20,108,5,6,233,384
24078,"Vimy/Vimy"," 500","Mobile poll/Bureau itinérant",1,50,0,11,28,4,6,100,159
24078,"Vimy/Vimy"," 501","Mobile poll/Bureau itinérant",5,46,5,15,48,4,5,128,242
24078,"Vimy/Vimy"," 502","Mobile poll/Bureau itinérant",2,16,3,4,35,2,8,70,176
24078,"Vimy/Vimy"," 503","Mobile poll/Bureau itinérant",5,40,2,9,44,1,5,106,182
24078,"Vimy/Vimy"," 600","Laval",66,414,13,64,447,42,13,1059,
24078,"Vimy/Vimy"," 601","Laval",51,262,7,44,237,21,9,631,
24078,"Vimy/Vimy"," 602","Laval",41,206,11,39,205,20,8,530,
24078,"Vimy/Vimy"," 603","Laval",54,268,9,55,290,22,9,707,
24078,"Vimy/Vimy"," 604","Laval",85,479,12,94,338,40,20,1068,
24078,"Vimy/Vimy"," 605","Laval",60,307,9,94,332,27,13,842,
24078,"Vimy/Vimy"," 606","Laval",45,203,3,69,281,10,9,620,
24078,"Vimy/Vimy"," 607","Laval",74,287,7,62,365,22,4,821,
24078,"Vimy/Vimy"," 608","Laval",53,239,9,63,224,34,5,627,
24078,"Vimy/Vimy"," 609","Laval",67,334,9,81,308,31,13,843,
24078,"Vimy/Vimy"," 610","Laval",61,178,6,68,294,23,4,634,
24078,"Vimy/Vimy"," 611","Laval",39,191,14,88,346,17,7,702,
24078,"Vimy/Vimy"," 612","Laval",27,158,15,43,258,26,9,536,
24078,"Vimy/Vimy"," 613","Laval",41,214,6,92,325,14,21,713,
24078,"Vimy/Vimy"," 614","Laval",45,271,8,93,376,19,8,820,
24078,"Vimy/Vimy"," 615","Laval",73,184,17,112,431,31,12,860,
24078,"Vimy/Vimy"," 616","Laval",41,192,16,98,364,23,16,750,
24078,"Vimy/Vimy"," 617","Laval",57,127,11,144,390,24,10,763,
24078,"Vimy/Vimy",,Group 1/Groupe 1, 9,4,1,7,56,8,6,91,112
24078,"Vimy/Vimy",,Group 2/Groupe 2, 148,365,11,154,713,101,56,1548,
