Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 120","Tomslake",2,3,8,2,81,0,96,137
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 121","Tupper",3,3,10,2,105,0,123,193
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 122","Tumbler Ridge",16,7,9,8,138,3,181,406
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 123","Tumbler Ridge",4,3,6,6,59,0,78,174
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 124","Tumbler Ridge",11,8,15,2,95,0,131,356
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 125","Tumbler Ridge",4,3,10,4,132,2,155,338
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 126","Tumbler Ridge",16,8,13,7,151,2,197,373
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 127","Bear Lake",13,18,12,8,54,0,105,184
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 128","Nukko Lake",53,14,26,5,133,1,232,442
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 129","Ness Lake",59,24,27,5,138,1,254,456
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 130","Ness Lake",21,20,24,6,148,0,219,483
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 131","Salmon Valley",37,22,15,4,136,1,215,431
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 132","Kelly Lake",8,0,8,0,6,0,22,39
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 133","Nukko Lake",29,16,42,8,135,0,230,485
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 134","Nukko Lake",32,21,27,7,146,1,234,473
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 135","Prince George",27,10,21,6,110,0,174,410
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 136","Prince George",44,26,29,4,123,0,226,443
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 137","Prince George",23,14,26,2,78,0,143,402
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 138","Prince George",28,19,48,9,104,5,213,435
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 139","Prince George",43,16,33,8,127,1,228,460
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 140","Prince George",53,15,34,5,118,1,226,393
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 141","Prince George",56,12,46,1,128,0,243,490
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 142","Prince George",42,19,26,7,94,2,190,374
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 143","Prince George",49,13,32,8,126,0,228,514
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 144","Prince George",66,22,43,2,118,0,251,428
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 145","Prince George",44,10,26,9,141,1,231,544
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 146","Fraser-Fort George A",24,21,27,5,134,1,212,433
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 147A","Fraser-Fort George A",17,12,28,7,125,0,189,468
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 147B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,6
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 148","Prince George",31,18,27,3,95,3,177,374
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 149","Prince George",25,15,35,6,76,0,157,378
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 150","Prince George",28,17,37,4,118,0,204,454
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 151","Fraser-Fort George A",30,13,17,8,75,0,143,320
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 152","Prince George",69,28,29,9,152,0,287,488
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 153","Prince George",49,25,36,9,105,2,226,539
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 154","Prince George",61,21,48,5,117,0,252,518
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 155","Prince George",42,15,31,5,83,0,176,369
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 156","Prince George",42,13,34,4,116,0,209,477
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 157","Prince George",42,17,34,12,140,0,245,543
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 158","Prince George",56,27,29,7,143,3,265,476
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 159","Prince George",40,11,38,12,129,4,234,492
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 160","Prince George",63,28,33,8,132,1,265,506
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 161","Prince George",58,21,41,5,134,2,261,455
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 162","Prince George",35,17,50,13,125,2,242,533
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 163","Prince George",59,34,43,4,173,1,314,480
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 164","Prince George",52,19,33,4,63,1,172,395
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 165","Prince George",36,16,48,8,59,0,167,441
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 166","Prince George",32,27,31,4,61,2,157,392
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 167","Prince George",29,26,51,10,60,0,176,462
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 168","Prince George",32,35,43,7,60,1,178,470
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 169","Prince George",40,18,56,3,49,0,166,433
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 170","Prince George",51,33,35,5,60,0,184,451
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 171","Prince George",43,32,30,5,96,2,208,496
