Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 146","Peterborough",0,14,116,0,0,69,105,0,304,514
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 147","Peterborough",1,7,74,3,2,56,71,0,214,526
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 148","Peterborough",0,14,84,4,1,72,55,1,231,469
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 149","Peterborough",0,13,69,2,0,63,30,0,177,445
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 150","Peterborough",0,23,74,2,0,86,30,1,216,524
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 151","Peterborough",0,10,59,4,0,106,32,0,211,430
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 152","Peterborough",1,22,104,2,1,68,46,0,244,480
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 153","Peterborough",0,12,107,2,0,37,40,1,199,406
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 154","Peterborough",0,12,97,0,1,23,54,2,189,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 155","Peterborough",0,12,67,1,0,29,50,1,160,343
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 156","Peterborough",2,17,143,4,1,33,56,1,257,454
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 157","Peterborough",0,17,145,2,2,29,70,0,265,463
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 158","Peterborough",0,13,144,2,1,35,25,0,220,461
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 159A","Peterborough",0,11,93,2,0,33,64,0,203,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 159B","Peterborough",0,9,67,1,1,44,73,0,195,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 160","Peterborough",0,22,119,3,1,38,50,0,233,448
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 161","Peterborough",1,4,40,1,1,26,45,2,120,367
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 162","Peterborough",0,11,55,0,1,54,26,2,149,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 163","Peterborough",1,5,122,3,0,50,33,1,215,415
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 164","Peterborough",0,20,85,1,0,57,34,2,199,365
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 165","Peterborough",1,16,46,2,0,53,32,3,153,471
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 166","Peterborough",0,8,66,3,0,65,35,0,177,407
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 167","Peterborough",0,7,73,1,0,15,52,1,149,294
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 168","Peterborough",0,22,119,2,1,7,71,0,222,427
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 169","Peterborough",0,12,97,2,0,15,76,0,202,458
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 170","Peterborough",1,14,87,3,0,28,58,2,193,382
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 171","Peterborough",1,18,39,1,0,46,47,0,152,408
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 172","Peterborough",0,17,74,4,1,50,69,2,217,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 173","Peterborough",0,23,94,0,1,69,61,3,251,488
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 174","Peterborough",0,22,96,4,0,50,63,1,236,458
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 175","Peterborough",0,23,119,6,0,43,94,1,286,547
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 176","Peterborough",1,14,63,5,2,40,54,0,179,361
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 177","Peterborough",0,14,87,2,1,48,61,0,213,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 178","Peterborough",1,20,70,2,0,60,58,0,211,401
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 179","Peterborough",1,8,75,5,1,52,53,0,195,422
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 180","Peterborough",4,16,59,3,3,44,53,0,182,371
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 181","Peterborough",1,25,60,4,0,84,56,0,230,466
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 182","Peterborough",1,17,88,1,1,38,80,1,227,405
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 183","Peterborough",0,14,103,3,0,60,45,0,225,508
