Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Ellen Comeau,Éric Ferland,Pierre-Luc Filion,Réjean Hébert,Pierre Nantel,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 73B","Longueuil",16,0,1,0,81,10,51,8,167,222
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 74","Longueuil",4,1,17,0,53,35,90,0,200,415
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 75","Longueuil",12,1,16,0,56,28,52,3,168,439
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 76","Longueuil",8,2,25,0,75,33,63,3,209,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 77","Longueuil",12,1,18,1,59,11,51,5,158,352
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 78","Longueuil",5,0,16,0,49,16,46,3,135,348
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79","Longueuil",16,2,22,0,77,31,81,3,232,485
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 80","Longueuil",13,3,18,0,51,20,65,5,175,426
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 81","Longueuil",5,0,14,2,59,10,34,4,128,393
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 82","Longueuil",5,1,20,0,47,21,50,6,150,469
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 83","Longueuil",11,3,11,0,38,10,76,5,154,516
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 84","Longueuil",7,1,25,0,63,10,59,5,170,449
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 85","Longueuil",8,3,19,0,50,23,80,5,188,462
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 86","Longueuil",18,1,21,2,86,14,79,3,224,535
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 87","Longueuil",9,0,19,0,49,12,57,8,154,451
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 88","Longueuil",10,1,14,2,79,10,42,3,161,494
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 89","Longueuil",3,3,29,0,52,47,72,3,209,459
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 90","Longueuil",1,0,5,1,24,12,40,2,85,330
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 91","Longueuil",8,1,19,0,42,22,74,2,168,394
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 92","Longueuil",3,2,25,0,38,37,61,4,170,434
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 93","Longueuil",6,0,32,0,39,41,77,0,195,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 94","Longueuil",4,2,30,1,32,39,44,2,154,352
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 95","Longueuil",1,2,24,0,55,22,59,2,165,424
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 96","Longueuil",15,2,18,0,54,13,64,3,169,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 97","Longueuil",12,0,27,0,54,21,102,7,223,531
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 98","Longueuil",14,4,25,0,65,22,85,8,223,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 99","Longueuil",1,3,13,1,53,17,42,3,133,390
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 100","Longueuil",7,0,23,2,32,9,55,4,132,417
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 101","Longueuil",10,0,23,1,48,18,66,4,170,364
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 102","Longueuil",16,2,26,0,55,24,62,5,190,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 103","Longueuil",2,1,26,0,44,34,74,3,184,435
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 104","Longueuil",9,3,22,1,63,36,91,4,229,547
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 105","Longueuil",6,3,37,0,65,29,83,7,230,524
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 106","Longueuil",8,2,13,0,39,39,64,1,166,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 107","Longueuil",7,3,13,0,65,27,95,1,211,456
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 108","Longueuil",11,0,22,0,51,35,75,1,195,492
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 109","Longueuil",1,5,11,0,45,14,57,6,139,421
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 110","Longueuil",19,5,18,1,60,5,87,3,198,549
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 111","Longueuil",6,1,14,3,42,8,55,1,130,376
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 112","Longueuil",4,2,15,1,61,28,78,5,194,438
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 113","Longueuil",17,1,11,1,55,16,88,3,192,419
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 114","Longueuil",7,1,10,2,42,12,48,1,123,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 115","Longueuil",4,1,21,1,32,14,36,3,112,382
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 116","Longueuil",17,6,20,1,80,33,83,1,241,540
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 117","Longueuil",13,1,25,0,70,21,67,5,202,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 118","Longueuil",24,0,12,1,79,16,95,4,231,511
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 119","Longueuil",15,2,21,0,73,17,91,1,220,502
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 120","Longueuil",12,1,23,1,54,15,43,1,150,575
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 121","Longueuil",10,1,9,1,65,12,70,3,171,374
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 122","Longueuil",11,0,15,1,62,13,65,2,169,345
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 123","Longueuil",14,1,19,1,39,6,49,4,133,451
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 124","Longueuil",5,2,11,2,58,16,54,3,151,398
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 125","Longueuil",18,5,13,1,92,24,67,3,223,446
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 126","Longueuil",10,0,17,0,34,11,37,4,113,336
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 127","Longueuil",12,1,15,1,31,10,54,7,131,474
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 128","Longueuil",16,1,19,1,47,12,49,7,152,409
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 129","Longueuil",13,0,16,0,59,21,44,5,158,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 130","Longueuil",15,2,16,3,85,28,38,5,192,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 131","Longueuil",16,1,17,1,67,13,42,5,162,398
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 132","Longueuil",2,1,10,0,32,34,49,1,129,394
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 133","Longueuil",4,0,25,0,50,38,78,4,199,417
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 134","Longueuil",5,0,11,0,66,17,34,4,137,408
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 135","Longueuil",3,1,17,0,50,42,59,3,175,452
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 136","Longueuil",1,2,29,0,59,55,92,2,240,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 137","Longueuil",6,0,15,0,44,13,67,1,146,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 138","Longueuil",11,0,18,0,81,20,58,1,189,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 139","Longueuil",15,0,13,0,58,16,44,1,147,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 140","Longueuil",13,0,18,1,72,16,85,1,206,537
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 141","Longueuil",9,2,20,0,69,22,66,4,192,523
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 142","Longueuil",12,0,35,0,87,20,55,2,211,506
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 143","Longueuil",16,2,11,0,48,11,76,2,166,468
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 144","Longueuil",7,2,20,0,72,23,82,3,209,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 145","Longueuil",12,2,16,3,66,12,44,5,160,573
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 146","Longueuil",5,0,0,18,40,35,60,3,161,337
