Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gölök Z Buday,Bridget Burns,Chris Corsetti,Kyle Demes,Anne Jamieson,Jenny Kwan,Karin Litzcke,Peter Marcus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 166","Vancouver",2,28,18,21,0,103,1,1,0,174,403
59035,"Vancouver East/Vancouver-Est"," 167","Vancouver",4,14,18,27,1,108,1,1,4,178,374
59035,"Vancouver East/Vancouver-Est"," 168","Vancouver",0,26,30,20,0,86,1,0,0,163,348
59035,"Vancouver East/Vancouver-Est"," 169","Vancouver",4,34,19,42,0,122,2,0,1,224,509
59035,"Vancouver East/Vancouver-Est"," 170","Vancouver",7,30,24,35,0,117,2,0,0,215,474
59035,"Vancouver East/Vancouver-Est"," 171","Vancouver",3,34,12,31,0,95,2,0,0,177,357
59035,"Vancouver East/Vancouver-Est"," 172","Vancouver",1,19,12,26,0,66,1,0,0,125,283
59035,"Vancouver East/Vancouver-Est"," 173","Vancouver",2,41,12,41,0,108,2,0,1,207,440
59035,"Vancouver East/Vancouver-Est"," 174","Vancouver",5,11,32,30,0,94,1,1,3,177,428
59035,"Vancouver East/Vancouver-Est"," 175","Vancouver",7,18,45,43,1,100,1,1,2,218,522
59035,"Vancouver East/Vancouver-Est"," 176","Vancouver",4,7,25,39,0,56,6,0,3,140,384
59035,"Vancouver East/Vancouver-Est"," 177","Vancouver",1,12,45,36,1,106,2,0,3,206,494
59035,"Vancouver East/Vancouver-Est"," 178","Vancouver",0,16,58,32,1,109,6,1,2,225,512
59035,"Vancouver East/Vancouver-Est"," 179","Vancouver",4,15,54,48,0,90,5,2,4,222,519
59035,"Vancouver East/Vancouver-Est"," 180","Vancouver",1,4,52,35,0,62,0,0,1,155,438
