Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René Arseneault,Louis Bérubé,Chad Betteridge,Nelson Fox,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 60","Saint-Quentin",68,64,2,49,4,187,373
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 61","Saint-Quentin",72,96,7,29,1,205,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 62","Saint-Quentin",45,83,6,44,1,179,367
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 63","Saint-Quentin",62,98,10,29,3,202,386
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 64","Saint-Quentin",50,81,5,38,1,175,387
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 65","Saint-Joseph",86,30,8,45,4,173,348
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 66","Saint-Joseph",93,25,8,70,5,201,351
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 67","Saint-Joseph",110,29,16,54,0,209,397
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 68","Saint-Joseph",63,31,11,65,6,176,358
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 69","Rivière-Verte",71,12,4,110,0,197,399
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 70","Rivière-Verte",52,12,5,129,5,203,392
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 71","Rivière-Verte",57,19,7,138,0,221,434
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 72","Sainte-Anne",89,38,5,103,0,235,389
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 73","Sainte-Anne",90,11,2,115,5,223,371
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 74A","Sainte-Anne",66,24,11,97,2,200,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 74B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,10
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 75","Sainte-Anne",73,28,3,81,3,188,387
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 76","Notre-Dame-de-Lourdes",35,20,7,52,3,117,224
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 77","Saint-Basile",71,18,9,63,5,166,420
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 78","Edmundston",96,26,18,66,2,208,458
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 79","Edmundston",72,24,5,55,3,159,452
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 80","Edmundston",75,24,5,69,7,180,466
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 81","Saint-Jacques",117,25,9,80,4,235,461
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 82","Saint-Jacques",104,26,16,78,7,231,488
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 83","Edmundston",104,20,9,61,6,200,464
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 84","Saint-Jacques",114,8,5,50,4,181,453
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 85","Edmundston",105,19,5,65,2,196,414
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 86","Edmundston",93,28,8,61,6,196,413
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 87","Edmundston",94,23,8,59,4,188,423
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 88","Edmundston",113,17,9,71,3,213,543
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 89","Edmundston",130,9,13,59,4,215,558
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 90","Edmundston",88,16,5,57,5,171,473
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 91","Edmundston",88,11,6,54,4,163,503
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 92","Edmundston",89,17,9,43,5,163,439
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 93","Edmundston",69,8,5,47,3,132,406
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 94","Edmundston",73,12,10,30,2,127,395
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 95","Saint-Léonard",47,21,8,85,3,164,350
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 96","Saint-Léonard",34,21,5,53,3,116,343
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 97","Saint-Léonard",27,20,6,68,2,123,328
