Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chloé Bernard,Yves-François Blanchet,Michel Blondin,Pierre Carrier,Matthew Dubé,Marie-Chantal Hamel,Véronique Laprise,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 224","Carignan",9,80,0,16,29,83,25,1,243,506
24011,"Beloeil--Chambly/Beloeil--Chambly"," 225","Carignan",0,71,1,6,15,35,9,0,137,291
24011,"Beloeil--Chambly/Beloeil--Chambly"," 400","Mont-Saint-Hilaire",1,69,0,0,17,47,18,19,171,271
24011,"Beloeil--Chambly/Beloeil--Chambly"," 401","McMasterville",2,93,4,4,15,82,14,9,223,334
24011,"Beloeil--Chambly/Beloeil--Chambly"," 500A","Mobile poll/Bureau itinérant",1,18,1,5,3,24,11,5,68,69
24011,"Beloeil--Chambly/Beloeil--Chambly"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,70
24011,"Beloeil--Chambly/Beloeil--Chambly"," 501A","Mobile poll/Bureau itinérant",3,57,4,2,8,47,14,14,149,82
24011,"Beloeil--Chambly/Beloeil--Chambly"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,,121
24011,"Beloeil--Chambly/Beloeil--Chambly"," 502","Mobile poll/Bureau itinérant",1,37,3,1,8,56,9,11,126,214
24011,"Beloeil--Chambly/Beloeil--Chambly"," 503A","Mobile poll/Bureau itinérant",1,28,1,2,2,34,9,5,82,132
24011,"Beloeil--Chambly/Beloeil--Chambly"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,33
24011,"Beloeil--Chambly/Beloeil--Chambly"," 504A","Mobile poll/Bureau itinérant",1,10,1,4,1,15,2,3,37,17
24011,"Beloeil--Chambly/Beloeil--Chambly"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,,161
24011,"Beloeil--Chambly/Beloeil--Chambly"," 505","Mobile poll/Bureau itinérant",1,43,1,0,2,29,10,7,93,176
24011,"Beloeil--Chambly/Beloeil--Chambly"," 600","Beloeil",9,410,5,21,97,150,31,9,732,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 601","Beloeil",15,428,1,20,107,180,46,7,804,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 602","Beloeil",4,437,1,24,124,175,29,12,806,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 603","Mont-Saint-Hilaire",2,403,3,50,118,181,40,10,807,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 604","Mont-Saint-Hilaire",6,529,2,29,135,235,59,21,1016,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 605","Mont-Saint-Hilaire",13,584,6,58,156,356,50,21,1244,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 606","Beloeil",6,503,2,31,143,206,45,18,954,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 607","Beloeil",7,459,6,36,155,190,52,13,918,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 608","Beloeil",3,239,2,17,77,88,27,6,459,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 609","Beloeil",6,318,1,27,67,110,43,7,579,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 610","Otterburn Park",7,426,1,49,164,210,45,18,920,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 611","Otterburn Park",2,453,0,46,165,180,33,4,883,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 612","Mont-Saint-Hilaire",5,343,0,56,103,182,36,6,731,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 613","St. Jean Baptiste",7,236,3,20,78,80,47,11,482,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 614","Saint-Mathias-sur-Richelieu",8,435,1,35,101,178,67,12,837,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 615","Marieville",8,455,1,25,119,189,79,32,908,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 616","Marieville",6,503,5,29,113,189,109,20,974,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 617","Carignan",6,525,5,32,144,205,72,24,1013,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 618","Chambly",5,566,4,36,123,265,63,18,1080,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 619","Carignan",6,420,1,13,101,222,61,12,836,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 620","Carignan",3,348,0,36,87,216,50,8,748,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 621","Chambly",6,476,0,41,103,192,56,18,892,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 622","Chambly",8,589,4,39,139,281,89,15,1164,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 623","Chambly",1,449,1,37,117,221,54,12,892,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 624","Chambly",2,432,1,38,115,158,44,16,806,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 625","Chambly",3,379,2,29,125,173,69,3,783,
24011,"Beloeil--Chambly/Beloeil--Chambly"," 626","Chambly",7,426,2,21,117,197,57,10,837,
24011,"Beloeil--Chambly/Beloeil--Chambly",,Group 1/Groupe 1, 4,25,0,10,13,44,35,9,140,94
24011,"Beloeil--Chambly/Beloeil--Chambly",,Group 2/Groupe 2, 10,640,9,101,281,381,101,24,1547,
