Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Cameron,Michael Kalmanovitch,Sam Lilly,Dougal MacDonald,Heather McPherson,Eleanor Olszewski,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 98","Edmonton",3,6,73,1,164,22,1,1,271,537
48019,"Edmonton Strathcona/Edmonton Strathcona"," 99","Edmonton",5,12,46,0,123,13,0,1,200,384
48019,"Edmonton Strathcona/Edmonton Strathcona"," 100","Edmonton",4,8,53,0,132,18,1,0,216,387
48019,"Edmonton Strathcona/Edmonton Strathcona"," 101A","Edmonton",10,6,78,0,173,35,0,0,302,598
48019,"Edmonton Strathcona/Edmonton Strathcona"," 101B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,36
48019,"Edmonton Strathcona/Edmonton Strathcona"," 102","Edmonton",7,4,74,0,178,23,0,0,286,450
48019,"Edmonton Strathcona/Edmonton Strathcona"," 103","Edmonton",12,4,69,0,150,23,2,0,260,470
48019,"Edmonton Strathcona/Edmonton Strathcona"," 104","Edmonton",5,1,75,0,157,27,0,0,265,530
48019,"Edmonton Strathcona/Edmonton Strathcona"," 105","Edmonton",1,4,110,0,120,35,0,0,270,423
48019,"Edmonton Strathcona/Edmonton Strathcona"," 106","Edmonton",2,3,115,0,108,26,0,0,254,382
48019,"Edmonton Strathcona/Edmonton Strathcona"," 107","Edmonton",3,3,82,0,150,20,0,0,258,405
48019,"Edmonton Strathcona/Edmonton Strathcona"," 108","Edmonton",3,2,62,0,144,23,3,0,237,441
48019,"Edmonton Strathcona/Edmonton Strathcona"," 109","Edmonton",7,5,65,1,171,33,0,1,283,442
48019,"Edmonton Strathcona/Edmonton Strathcona"," 110","Edmonton",3,3,51,0,182,39,0,0,278,439
48019,"Edmonton Strathcona/Edmonton Strathcona"," 111","Edmonton",9,0,108,0,65,30,0,0,212,441
