Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 146","Grande Prairie",15,2,19,7,169,0,212,516
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 147","Grande Prairie",27,4,21,7,213,2,274,532
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 148","Grande Prairie",30,3,18,8,221,2,282,684
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 149","Grande Prairie",30,4,18,6,255,0,313,760
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 150","Grande Prairie",31,2,8,8,277,0,326,772
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 151","Grande Prairie",23,4,12,4,219,1,263,537
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 152","Grande Prairie",23,4,23,1,170,2,223,511
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 153","Grande Prairie",38,4,18,9,373,0,442,915
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 154","Grande Prairie",17,7,18,4,142,0,188,386
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 155","Grande Prairie",23,3,15,6,69,0,116,366
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 156","Grande Prairie",17,5,7,2,149,2,182,462
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 157","Grande Prairie",23,3,17,9,247,2,301,534
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 158","Grande Prairie",22,3,6,3,236,1,271,529
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 159","Grande Prairie",23,3,10,3,234,0,273,537
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 160","Grande Prairie",30,5,10,4,144,0,193,411
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 161","Grande Prairie",13,6,9,1,155,4,188,373
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 162","Grande Prairie",23,10,16,1,150,1,201,485
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 163","Grande Prairie",16,7,4,10,140,1,178,480
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 164","Grande Prairie",23,3,15,6,225,2,274,478
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 165","Grande Prairie",20,7,4,5,133,3,172,445
