Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kristine Bowman,Gordon Francey,Douglas Galavan,Jeremy Hoefsloot,Cory Lystang,Angelena Satdeo,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 131","Drayton Valley",3,0,4,2,0,0,112,0,121,297
48034,"Yellowhead/Yellowhead"," 132","Drayton Valley",4,1,3,4,0,0,124,2,138,307
48034,"Yellowhead/Yellowhead"," 133","Drayton Valley",4,0,10,1,0,3,132,1,151,374
48034,"Yellowhead/Yellowhead"," 134","Drayton Valley",0,0,3,5,0,2,172,0,182,431
48034,"Yellowhead/Yellowhead"," 135","Drayton Valley",3,0,6,2,0,1,82,3,97,277
48034,"Yellowhead/Yellowhead"," 136","Drayton Valley",4,0,4,5,1,3,112,0,129,299
48034,"Yellowhead/Yellowhead"," 137","Drayton Valley",9,0,4,6,0,5,158,1,183,386
48034,"Yellowhead/Yellowhead"," 138","Drayton Valley",8,0,7,4,0,7,145,1,172,438
48034,"Yellowhead/Yellowhead"," 139","Drayton Valley",7,0,6,3,1,3,175,0,195,456
48034,"Yellowhead/Yellowhead"," 140","Drayton Valley",3,0,3,4,1,2,113,0,126,313
48034,"Yellowhead/Yellowhead"," 141","Drayton Valley",4,0,7,2,1,0,121,0,135,348
48034,"Yellowhead/Yellowhead"," 142","Drayton Valley",2,0,2,5,0,0,113,1,123,273
48034,"Yellowhead/Yellowhead"," 143","Drayton Valley",3,0,4,2,1,0,109,0,119,268
48034,"Yellowhead/Yellowhead"," 144","Drayton Valley",5,0,5,3,0,1,115,0,129,333
48034,"Yellowhead/Yellowhead"," 145","Drayton Valley",5,0,6,7,1,0,168,1,188,404
48034,"Yellowhead/Yellowhead"," 146","Drayton Valley",4,0,5,8,0,1,150,0,168,403
48034,"Yellowhead/Yellowhead"," 147","Drayton Valley",5,0,5,5,0,0,107,0,122,322
48034,"Yellowhead/Yellowhead"," 148","Drayton Valley",2,0,4,5,0,0,154,1,166,429
48034,"Yellowhead/Yellowhead"," 149","Drayton Valley",2,1,7,4,0,1,166,1,182,434
48034,"Yellowhead/Yellowhead"," 150","Drayton Valley",7,0,7,3,0,0,101,0,118,255
48034,"Yellowhead/Yellowhead"," 151","Buck Creek",7,0,6,3,1,0,154,0,171,366
48034,"Yellowhead/Yellowhead"," 152","Lodgepole",5,0,6,6,0,6,140,0,163,367
48034,"Yellowhead/Yellowhead"," 153","Berrymoor",2,1,6,4,0,2,169,2,186,345
48034,"Yellowhead/Yellowhead"," 154","Lindale",8,0,5,0,1,6,191,1,212,343
48034,"Yellowhead/Yellowhead"," 155","Genesee",4,1,6,0,0,0,136,0,147,249
48034,"Yellowhead/Yellowhead"," 156","Violet Grove",2,0,8,1,2,0,182,0,195,311
48034,"Yellowhead/Yellowhead"," 157","Violet Grove",4,0,5,2,0,1,123,1,136,262
48034,"Yellowhead/Yellowhead"," 158","Alsike",7,0,3,3,0,4,123,1,141,269
48034,"Yellowhead/Yellowhead"," 159","Carnwood Hall",5,0,9,4,0,5,208,1,232,392
48034,"Yellowhead/Yellowhead"," 160","Breton",11,1,16,7,1,1,135,0,172,303
48034,"Yellowhead/Yellowhead"," 161","Breton",7,1,5,7,0,1,188,3,212,338
48034,"Yellowhead/Yellowhead"," 162","Breton",3,0,3,2,0,1,118,0,127,204
48034,"Yellowhead/Yellowhead"," 163","Telfordville",2,0,6,4,0,1,160,0,173,282
48034,"Yellowhead/Yellowhead"," 164","Thorsby",8,0,4,4,1,2,155,1,175,267
48034,"Yellowhead/Yellowhead"," 165","Thorsby",22,0,5,6,1,11,236,1,282,478
48034,"Yellowhead/Yellowhead"," 166","Thorsby",12,1,13,7,1,9,179,1,223,362
48034,"Yellowhead/Yellowhead"," 167","Glen Park",4,0,2,2,1,3,78,3,93,160
48034,"Yellowhead/Yellowhead"," 168","Warburg",11,0,4,3,0,4,170,0,192,424
48034,"Yellowhead/Yellowhead"," 169","Sunnybrook",10,1,4,4,0,2,114,0,135,255
48034,"Yellowhead/Yellowhead"," 170","Warburg",10,0,7,2,0,3,138,1,161,367
48034,"Yellowhead/Yellowhead"," 171","Yeoford",5,1,6,3,0,6,120,3,144,247
48034,"Yellowhead/Yellowhead"," 172","O'Chiese 203",52,1,1,49,1,3,7,0,114,337
48034,"Yellowhead/Yellowhead"," 173","Sunchild 202",46,0,2,92,4,6,5,0,155,336
48034,"Yellowhead/Yellowhead"," 174","Big Horn 144A",4,0,0,5,0,0,5,0,14,44
48034,"Yellowhead/Yellowhead"," 175","Big Horn 144A - Clearwater County",9,0,4,5,2,3,60,0,83,196
48034,"Yellowhead/Yellowhead"," 176","Last West",0,0,1,0,1,0,36,0,38,114
