Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christina Gower,Nicholas Insley,Dan Iova,Ron McKinnon,Brad Nickason,Roland Spornicu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 606","Coquitlam",237,410,2,369,93,10,6,1127,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 607","Port Coquitlam",192,446,0,388,90,16,7,1139,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 608","Coquitlam",192,629,1,453,78,6,1,1360,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 609","Port Coquitlam",267,278,0,302,85,18,2,952,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 610","Port Coquitlam",220,263,2,304,71,12,7,879,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 611","Port Coquitlam",163,224,0,227,44,10,3,671,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 612","Port Coquitlam",234,287,0,359,85,13,0,978,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 613","Port Coquitlam",208,206,1,260,57,6,1,739,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 614","Port Coquitlam",176,226,4,277,65,8,5,761,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 615","Port Coquitlam",121,211,1,267,46,5,2,653,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 616","Port Coquitlam",213,284,3,305,72,8,2,887,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 617","Port Coquitlam",133,380,0,240,59,3,0,815,
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam",,Group 1/Groupe 1, 29,54,0,76,13,2,6,180,278
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam",,Group 2/Groupe 2, 364,665,9,579,152,26,45,1840,
