Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara Badiei,Jayson Chabot,Nelly Shin,Roland Verrier,Bryce Watts,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 110","Coquitlam",53,2,58,0,11,56,1,181,396
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 111","Coquitlam",59,4,57,0,2,56,3,181,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 112","Coquitlam",42,5,77,0,13,65,3,205,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 113","Coquitlam",76,4,49,0,18,58,0,205,641
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 114","Coquitlam",31,7,36,0,14,77,1,166,421
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 115","Coquitlam",72,6,51,0,15,77,1,222,484
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 116","Coquitlam",36,4,54,2,4,53,2,155,474
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 117","Coquitlam",42,2,41,0,9,60,1,155,485
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 118","Coquitlam",54,8,69,0,18,57,6,212,556
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 119","Coquitlam",68,2,41,0,19,52,0,182,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 120","Coquitlam",74,6,58,0,17,61,0,216,471
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 121","Coquitlam",49,5,49,0,12,68,1,184,404
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 122","Coquitlam",54,6,82,0,7,68,2,219,445
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 123","Coquitlam",44,7,47,0,7,78,1,184,447
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 124","Coquitlam",41,6,41,2,17,78,1,186,416
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 125","Coquitlam",53,1,57,0,7,69,3,190,467
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 126","Coquitlam",48,2,66,0,10,27,0,153,370
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 127","Coquitlam",39,3,56,0,10,48,0,156,333
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 128","Coquitlam",41,0,48,0,14,47,3,153,479
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 129","Coquitlam",52,1,65,0,23,65,1,207,434
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 130","Coquitlam",61,0,72,0,17,62,1,213,476
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 131","Coquitlam",48,2,64,0,18,72,1,205,461
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 132","Coquitlam",46,3,41,1,22,46,0,159,442
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 133","Coquitlam",51,6,37,0,12,61,0,167,309
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 134","Coquitlam",73,4,75,1,15,96,3,267,522
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 135","Coquitlam",78,4,63,0,26,70,1,242,417
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 136","Coquitlam",66,9,66,0,16,77,0,234,499
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 137","Coquitlam",71,2,79,0,18,54,1,225,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 138","Coquitlam",64,0,58,1,4,39,0,166,447
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 139","Coquitlam",58,3,49,0,8,55,1,174,392
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 140","Coquitlam",54,0,67,0,15,93,1,230,456
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 141","Coquitlam",49,5,42,1,20,81,1,199,515
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 142","Coquitlam",62,5,62,0,12,71,1,213,445
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 143","Coquitlam",65,0,52,0,20,53,2,192,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 144","Coquitlam",76,1,75,0,6,56,0,214,470
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 145","Coquitlam",61,4,63,0,13,36,1,178,397
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 146","Coquitlam",86,1,71,0,9,65,3,235,473
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 147","Coquitlam",58,4,59,0,10,30,1,162,359
