Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Nicolas Dion,Michael Houghton,Gilbert Joseph Jubinville,Sean Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 126","Burlington",82,31,8,5,77,1,204,517
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 127","Burlington",114,20,9,5,75,2,225,522
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 128","Burlington",107,20,8,6,76,2,219,516
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 129","Burlington",118,28,11,5,84,1,247,514
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 130","Burlington",92,25,11,1,65,0,194,427
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 131","Burlington",141,30,10,1,125,1,308,582
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 132","Burlington",142,33,13,3,100,1,292,525
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 133","Burlington",133,25,14,1,63,0,236,519
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 134","Burlington",104,31,8,1,69,3,216,533
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 135","Burlington",81,14,14,2,113,0,224,433
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 136","Burlington",94,14,3,2,110,2,225,459
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 137","Burlington",101,4,5,1,103,0,214,474
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 138","Burlington",94,14,6,1,110,0,225,472
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 139","Burlington",99,9,5,1,100,3,217,489
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 140","Burlington",82,22,3,3,89,0,199,456
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 141","Burlington",94,11,4,2,106,1,218,484
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 142","Burlington",125,27,10,3,99,0,264,479
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 143","Burlington",124,25,13,4,73,0,239,499
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 144","Burlington",97,49,16,2,87,1,252,515
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 145","Burlington",121,28,8,5,75,0,237,517
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 146","Burlington",127,33,7,3,81,2,253,551
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 147","Burlington",106,19,3,2,97,1,228,526
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 148","Burlington",68,19,12,4,89,1,193,527
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 149","Burlington",106,15,5,1,86,0,213,513
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 150","Burlington",110,20,5,6,87,0,228,511
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 151","Burlington",95,36,20,4,77,2,234,510
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 152","Burlington",64,14,1,0,42,0,121,257
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 153","Burlington",107,21,10,3,79,2,222,488
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 154","Burlington",121,29,1,3,65,0,219,469
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 155","Burlington",81,24,6,4,83,4,202,421
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 156","Burlington",106,27,18,5,50,1,207,477
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 157","Burlington",127,32,18,1,75,0,253,498
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 158","Burlington",97,19,14,1,62,2,195,402
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 159","Burlington",130,25,16,0,85,0,256,472
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 160","Burlington",109,11,4,1,80,0,205,430
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 161","Burlington",91,9,6,0,122,0,228,423
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 162","Burlington",130,10,15,0,82,1,238,493
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 163","Burlington",110,18,15,3,76,1,223,478
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 164","Burlington",111,16,8,3,97,0,235,463
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 165","Burlington",112,18,11,1,97,0,239,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 166","Burlington",100,11,8,0,54,2,175,522
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 167","Burlington",86,11,7,0,76,1,181,383
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 168","Burlington",117,26,14,5,56,0,218,552
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 169","Burlington",120,20,14,3,100,1,258,476
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 170","Burlington",94,29,13,6,83,0,225,450
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 171","Burlington",85,33,14,6,55,0,193,402
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 172","Burlington",97,23,5,1,65,1,192,400
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 173","Burlington",95,31,7,3,75,0,211,414
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 174","Burlington",107,28,14,5,74,2,230,509
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 175","Burlington",121,33,9,7,75,0,245,475
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 176","Burlington",140,20,10,4,87,2,263,493
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 177","Burlington",111,22,7,5,90,1,236,444
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 178","Burlington",100,18,12,1,61,3,195,410
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 179","Burlington",129,32,15,6,83,1,266,501
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 180","Burlington",139,50,13,1,87,1,291,552
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 181","Burlington",118,17,14,4,53,0,206,359
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 182","Burlington",118,20,16,1,72,0,227,437
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 183","Burlington",122,38,7,6,76,0,249,478
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 184","Burlington",94,17,10,1,78,0,200,382
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 185","Burlington",114,19,8,0,86,0,227,430
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 186","Burlington",167,35,21,3,106,1,333,568
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 187","Burlington",86,24,4,2,60,1,177,398
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 188","Burlington",116,23,13,1,96,0,249,449
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 189","Burlington",116,39,10,2,99,3,269,464
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 190","Burlington",139,27,10,6,117,4,303,502
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 191","Burlington",110,11,11,4,101,0,237,451
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 192","Burlington",120,29,10,3,99,2,263,493
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 400","Burlington",101,10,8,4,57,3,183,281
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 500","Mobile poll/Bureau itinérant",95,7,9,2,59,1,173,273
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 501","Mobile poll/Bureau itinérant",59,13,6,2,27,2,109,205
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 502","Mobile poll/Bureau itinérant",106,17,8,6,53,0,190,299
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 503","Mobile poll/Bureau itinérant",118,17,9,5,99,12,260,353
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 600","Oakville",617,65,19,9,596,0,1306,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 601","Oakville",516,66,43,5,345,4,979,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 602","Oakville",559,85,42,10,376,12,1084,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 603","Oakville",675,104,61,15,474,6,1335,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 604","Oakville",588,92,72,10,429,2,1193,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 605","Oakville",599,100,33,7,665,1,1405,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 606","Oakville",558,59,39,11,399,0,1066,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 607","Oakville",588,71,53,8,438,7,1165,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 608","Oakville",598,64,36,10,472,3,1183,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 609","Oakville",497,79,35,14,430,2,1057,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 610","Oakville",571,57,31,5,477,2,1143,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 611","Burlington",576,107,40,10,420,6,1159,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 612","Burlington",412,68,47,12,318,0,857,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 613","Burlington",528,87,40,13,434,7,1109,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 614","Burlington",339,74,47,9,277,4,750,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 615","Burlington",524,88,70,5,373,6,1066,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 616","Burlington",607,72,60,14,705,7,1465,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 617","Burlington",506,74,37,7,461,6,1091,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 618","Burlington",484,75,43,11,393,2,1008,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 619","Burlington",559,92,59,4,389,8,1111,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington",,Group 1/Groupe 1, 123,8,8,4,42,3,188,304
35073,"Oakville North--Burlington/Oakville-Nord--Burlington",,Group 2/Groupe 2, 832,184,91,15,449,108,1679,
