Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dustin Innes,Steven Kou,Ivan Pak,Françoise Raunet,Alice Wong,Zhe Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 406","Richmond",Merged with No./Fusionné avec le n°408,,,,,,,,44
59025,"Richmond Centre/Richmond-Centre"," 407","Richmond",Merged with No./Fusionné avec le n°408,,,,,,,,84
59025,"Richmond Centre/Richmond-Centre"," 408","Richmond",7,21,3,3,58,0,1,93,94
59025,"Richmond Centre/Richmond-Centre"," 409","Richmond",Merged with No./Fusionné avec le n°408,,,,,,,,72
59025,"Richmond Centre/Richmond-Centre"," 410","Richmond",Merged with No./Fusionné avec le n°411,,,,,,,,96
59025,"Richmond Centre/Richmond-Centre"," 411","Richmond",24,30,3,5,58,0,1,121,283
59025,"Richmond Centre/Richmond-Centre"," 412","Richmond",Merged with No./Fusionné avec le n°413,,,,,,,,1
59025,"Richmond Centre/Richmond-Centre"," 413","Richmond",3,2,1,4,8,0,0,18,76
59025,"Richmond Centre/Richmond-Centre"," 500A","Mobile poll/Bureau itinérant",4,9,1,0,32,1,1,48,65
59025,"Richmond Centre/Richmond-Centre"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,,,44
59025,"Richmond Centre/Richmond-Centre"," 501","Mobile poll/Bureau itinérant",11,37,1,3,37,0,3,92,176
59025,"Richmond Centre/Richmond-Centre"," 502A","Mobile poll/Bureau itinérant",10,43,5,11,44,1,4,118,93
59025,"Richmond Centre/Richmond-Centre"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,31
59025,"Richmond Centre/Richmond-Centre"," 600","Richmond",81,198,11,45,390,2,8,735,
59025,"Richmond Centre/Richmond-Centre"," 601","Richmond",96,257,15,42,420,6,3,839,
59025,"Richmond Centre/Richmond-Centre"," 602","Richmond",84,170,17,62,444,4,6,787,
59025,"Richmond Centre/Richmond-Centre"," 603","Richmond",61,126,15,35,315,2,2,556,
59025,"Richmond Centre/Richmond-Centre"," 604","Richmond",70,189,11,46,373,7,1,697,
59025,"Richmond Centre/Richmond-Centre"," 605","Richmond",77,200,7,28,394,1,2,709,
59025,"Richmond Centre/Richmond-Centre"," 606","Richmond",74,132,6,29,352,3,1,597,
59025,"Richmond Centre/Richmond-Centre"," 607","Richmond",91,188,11,53,416,1,6,766,
59025,"Richmond Centre/Richmond-Centre"," 608","Richmond",87,192,11,59,370,6,3,728,
59025,"Richmond Centre/Richmond-Centre"," 609","Richmond",77,215,10,44,318,1,7,672,
59025,"Richmond Centre/Richmond-Centre"," 610","Richmond",60,179,2,43,358,4,3,649,
59025,"Richmond Centre/Richmond-Centre"," 611","Richmond",94,218,6,48,456,3,6,831,
59025,"Richmond Centre/Richmond-Centre",,Group 1/Groupe 1, 18,55,3,22,102,1,18,219,400
59025,"Richmond Centre/Richmond-Centre",,Group 2/Groupe 2, 194,357,18,89,538,8,26,1230,
