Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Bourgeois,Jean-Martin Masse,Érica Poirier,Sylvain Prescott,Paul Savard,Julienne Soumaoro,Gabriel Ste-Marie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Joliette/Joliette"," 188","Saint-Pierre",31,30,6,0,4,12,93,3,179,375
24031,"Joliette/Joliette"," 189","Rawdon",33,15,15,0,1,8,111,4,187,402
24031,"Joliette/Joliette"," 190","Rawdon",26,11,6,1,2,12,66,1,125,375
24031,"Joliette/Joliette"," 191","Rawdon",32,15,10,4,3,6,57,2,129,361
24031,"Joliette/Joliette"," 192","Rawdon",36,13,9,0,1,9,135,1,204,436
24031,"Joliette/Joliette"," 193","Rawdon",22,8,7,2,1,4,46,1,91,346
24031,"Joliette/Joliette"," 194","Rawdon",28,13,9,0,0,9,58,3,120,372
24031,"Joliette/Joliette"," 195","Rawdon",14,4,7,1,1,3,77,2,109,342
24031,"Joliette/Joliette"," 196","Rawdon",30,8,6,0,3,4,69,1,121,358
24031,"Joliette/Joliette"," 197","Rawdon",14,16,5,1,2,1,60,2,101,331
24031,"Joliette/Joliette"," 198","Saint-Paul",35,12,9,1,1,6,139,7,210,415
24031,"Joliette/Joliette"," 199","Saint-Paul",49,26,5,5,4,18,144,9,260,495
24031,"Joliette/Joliette"," 200","Saint-Paul",34,15,7,1,1,8,75,1,142,287
24031,"Joliette/Joliette"," 201","Saint-Paul",39,20,3,2,2,11,124,4,205,419
24031,"Joliette/Joliette"," 202","Saint-Paul",24,17,4,1,4,12,95,0,157,381
24031,"Joliette/Joliette"," 203","Rawdon",30,15,11,1,1,10,62,3,133,354
24031,"Joliette/Joliette"," 204","Rawdon",44,23,14,5,1,7,78,5,177,431
24031,"Joliette/Joliette"," 205","Rawdon",37,22,8,2,2,2,67,2,142,392
24031,"Joliette/Joliette"," 206","Rawdon",51,7,8,1,1,5,76,0,149,422
24031,"Joliette/Joliette"," 207","Rawdon",41,12,10,5,1,6,85,0,160,419
24031,"Joliette/Joliette"," 208","Rawdon",41,15,13,3,2,5,96,6,181,388
24031,"Joliette/Joliette"," 209","Rawdon",43,13,9,4,0,13,96,4,182,406
24031,"Joliette/Joliette"," 210","Rawdon",18,12,5,0,0,10,76,1,122,398
24031,"Joliette/Joliette"," 211","Crabtree",23,14,15,1,1,10,86,6,156,318
24031,"Joliette/Joliette"," 212","Crabtree",37,8,15,4,2,3,110,1,180,389
