Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neelam Brar,Rex Brocki,Al Rawdah,Jay Shin,Jagmeet Singh,Brian Sproule,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 108","Burnaby",35,0,1,65,44,0,5,0,150,368
59003,"Burnaby South/Burnaby-Sud"," 109","Burnaby",37,1,1,42,34,0,1,0,116,431
59003,"Burnaby South/Burnaby-Sud"," 110","Burnaby",17,0,4,41,33,1,5,3,104,380
59003,"Burnaby South/Burnaby-Sud"," 111","Burnaby",19,2,1,59,26,0,4,0,111,356
59003,"Burnaby South/Burnaby-Sud"," 112","Burnaby",58,1,3,43,79,0,13,3,200,412
59003,"Burnaby South/Burnaby-Sud"," 113","Burnaby",56,1,2,56,101,0,12,1,229,416
59003,"Burnaby South/Burnaby-Sud"," 114","Burnaby",38,1,0,55,65,0,16,1,176,398
59003,"Burnaby South/Burnaby-Sud"," 115","Burnaby",48,1,2,53,87,0,16,0,207,465
59003,"Burnaby South/Burnaby-Sud"," 116","Burnaby",45,3,2,54,112,0,20,0,236,453
59003,"Burnaby South/Burnaby-Sud"," 117","Burnaby",41,3,6,59,78,0,13,4,204,513
59003,"Burnaby South/Burnaby-Sud"," 118","Burnaby",35,0,2,62,91,1,17,2,210,535
59003,"Burnaby South/Burnaby-Sud"," 119","Burnaby",42,0,3,56,72,0,9,2,184,442
59003,"Burnaby South/Burnaby-Sud"," 120","Burnaby",32,0,4,39,57,0,10,0,142,365
59003,"Burnaby South/Burnaby-Sud"," 121","Burnaby",41,0,3,48,101,1,17,2,213,461
59003,"Burnaby South/Burnaby-Sud"," 122","Burnaby",36,1,0,42,47,0,5,0,131,362
59003,"Burnaby South/Burnaby-Sud"," 123","Burnaby",41,1,3,44,87,0,9,4,189,563
59003,"Burnaby South/Burnaby-Sud"," 124","Burnaby",46,2,3,53,39,1,10,2,156,433
59003,"Burnaby South/Burnaby-Sud"," 125","Burnaby",Merged with No./Fusionné avec le n°126A,,,,,,,,,282
59003,"Burnaby South/Burnaby-Sud"," 126A","Burnaby",42,2,2,26,41,0,5,0,118,109
59003,"Burnaby South/Burnaby-Sud"," 126B","Burnaby",19,0,3,30,24,1,3,1,81,392
59003,"Burnaby South/Burnaby-Sud"," 127","Burnaby",33,1,2,32,43,0,10,1,122,341
59003,"Burnaby South/Burnaby-Sud"," 128","Burnaby",34,0,2,38,62,0,14,2,152,476
59003,"Burnaby South/Burnaby-Sud"," 129","Burnaby",32,1,0,67,58,0,7,0,165,397
59003,"Burnaby South/Burnaby-Sud"," 130","Burnaby",38,2,4,51,66,0,5,0,166,409
59003,"Burnaby South/Burnaby-Sud"," 131","Burnaby",32,0,2,66,36,0,8,0,144,333
59003,"Burnaby South/Burnaby-Sud"," 132","Burnaby",38,1,4,80,55,2,11,3,194,477
59003,"Burnaby South/Burnaby-Sud"," 133","Burnaby",37,1,1,47,45,0,6,1,138,409
59003,"Burnaby South/Burnaby-Sud"," 134","Burnaby",55,1,1,59,73,1,15,0,205,518
59003,"Burnaby South/Burnaby-Sud"," 135","Burnaby",31,0,1,54,56,0,8,2,152,422
59003,"Burnaby South/Burnaby-Sud"," 136","Burnaby",30,0,0,64,65,0,15,0,174,438
59003,"Burnaby South/Burnaby-Sud"," 137","Burnaby",47,1,6,41,88,0,13,4,200,313
59003,"Burnaby South/Burnaby-Sud"," 138","Burnaby",37,0,3,81,81,0,5,8,215,501
59003,"Burnaby South/Burnaby-Sud"," 139","Burnaby",50,5,8,49,90,0,12,2,216,575
59003,"Burnaby South/Burnaby-Sud"," 140","Burnaby",33,2,4,44,43,0,10,3,139,454
59003,"Burnaby South/Burnaby-Sud"," 141","Burnaby",49,2,4,89,106,0,11,4,265,629
59003,"Burnaby South/Burnaby-Sud"," 142","Burnaby",43,0,2,90,81,0,12,2,230,558
59003,"Burnaby South/Burnaby-Sud"," 143","Burnaby",44,0,5,71,87,0,9,2,218,562
59003,"Burnaby South/Burnaby-Sud"," 144","Burnaby",34,0,2,55,57,0,10,1,159,426
59003,"Burnaby South/Burnaby-Sud"," 145","Burnaby",34,0,2,43,55,0,9,0,143,394
59003,"Burnaby South/Burnaby-Sud"," 146","Burnaby",48,5,6,51,77,0,5,0,192,511
59003,"Burnaby South/Burnaby-Sud"," 147","Burnaby",37,0,6,60,74,0,7,4,188,536
59003,"Burnaby South/Burnaby-Sud"," 148","Burnaby",47,1,2,66,68,0,13,0,197,489
59003,"Burnaby South/Burnaby-Sud"," 149","Burnaby",27,1,0,52,63,0,4,2,149,376
59003,"Burnaby South/Burnaby-Sud"," 150","Burnaby",36,0,0,34,56,1,7,3,137,421
59003,"Burnaby South/Burnaby-Sud"," 151","Burnaby",17,0,1,32,37,0,4,2,93,340
59003,"Burnaby South/Burnaby-Sud"," 152","Burnaby",41,1,4,49,48,1,9,1,154,453
59003,"Burnaby South/Burnaby-Sud"," 153","Burnaby",36,3,0,57,49,1,16,0,162,513
59003,"Burnaby South/Burnaby-Sud"," 154","Burnaby",30,2,0,39,51,0,10,0,132,365
59003,"Burnaby South/Burnaby-Sud"," 155","Burnaby",39,0,1,36,62,0,3,1,142,350
59003,"Burnaby South/Burnaby-Sud"," 156","Burnaby",46,1,1,32,77,0,6,0,163,363
59003,"Burnaby South/Burnaby-Sud"," 157","Burnaby",27,0,1,36,66,0,9,1,140,346
59003,"Burnaby South/Burnaby-Sud"," 158","Burnaby",31,1,2,61,81,2,3,1,182,434
59003,"Burnaby South/Burnaby-Sud"," 159","Burnaby",32,0,4,42,91,0,5,1,175,394
59003,"Burnaby South/Burnaby-Sud"," 160","Burnaby",40,1,3,57,84,0,13,2,200,600
59003,"Burnaby South/Burnaby-Sud"," 161","Burnaby",52,0,1,39,63,1,13,2,171,446
59003,"Burnaby South/Burnaby-Sud"," 162","Burnaby",38,0,0,34,33,0,2,1,108,379
59003,"Burnaby South/Burnaby-Sud"," 163","Burnaby",28,0,1,30,64,0,13,1,137,361
59003,"Burnaby South/Burnaby-Sud"," 164","Burnaby",58,5,3,91,49,0,12,3,221,590
59003,"Burnaby South/Burnaby-Sud"," 165","Burnaby",40,1,4,57,53,1,7,3,166,471
59003,"Burnaby South/Burnaby-Sud"," 166","Burnaby",69,2,5,49,96,0,12,3,236,514
59003,"Burnaby South/Burnaby-Sud"," 167","Burnaby",38,1,4,28,82,0,21,1,175,369
59003,"Burnaby South/Burnaby-Sud"," 168","Burnaby",37,0,5,62,28,0,9,0,141,380
59003,"Burnaby South/Burnaby-Sud"," 169","Burnaby",65,0,1,105,110,0,13,3,297,622
59003,"Burnaby South/Burnaby-Sud"," 170","Burnaby",41,4,0,59,89,0,7,2,202,433
59003,"Burnaby South/Burnaby-Sud"," 171","Burnaby",40,0,3,41,92,0,19,6,201,568
59003,"Burnaby South/Burnaby-Sud"," 172","Burnaby",45,2,6,56,97,0,19,0,225,518
59003,"Burnaby South/Burnaby-Sud"," 500","Mobile poll/Bureau itinérant",35,0,2,14,26,1,4,3,85,251
59003,"Burnaby South/Burnaby-Sud"," 501","Mobile poll/Bureau itinérant",19,1,2,19,18,0,2,6,67,99
59003,"Burnaby South/Burnaby-Sud"," 502","Mobile poll/Bureau itinérant",12,6,1,17,19,1,5,7,68,302
59003,"Burnaby South/Burnaby-Sud"," 600","Burnaby",319,8,12,395,404,1,59,5,1203,
59003,"Burnaby South/Burnaby-Sud"," 601","Burnaby",219,2,10,303,321,2,56,6,919,
59003,"Burnaby South/Burnaby-Sud"," 602","Burnaby",148,2,7,163,290,1,44,3,658,
59003,"Burnaby South/Burnaby-Sud"," 603","Burnaby",208,3,10,243,331,0,22,6,823,
59003,"Burnaby South/Burnaby-Sud"," 604","Burnaby",259,2,10,188,400,1,47,6,913,
59003,"Burnaby South/Burnaby-Sud"," 605","Burnaby",168,5,9,276,316,1,49,3,827,
59003,"Burnaby South/Burnaby-Sud"," 606","Burnaby",279,3,13,369,448,3,71,13,1199,
59003,"Burnaby South/Burnaby-Sud"," 607","Burnaby",149,5,18,218,259,1,40,5,695,
59003,"Burnaby South/Burnaby-Sud"," 608","Burnaby",156,1,20,250,256,2,40,9,734,
59003,"Burnaby South/Burnaby-Sud"," 609","Burnaby",174,2,17,269,283,1,35,2,783,
59003,"Burnaby South/Burnaby-Sud"," 610","Burnaby",192,6,11,259,308,2,44,9,831,
59003,"Burnaby South/Burnaby-Sud"," 611","Burnaby",203,3,9,277,388,0,55,7,942,
59003,"Burnaby South/Burnaby-Sud"," 612","Burnaby",156,5,6,274,388,1,38,11,879,
59003,"Burnaby South/Burnaby-Sud"," 613","Burnaby",243,5,9,367,384,0,63,6,1077,
59003,"Burnaby South/Burnaby-Sud"," 614","Burnaby",179,1,10,236,368,3,46,3,846,
59003,"Burnaby South/Burnaby-Sud",,Group 1/Groupe 1, 64,0,1,46,57,0,13,14,195,331
59003,"Burnaby South/Burnaby-Sud",,Group 2/Groupe 2, 381,7,19,369,659,2,123,48,1608,
