Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 75","Yamachiche",0,14,65,0,3,0,0,30,23,3,138,387
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 76","Yamachiche",0,18,82,1,0,0,0,39,16,5,161,405
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 77","Yamachiche",0,22,95,0,2,0,0,31,22,0,172,383
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 78","Yamachiche",0,8,82,0,7,0,1,27,16,2,143,324
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 79","Yamachiche",0,10,71,0,2,0,3,33,14,3,136,341
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 80","Saint-Didace",1,18,61,0,3,1,2,72,21,2,181,323
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 81","Saint-Didace",1,19,44,0,9,1,0,69,12,2,157,270
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 82","Saint-Édouard-de-Maskinongé",0,31,104,1,0,0,0,79,25,1,241,374
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 83","Saint-Édouard-de-Maskinongé",1,16,66,0,2,0,2,66,12,5,170,327
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 84","Sainte-Ursule",1,28,80,0,0,0,0,35,15,5,164,264
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 85","Sainte-Ursule",0,7,77,0,1,0,0,33,17,1,136,244
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 86","Sainte-Ursule",0,17,82,0,1,0,5,52,22,2,181,300
