Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louise Boutin,Naomi Chocyk,Yvonne Hanson,Taleeb Noormohamed,Zach Segal,Jody Wilson-Raybould,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,100
59036,"Vancouver Granville/Vancouver Granville"," 506","Mobile poll/Bureau itinérant",3,2,8,20,10,7,1,51,92
59036,"Vancouver Granville/Vancouver Granville"," 507","Mobile poll/Bureau itinérant",7,1,6,17,11,5,0,47,111
59036,"Vancouver Granville/Vancouver Granville"," 600","Vancouver",52,5,107,340,127,412,1,1044,
59036,"Vancouver Granville/Vancouver Granville"," 601","Vancouver",65,13,152,317,167,377,5,1096,
59036,"Vancouver Granville/Vancouver Granville"," 602","Vancouver",85,7,200,462,191,559,4,1508,
59036,"Vancouver Granville/Vancouver Granville"," 603","Vancouver",55,6,149,307,115,422,2,1056,
59036,"Vancouver Granville/Vancouver Granville"," 604","Vancouver",70,10,183,412,177,552,1,1405,
59036,"Vancouver Granville/Vancouver Granville"," 605","Vancouver",66,9,204,435,159,514,2,1389,
59036,"Vancouver Granville/Vancouver Granville"," 606","Vancouver",70,8,151,328,146,539,3,1245,
59036,"Vancouver Granville/Vancouver Granville"," 607","Vancouver",25,7,48,248,404,317,0,1049,
59036,"Vancouver Granville/Vancouver Granville"," 608","Vancouver",38,10,117,226,210,481,2,1084,
59036,"Vancouver Granville/Vancouver Granville"," 609","Vancouver",31,8,84,219,221,263,6,832,
59036,"Vancouver Granville/Vancouver Granville"," 610","Vancouver",31,8,35,209,495,300,2,1080,
59036,"Vancouver Granville/Vancouver Granville"," 611","Vancouver",25,2,49,157,258,192,3,686,
59036,"Vancouver Granville/Vancouver Granville"," 612","Vancouver",26,6,49,294,434,275,4,1088,
59036,"Vancouver Granville/Vancouver Granville"," 613","Vancouver",26,7,45,177,301,269,4,829,
59036,"Vancouver Granville/Vancouver Granville"," 614","Vancouver",38,14,110,254,290,265,2,973,
59036,"Vancouver Granville/Vancouver Granville"," 615","Vancouver",39,10,121,203,210,225,1,809,
59036,"Vancouver Granville/Vancouver Granville",,Group 1/Groupe 1, 23,1,36,167,65,207,14,513,833
59036,"Vancouver Granville/Vancouver Granville",,Group 2/Groupe 2, 179,19,321,662,548,1023,44,2796,
