Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel Altman,Joel E. Bernard,Paul Durst,Mona Fortier,Christian Legeais,Daniel James McHugh,Stéphanie Mercier,Derek Miller,Oriana Ngabirano,Michelle Paquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 83","Ottawa",0,45,7,109,0,0,36,2,6,0,0,205,497
35078,"Ottawa--Vanier/Ottawa--Vanier"," 84","Ottawa",0,40,3,62,3,0,49,0,9,0,0,166,348
35078,"Ottawa--Vanier/Ottawa--Vanier"," 85","Ottawa",0,37,5,118,0,1,62,0,16,1,2,242,516
35078,"Ottawa--Vanier/Ottawa--Vanier"," 86","Ottawa",0,28,4,101,0,0,38,2,5,0,3,181,461
35078,"Ottawa--Vanier/Ottawa--Vanier"," 87","Ottawa",0,25,2,98,2,0,32,0,6,0,0,165,471
35078,"Ottawa--Vanier/Ottawa--Vanier"," 88","Ottawa",0,23,2,145,0,0,48,0,7,0,3,228,628
35078,"Ottawa--Vanier/Ottawa--Vanier"," 89","Ottawa",24,29,5,103,0,1,49,1,23,1,0,236,474
35078,"Ottawa--Vanier/Ottawa--Vanier"," 90","Ottawa",0,17,4,94,0,0,66,2,34,0,1,218,471
35078,"Ottawa--Vanier/Ottawa--Vanier"," 91","Ottawa",0,32,4,89,0,0,48,1,18,1,2,195,420
35078,"Ottawa--Vanier/Ottawa--Vanier"," 92","Ottawa",0,20,5,77,0,1,54,2,23,1,2,185,380
35078,"Ottawa--Vanier/Ottawa--Vanier"," 93A","Ottawa",0,23,3,120,0,0,38,0,19,0,1,204,449
35078,"Ottawa--Vanier/Ottawa--Vanier"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,,,,,35
35078,"Ottawa--Vanier/Ottawa--Vanier"," 94","Ottawa",0,38,5,97,0,0,35,0,15,1,0,191,426
35078,"Ottawa--Vanier/Ottawa--Vanier"," 95","Ottawa",1,38,1,86,0,0,27,0,5,0,0,158,388
35078,"Ottawa--Vanier/Ottawa--Vanier"," 96","Ottawa",1,50,3,93,0,1,45,1,13,1,2,210,527
35078,"Ottawa--Vanier/Ottawa--Vanier"," 97","Ottawa",0,38,3,113,0,0,38,0,8,0,3,203,416
35078,"Ottawa--Vanier/Ottawa--Vanier"," 98","Ottawa",1,32,3,95,1,0,41,0,12,0,0,185,453
35078,"Ottawa--Vanier/Ottawa--Vanier"," 99","Ottawa",0,83,7,122,1,2,52,1,15,0,6,289,552
35078,"Ottawa--Vanier/Ottawa--Vanier"," 100","Ottawa",1,67,4,98,0,1,49,0,10,0,3,233,495
35078,"Ottawa--Vanier/Ottawa--Vanier"," 101","Ottawa",3,34,7,62,1,0,41,1,10,1,2,162,318
35078,"Ottawa--Vanier/Ottawa--Vanier"," 102","Ottawa",1,41,6,91,0,0,43,2,11,0,2,197,381
35078,"Ottawa--Vanier/Ottawa--Vanier"," 103","Ottawa",0,46,2,115,0,1,47,2,11,0,3,227,445
35078,"Ottawa--Vanier/Ottawa--Vanier"," 104","Ottawa",1,28,3,80,0,0,56,1,22,0,2,193,403
35078,"Ottawa--Vanier/Ottawa--Vanier"," 105","Ottawa",1,23,6,74,0,0,66,0,15,0,3,188,447
35078,"Ottawa--Vanier/Ottawa--Vanier"," 106","Ottawa",1,27,5,74,0,0,52,0,9,0,2,170,439
