Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Donna Petersen,Helen Quan,Tamara Taggart,Lawrence Taylor,Ian Torn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 59","Vancouver",4,92,0,40,62,6,2,1,207,424
59038,"Vancouver Kingsway/Vancouver Kingsway"," 60","Vancouver",0,59,0,45,43,9,6,0,162,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 61","Vancouver",1,86,0,55,66,8,2,1,219,552
59038,"Vancouver Kingsway/Vancouver Kingsway"," 62","Vancouver",4,98,0,31,48,11,3,2,197,511
59038,"Vancouver Kingsway/Vancouver Kingsway"," 63","Vancouver",3,77,3,29,37,11,0,2,162,507
59038,"Vancouver Kingsway/Vancouver Kingsway"," 64","Vancouver",1,119,0,37,81,13,1,0,252,567
59038,"Vancouver Kingsway/Vancouver Kingsway"," 65","Vancouver",1,70,0,37,59,11,0,0,178,354
59038,"Vancouver Kingsway/Vancouver Kingsway"," 66","Vancouver",1,89,0,59,72,10,2,0,233,452
59038,"Vancouver Kingsway/Vancouver Kingsway"," 67","Vancouver",1,59,1,35,57,12,0,2,167,387
59038,"Vancouver Kingsway/Vancouver Kingsway"," 68","Vancouver",0,110,1,52,35,6,2,3,209,471
59038,"Vancouver Kingsway/Vancouver Kingsway"," 69","Vancouver",4,90,0,60,37,12,3,0,206,481
59038,"Vancouver Kingsway/Vancouver Kingsway"," 70","Vancouver",0,89,0,35,44,5,2,4,179,445
59038,"Vancouver Kingsway/Vancouver Kingsway"," 71","Vancouver",1,95,0,29,42,11,2,2,182,449
59038,"Vancouver Kingsway/Vancouver Kingsway"," 72","Vancouver",2,89,0,37,33,7,1,2,171,362
59038,"Vancouver Kingsway/Vancouver Kingsway"," 73","Vancouver",2,55,0,51,49,13,0,3,173,363
59038,"Vancouver Kingsway/Vancouver Kingsway"," 74","Vancouver",4,108,3,42,57,11,5,5,235,512
59038,"Vancouver Kingsway/Vancouver Kingsway"," 75","Vancouver",2,88,1,33,43,9,2,1,179,407
59038,"Vancouver Kingsway/Vancouver Kingsway"," 76","Vancouver",1,88,1,48,20,8,5,1,172,451
59038,"Vancouver Kingsway/Vancouver Kingsway"," 77","Vancouver",1,86,0,19,33,10,0,0,149,401
59038,"Vancouver Kingsway/Vancouver Kingsway"," 78A","Vancouver",0,92,1,34,38,11,0,1,177,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 78B","Vancouver",0,69,1,35,43,8,3,0,159,417
59038,"Vancouver Kingsway/Vancouver Kingsway"," 79","Vancouver",1,64,1,39,34,9,2,1,151,434
59038,"Vancouver Kingsway/Vancouver Kingsway"," 80","Vancouver",1,54,0,36,35,3,3,1,133,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 81","Vancouver",1,68,0,62,41,4,2,1,179,449
59038,"Vancouver Kingsway/Vancouver Kingsway"," 82","Vancouver",0,90,2,65,35,10,2,4,208,491
59038,"Vancouver Kingsway/Vancouver Kingsway"," 83","Vancouver",1,69,0,51,55,14,2,1,193,475
59038,"Vancouver Kingsway/Vancouver Kingsway"," 84","Vancouver",1,74,0,56,57,22,4,0,214,441
59038,"Vancouver Kingsway/Vancouver Kingsway"," 85","Vancouver",0,58,0,43,51,4,1,4,161,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 86","Vancouver",2,105,0,65,89,3,0,5,269,547
59038,"Vancouver Kingsway/Vancouver Kingsway"," 87","Vancouver",0,117,1,35,40,11,4,4,212,417
59038,"Vancouver Kingsway/Vancouver Kingsway"," 88","Vancouver",0,75,0,34,35,5,2,2,153,381
59038,"Vancouver Kingsway/Vancouver Kingsway"," 89","Vancouver",0,112,0,24,48,9,0,3,196,397
59038,"Vancouver Kingsway/Vancouver Kingsway"," 90","Vancouver",0,53,2,29,39,18,2,0,143,404
59038,"Vancouver Kingsway/Vancouver Kingsway"," 91","Vancouver",2,94,0,49,62,12,6,5,230,457
59038,"Vancouver Kingsway/Vancouver Kingsway"," 92","Vancouver",1,69,1,54,45,4,2,2,178,392
59038,"Vancouver Kingsway/Vancouver Kingsway"," 93","Vancouver",3,95,0,55,45,11,1,2,212,369
59038,"Vancouver Kingsway/Vancouver Kingsway"," 94","Vancouver",3,102,0,51,37,12,1,6,212,504
59038,"Vancouver Kingsway/Vancouver Kingsway"," 95","Vancouver",3,76,0,72,53,12,3,1,220,467
59038,"Vancouver Kingsway/Vancouver Kingsway"," 96","Vancouver",1,76,0,73,40,9,2,2,203,424
59038,"Vancouver Kingsway/Vancouver Kingsway"," 97","Vancouver",1,86,1,53,36,6,1,1,185,375
59038,"Vancouver Kingsway/Vancouver Kingsway"," 98","Vancouver",3,82,3,60,57,8,1,11,225,458
59038,"Vancouver Kingsway/Vancouver Kingsway"," 99","Vancouver",4,88,2,57,59,14,0,3,227,462
59038,"Vancouver Kingsway/Vancouver Kingsway"," 100","Vancouver",4,91,1,49,44,5,0,2,196,449
59038,"Vancouver Kingsway/Vancouver Kingsway"," 101","Vancouver",2,98,1,59,63,9,2,4,238,503
59038,"Vancouver Kingsway/Vancouver Kingsway"," 102","Vancouver",0,98,0,57,39,4,0,7,205,483
59038,"Vancouver Kingsway/Vancouver Kingsway"," 103","Vancouver",2,62,0,35,50,1,0,5,155,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",1,112,0,64,49,16,2,8,252,524
59038,"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",2,84,2,66,60,7,0,4,225,504
59038,"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",0,78,3,44,37,6,2,3,173,428
59038,"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",2,88,0,53,50,7,4,4,208,514
59038,"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",2,72,0,41,26,9,2,2,154,464
59038,"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",3,117,0,51,59,15,3,1,249,567
59038,"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",Merged with No./Fusionné avec le n°116,,,,,,,,,209
59038,"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",3,112,0,60,45,11,1,2,234,611
59038,"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",4,108,0,63,51,9,2,2,239,498
59038,"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",2,93,0,32,44,9,2,3,185,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",0,63,0,56,45,3,1,6,174,403
59038,"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",3,109,1,63,49,11,3,3,242,548
59038,"Vancouver Kingsway/Vancouver Kingsway"," 116","Vancouver",3,126,0,59,55,12,3,2,260,385
59038,"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",2,68,0,68,43,5,2,0,188,449
59038,"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",1,55,0,57,60,9,7,6,195,387
59038,"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",1,62,0,64,52,6,3,1,189,399
59038,"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",1,85,0,65,60,9,1,1,222,493
59038,"Vancouver Kingsway/Vancouver Kingsway"," 121","Vancouver",2,87,0,66,48,7,1,1,212,473
59038,"Vancouver Kingsway/Vancouver Kingsway"," 122","Vancouver",1,82,2,41,45,10,1,2,184,401
59038,"Vancouver Kingsway/Vancouver Kingsway"," 123","Vancouver",3,82,0,47,53,7,1,1,194,509
59038,"Vancouver Kingsway/Vancouver Kingsway"," 124","Vancouver",0,78,0,40,42,12,3,3,178,458
59038,"Vancouver Kingsway/Vancouver Kingsway"," 125","Vancouver",5,64,0,45,33,8,2,0,157,388
59038,"Vancouver Kingsway/Vancouver Kingsway"," 126","Vancouver",0,80,1,53,48,5,0,2,189,429
59038,"Vancouver Kingsway/Vancouver Kingsway"," 127","Vancouver",0,81,0,26,36,3,2,2,150,392
59038,"Vancouver Kingsway/Vancouver Kingsway"," 128","Vancouver",3,65,0,29,39,9,1,2,148,381
59038,"Vancouver Kingsway/Vancouver Kingsway"," 129","Vancouver",1,59,0,38,38,6,1,2,145,410
59038,"Vancouver Kingsway/Vancouver Kingsway"," 130","Vancouver",0,67,0,29,37,9,1,5,148,488
59038,"Vancouver Kingsway/Vancouver Kingsway"," 131","Vancouver",0,57,0,48,23,6,2,2,138,372
59038,"Vancouver Kingsway/Vancouver Kingsway"," 132","Vancouver",3,82,0,42,39,2,4,0,172,381
