Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 100","Val-des-Monts",64,3,6,22,47,19,0,0,5,166,411
24057,"Pontiac/Pontiac"," 101","Val-des-Monts",85,8,6,33,54,23,0,1,4,214,311
24057,"Pontiac/Pontiac"," 102","Val-des-Monts",136,4,22,47,58,39,0,0,1,307,566
24057,"Pontiac/Pontiac"," 103","Val-des-Monts",Merged with No./Fusionné avec le n°101,,,,,,,,,,253
24057,"Pontiac/Pontiac"," 104","Val-des-Monts",58,6,18,8,36,9,0,1,0,136,365
24057,"Pontiac/Pontiac"," 105","Val-des-Monts",74,7,21,20,44,12,0,0,2,180,413
24057,"Pontiac/Pontiac"," 106","Val-des-Monts",101,5,15,29,53,25,1,0,5,234,471
24057,"Pontiac/Pontiac"," 107","Val-des-Monts",105,1,10,21,44,9,0,0,5,195,405
24057,"Pontiac/Pontiac"," 108","Cantley",55,1,14,18,29,13,0,0,1,131,389
24057,"Pontiac/Pontiac"," 109","Val-des-Monts",84,6,10,27,59,18,0,0,3,207,440
24057,"Pontiac/Pontiac"," 110","Val-des-Monts",67,1,11,10,45,10,2,0,0,146,326
24057,"Pontiac/Pontiac"," 111","Lac-des-Loups",52,1,6,26,37,10,0,0,4,136,255
24057,"Pontiac/Pontiac"," 112","Lac-des-Loups",52,3,6,34,44,12,0,0,2,153,282
24057,"Pontiac/Pontiac"," 113","Masham",79,3,9,28,27,26,0,0,1,173,393
24057,"Pontiac/Pontiac"," 114","Masham",55,0,22,17,13,25,0,0,1,133,241
24057,"Pontiac/Pontiac"," 115","Masham",79,2,13,30,45,13,0,2,4,188,396
24057,"Pontiac/Pontiac"," 116","Masham",100,4,14,27,32,22,1,0,2,202,462
24057,"Pontiac/Pontiac"," 117","Masham",43,0,5,20,22,9,0,0,3,102,264
24057,"Pontiac/Pontiac"," 118","Masham",53,0,3,14,18,15,2,0,0,105,221
24057,"Pontiac/Pontiac"," 119","Masham",63,1,9,31,29,17,0,0,2,152,298
24057,"Pontiac/Pontiac"," 120","Val-des-Monts",70,0,8,17,42,17,0,1,2,157,319
24057,"Pontiac/Pontiac"," 121","Val-des-Monts",55,6,8,14,50,15,0,0,1,149,383
24057,"Pontiac/Pontiac"," 122","Val-des-Monts",100,2,7,32,61,34,0,0,2,238,487
24057,"Pontiac/Pontiac"," 123","Val-des-Monts",114,1,10,21,48,22,0,0,0,216,458
24057,"Pontiac/Pontiac"," 124","Val-des-Monts",115,4,14,30,60,19,1,0,4,247,281
24057,"Pontiac/Pontiac"," 125","Val-des-Monts",Merged with No./Fusionné avec le n°124,,,,,,,,,,285
24057,"Pontiac/Pontiac"," 126","Cantley",71,4,15,20,49,21,0,4,3,187,387
24057,"Pontiac/Pontiac"," 127","Cantley",93,0,17,19,19,47,0,0,1,196,363
24057,"Pontiac/Pontiac"," 128","Cantley",88,3,21,26,37,37,0,0,1,213,443
24057,"Pontiac/Pontiac"," 129","Cantley",76,1,14,19,25,18,0,0,2,155,341
24057,"Pontiac/Pontiac"," 130","Cantley",63,1,16,11,22,22,0,0,1,136,306
24057,"Pontiac/Pontiac"," 131","Cantley",111,2,11,17,29,15,0,0,1,186,387
24057,"Pontiac/Pontiac"," 132","Cantley",57,1,10,20,34,15,0,0,3,140,290
24057,"Pontiac/Pontiac"," 133","Cantley",53,2,7,13,44,15,0,0,4,138,315
24057,"Pontiac/Pontiac"," 134","Grand-Calumet",109,7,17,92,37,17,0,11,3,293,331
24057,"Pontiac/Pontiac"," 135","Grand-Calumet",Merged with No./Fusionné avec le n°134,,,,,,,,,,219
24057,"Pontiac/Pontiac"," 136","Cantley",83,2,12,18,47,19,0,0,2,183,406
24057,"Pontiac/Pontiac"," 137","Cantley",123,2,12,33,56,21,0,0,3,250,458
24057,"Pontiac/Pontiac"," 138","Cantley",77,2,16,31,38,23,0,0,1,188,358
24057,"Pontiac/Pontiac"," 139","Cantley",115,1,13,21,51,23,0,0,4,228,434
24057,"Pontiac/Pontiac"," 140","Cantley",157,1,18,34,56,34,0,0,2,302,292
24057,"Pontiac/Pontiac"," 141","Cantley",108,2,12,15,49,19,0,0,0,205,417
24057,"Pontiac/Pontiac"," 142","Cantley",92,4,7,26,30,22,0,1,2,184,393
24057,"Pontiac/Pontiac"," 143","Cantley",Merged with No./Fusionné avec le n°140,,,,,,,,,,291
24057,"Pontiac/Pontiac"," 144","Cantley",83,0,8,32,56,32,0,0,3,214,432
24057,"Pontiac/Pontiac"," 145","Cantley",83,0,9,21,48,20,0,0,2,183,380
24057,"Pontiac/Pontiac"," 146","Cantley",117,1,14,11,34,27,0,0,1,205,392
24057,"Pontiac/Pontiac"," 147","Cantley",117,6,16,30,54,33,0,1,4,261,309
24057,"Pontiac/Pontiac"," 148","Cantley",Merged with No./Fusionné avec le n°147,,,,,,,,,,255
24057,"Pontiac/Pontiac"," 149","Cantley",75,0,11,14,33,15,0,0,3,151,327
24057,"Pontiac/Pontiac"," 150","Chelsea",115,3,32,26,26,43,0,0,0,245,425
24057,"Pontiac/Pontiac"," 151","Chelsea",118,3,31,16,4,24,0,0,0,196,322
24057,"Pontiac/Pontiac"," 152","Chelsea",87,2,27,13,3,27,0,0,0,159,295
24057,"Pontiac/Pontiac"," 153","Chelsea",105,2,23,10,3,24,0,0,1,168,342
24057,"Pontiac/Pontiac"," 154","Gatineau",78,1,9,32,50,16,0,0,1,187,409
24057,"Pontiac/Pontiac"," 155","Gatineau",103,4,14,23,58,22,0,0,2,226,497
24057,"Pontiac/Pontiac"," 156","Gatineau",99,3,8,26,39,25,0,0,2,202,361
24057,"Pontiac/Pontiac"," 157","Gatineau",129,1,10,18,36,22,0,0,1,217,416
24057,"Pontiac/Pontiac"," 158","Gatineau",109,0,14,16,45,42,0,1,0,227,452
24057,"Pontiac/Pontiac"," 159","Gatineau",101,4,5,25,41,21,0,0,4,201,369
24057,"Pontiac/Pontiac"," 160","Gatineau",102,4,16,15,33,22,0,1,2,195,428
24057,"Pontiac/Pontiac"," 161","Gatineau",109,0,5,21,39,23,0,1,2,200,389
24057,"Pontiac/Pontiac"," 162","Gatineau",110,0,20,25,52,17,0,0,2,226,441
24057,"Pontiac/Pontiac"," 163","Gatineau",66,0,7,5,34,25,0,0,1,138,332
24057,"Pontiac/Pontiac"," 164","Bryson",37,4,6,53,2,7,0,17,1,127,253
24057,"Pontiac/Pontiac"," 165","Bryson",51,2,7,62,9,14,1,11,5,162,275
24057,"Pontiac/Pontiac"," 166","Quyon",50,2,4,40,4,22,0,0,0,122,314
24057,"Pontiac/Pontiac"," 167","Quyon",58,6,10,52,4,12,1,2,1,146,338
24057,"Pontiac/Pontiac"," 168","Quyon",60,1,10,58,20,12,0,0,1,162,350
24057,"Pontiac/Pontiac"," 169","Quyon",54,8,7,49,11,20,0,1,1,151,363
24057,"Pontiac/Pontiac"," 170","Gatineau",111,0,8,19,40,28,0,1,4,211,367
24057,"Pontiac/Pontiac"," 171","Gatineau",117,3,13,23,45,34,0,0,5,240,481
24057,"Pontiac/Pontiac"," 172","Gatineau",132,0,9,22,42,26,2,0,5,238,394
24057,"Pontiac/Pontiac"," 173","Gatineau",115,1,17,12,61,35,0,0,0,241,457
24057,"Pontiac/Pontiac"," 174","Gatineau",135,1,8,44,40,30,0,0,2,260,495
24057,"Pontiac/Pontiac"," 175","Gatineau",93,2,13,16,35,22,0,0,0,181,333
24057,"Pontiac/Pontiac"," 176","Gatineau",100,7,12,24,24,11,0,0,3,181,384
24057,"Pontiac/Pontiac"," 177","Gatineau",117,0,10,12,53,24,0,0,0,216,438
24057,"Pontiac/Pontiac"," 178","Gatineau",75,1,7,7,37,24,0,0,0,151,349
24057,"Pontiac/Pontiac"," 179","Gatineau",83,2,9,11,43,21,0,0,6,175,364
